Function Evaluations:  5092
Solutions Explored:    5092
Pareto front size:     29
In Joint Pareto:       17
Not In Joint Pareto:   12
Average Cycle Time:    1 day, 11:52:15.698103
Average Resource Cost: 44547.653005
------------------------- METRICS --------------------------
# Hyperarea Ratio:     0.999921
# Hausdorff Distance:  3064.800659
# Delta Metric:        0.951905
# Purity Metric:       0.586207
--------------- OPTIMAL RESOURCE ALLOCATIONS ----------------
[7d43fd1355fa138f341ef689e19b0aefcb5cb9ee] -> [aCost: 43543.57, cTime: 1 day, 10:00:49.816845]
[3adedc771651fd239469e60f0b1e5ef81d1ac1aa] -> [aCost: 41509.28, cTime: 1 day, 14:56:00.064047]
[78d7c5e7433ab803bed1f397da55484e7e6efd5d] -> [aCost: 37397.51, cTime: 1 day, 18:43:07.102175]
[39295e70e9e5061a28ac42a1b25c49e00a8e832b] -> [aCost: 35929.97, cTime: 2 days, 9:41:47.253171]
[9ad606819a7e9ce95abf7e0224cf0385d202a05e] -> [aCost: 50337.00, cTime: 1 day, 2:20:30.002133]
[dc0fd4afdc64f6882474eed6aacda02d8784c049] -> [aCost: 55445.77, cTime: 1 day, 1:41:16.196580]
[f20e078a6cc56aa4ddeaf53fbe546c863bc5a14a] -> [aCost: 49147.84, cTime: 1 day, 3:21:03.298445]
[feb015435a351df8d73956e4a0ea01e4db68fae2] -> [aCost: 38908.38, cTime: 1 day, 17:37:04.611198]
[9e9b56cfe9fb2ba81507dcf3856ccc49f7c60468] -> [aCost: 39773.95, cTime: 1 day, 15:58:35.176170]
[e80bf7aa86179bf0cfb0cc261a66de18fbca1bbb] -> [aCost: 46714.54, cTime: 1 day, 3:33:59.786261]
[8bec4091bc2409f85cd6ee6ed6b81489605f8a8d] -> [aCost: 49301.60, cTime: 1 day, 2:40:36.703620]
[71061e2249258d58727b221b7c6b78e3b46b561a] -> [aCost: 56666.03, cTime: 1 day, 1:40:37.996658]
[69d6f4f922c66b3aaaf3d82e4e90a12154e5ed99] -> [aCost: 53546.64, cTime: 1 day, 1:42:13.781799]
[02e49cc74a7befa65bb18dcb4258890ef653ccae] -> [aCost: 48447.20, cTime: 1 day, 3:21:27.429373]
[c9926d1a14d30ce6bff925a79cc1de7e2ed566c2] -> [aCost: 51248.42, cTime: 1 day, 1:52:45.628447]
[1b8171ef0660d59e03bcd6b09076567df621ef71] -> [aCost: 39097.62, cTime: 1 day, 17:34:47.158559]
[9e4757e8df8a0f3091a536eda61f0f19ab903aaf] -> [aCost: 42338.39, cTime: 1 day, 10:15:01.114499]
[13fcf15408e8dab05a18fdf3a479c17f4ad6af6b] -> [aCost: 39701.15, cTime: 1 day, 17:20:43.600344]
[c5a8e3f5d2ce922819c5cd1723cff9b09c4698a9] -> [aCost: 36691.90, cTime: 2 days, 3:51:23.864800]
[389eae35d0a14c871868dc669eb233f56cc41932] -> [aCost: 41692.41, cTime: 1 day, 12:58:06.177681]
[7f2e089fb85d15e70c6898ce8c2fe5effa9e1a3f] -> [aCost: 36548.72, cTime: 2 days, 5:13:08.341949]
[7e7193a40282ac2b0806d18cce5055bbc054c1b2] -> [aCost: 36542.23, cTime: 2 days, 8:41:50.175767]
[15eef01e6ce031ebf33e6e96c5df2b5e0a128087] -> [aCost: 40235.74, cTime: 1 day, 14:56:02.505081]
[5dfe2e3da1c04d9e6c03fd5f9443c22d85f1bfbc] -> [aCost: 38485.87, cTime: 1 day, 17:53:57.749266]
[93ce3f4e5b4b6e9d0cf0c02bb3aff6af379441b8] -> [aCost: 36802.65, cTime: 1 day, 22:10:02.290254]
[9ea387206765268b8cee22f5271c0616e34c1b22] -> [aCost: 53090.43, cTime: 1 day, 1:47:28.686180]
[6fb0cdc511c2d698e7e1adbf5f75107a2014f8c3] -> [aCost: 52419.10, cTime: 1 day, 1:51:14.662716]
[ce94eae580450fb5759f7aff72759f4bd7daa66f] -> [aCost: 49770.12, cTime: 1 day, 2:25:59.071892]
[8ce564ab2b78a1f160aff2acad94fdd59b30519b] -> [aCost: 50547.92, cTime: 1 day, 2:03:54.999069]
