Function Evaluations:  2506
Solutions Explored:    2506
Pareto front size:     17
In Joint Pareto:       0
Not In Joint Pareto:   17
Average Cycle Time:    1 day, 7:56:10.370767
Average Resource Cost: 106569.811190
------------------------- METRICS --------------------------
# Hyperarea Ratio:     0.968808
# Hausdorff Distance:  86101.918308
# Delta Metric:        0.929326
# Purity Metric:       0.000000
--------------- OPTIMAL RESOURCE ALLOCATIONS ----------------
[e12f4d929da864d8dc6af541b82fd8b9708a06a6] -> [aCost: 117055.59, cTime: 1 day, 5:11:26.276512]
[14ecd3f6c54366f9be9d80baaaa6b1ec84c5af98] -> [aCost: 101028.88, cTime: 1 day, 8:00:29.415136]
[7474724fb838517f2096b19c08ee20cbabafc175] -> [aCost:  99201.18, cTime: 1 day, 9:12:44.023533]
[6767663f7be976e0fc30fcd65067d3d9b3d9ecbb] -> [aCost: 102956.49, cTime: 1 day, 7:18:15.762247]
[f05a664513840f42406fd6792dce31ad88bf4d67] -> [aCost: 103024.28, cTime: 1 day, 7:10:39.522552]
[f58c00c553bd1eca6c31d32b9fe431c6ae756c68] -> [aCost:  99668.14, cTime: 1 day, 8:44:13.805922]
[f3b94b08a05c5cb92affaced3a0f53bba1566459] -> [aCost: 104044.76, cTime: 1 day, 6:10:34.096383]
[a1bdc52fa28ca412aaa2cc122ed691f9227c46b6] -> [aCost:  98788.71, cTime: 1 day, 9:50:57.928203]
[89343e893c8ae8f31be2ef8950bbd141d0a2c822] -> [aCost:  89502.00, cTime: 1 day, 18:26:19.654172]
[555c5d0aa83b50927985a89547d2476eefd76a54] -> [aCost:  95587.81, cTime: 1 day, 11:54:27.516109]
[d01c3a0ceb76cd7d1f7c9ad4bb0ee7b9b3578c87] -> [aCost:  93955.00, cTime: 1 day, 14:28:52.600818]
[1f3f75d1fc251e66fe4a8d6a497673b535dca806] -> [aCost: 119581.18, cTime: 1 day, 5:07:11.402167]
[432dbcf409ac7d1bc45a2dbfe70b7cb5bfdc9f5e] -> [aCost: 107431.65, cTime: 1 day, 5:38:44.909586]
[408f2a06133c805ef602d3dab60fe9a28e523b77] -> [aCost: 121452.48, cTime: 1 day, 4:30:07.649020]
[5a735f32f8715b0bfdba7013647a55d9af7abf49] -> [aCost: 126075.00, cTime: 1 day, 3:40:15.047362]
[0ccbd44b8774068a1ff2e7d70c1a0ba6c89e89f5] -> [aCost: 109882.67, cTime: 1 day, 5:13:24.321100]
[f5487056221a7b0ad7d2e4577bff11c99503ba02] -> [aCost: 122451.00, cTime: 1 day, 4:16:12.372225]
