Total Solutions Generated,509
Total Iterations,130

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",32794785.34864482,9105347.165954804,32749300.209465,526866.0765474979,959449.7948970012
1,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 30720, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",30374156.9379869,8074340.723992251,30332029.119765,391898.2370352689,693862.4196459986
2,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 30720, 30720, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",28729157.734749924,7221393.642090604,28689311.468821,144723.05441735405,429203.0640829988
3,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 30720, 30720, 30720, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",27778829.314010244,6655424.627750887,27740301.118013,269010.89478758164,179787.26287100092
4,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 30720, 63488, 30720, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",27348859.540345676,6606549.8265201785,27310927.696323,106173.53139172867,87237.57462900132
5,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 63488, 63488, 30720, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",27254855.388248987,6505397.05814532,27217053.924465,178382.79069336876,85281.71671700105
6,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 63488, 63488, 63488, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",27350706.191531718,6553555.444622279,27312771.786273,172248.25551965926,83823.98171499744
7,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 63488, 63488, 63488, 30720, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",27262348.80007057,6469498.263040327,27224536.943205,157439.74538702145,86574.20462200046
8,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",27173327.893960446,6472985.6850005565,27135639.505758,147783.51346563827,79579.0356840007
9,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 30720, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",25610778.274694867,5606610.406204018,25575257.0843,146747.32621767465,75822.42642800137
10,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 30720, 14336, 30720, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",23886182.087104335,4950034.273320901,23853052.847039,170516.84853438474,85688.2714959979
11,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 30720, 14336, 30720, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",23884740.613158956,4926976.29101451,23851613.372364,187182.77133945562,84776.61814700067
12,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 30720, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",22676252.986511227,4167547.525083363,22644801.872799,87659.92233540816,14232.941637001932
13,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 30720, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",23024996.298845697,4386543.35157229,22993061.491219,119989.71507055219,84527.96694299951
14,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",21290197.70605121,3637946.9711569264,21260668.999108,149065.93718364695,176723.56524899974
15,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",21986138.53983208,3784335.006033965,21955644.589014,112382.17610067548,88597.2229440026
16,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 14336, 30720, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",21724790.966049187,3669320.721853201,21694659.494529,265653.0061851954,249357.09742699936
17,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 14336, 30720, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",21726966.950051513,3766815.688740786,21696832.460523,137871.89735993464,89686.39110300317
18,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 30720, 30720, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",21808070.119925972,3801695.6578672426,21777823.143338,200306.07600490795,175984.49727100134
19,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",21466900.626963343,3553546.2421791395,21437126.839686,98315.4694032073,84384.38786599785
20,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 14336, 63488, 14336, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",20675341.199343547,3286959.6135946084,20646665.27535,101414.49768341333,7946.883754000068
21,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 14336, 63488, 30720, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19998810.81681468,3051307.9747028467,19971073.215127,100647.58634839905,256156.2085780017
22,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 63488, 30720, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",20255091.319867224,2609048.0628281687,20226998.266719,167613.52288102778,170380.17246100307
23,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 63488, 30720, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19466956.101929024,2637278.346813026,19439956.162814,229544.91139040794,167571.52104199678
24,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19559144.341621213,2663612.4532978926,19532016.54087,155926.31988303736,429057.0742130019
25,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 30720, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19388671.069003977,2732624.7468939787,19361779.708298,239474.86619976163,347738.1077989973
26,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",18871403.073721163,2605354.557313072,18845229.144354,183224.2000126629,172817.48455999792
27,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 30720, 63488, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19391500.98299771,2709005.8919145535,19364605.697307,203284.05520951934,170662.6843100004
28,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19566510.051828437,2671380.3066737987,19539372.035113,297496.57840512786,182942.6123409979
29,"[14336, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19305288.065209236,2660310.442617323,19278512.353607,198272.5159841627,163897.50857800245
30,"[30720, 14336, 14336, 14336, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19898821.556055404,2628955.0083183544,19871222.635728,295547.6258278261,270338.0817439966
31,"[30720, 14336, 14336, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19635754.845319934,2661912.1809756756,19608520.788669,156503.05614267942,165716.42372900248
32,"[30720, 14336, 30720, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19905289.061223876,2834619.7228657715,19877681.170709,240407.4652546174,346509.2692269981
33,"[30720, 30720, 30720, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19651189.525537398,2538681.1214335104,19623934.061563,220561.19231708674,508731.84566900134
34,"[30720, 30720, 30720, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",20071481.31146039,2665106.9646351193,20043642.918518,166253.85308772558,339313.57655499876
35,"[63488, 30720, 30720, 30720, 14336, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19302124.706469126,2640414.2509135106,19275353.382327,365912.4509948031,513390.004486002
