# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,7_11_1_5_3,4536734.444444445,3646119.8260599314,16332244.0,231118.9656621702,256079.0
2,2_4_6_7_9,3403248.5416666665,3378596.2522173845,16335593.0,182081.241873743,427724.0
3,7_11_4_13_1,6656546.347222222,3308350.882730255,16246486.0,150905.70466947276,93274.0
4,10_7_9_3_4,4353315.958333334,3561666.686851355,16073782.0,198404.8500451683,343916.0
5,12_15_5_11_13,7700107.229166667,3363574.805311939,16069789.0,178804.89981986163,354765.0
6,14_2_2_3_13,3026282.638888889,3445198.104581154,16760950.0,186052.7486714688,442606.0
7,2_7_14_8_11,5021833.097222222,3201046.9185848837,15720521.0,83193.56033391273,256520.0
8,5_11_13_1_12,4861842.125,3428609.372828791,16669173.0,165229.46643567504,348955.0
9,15_11_5_12_2,7443483.666666667,3418864.958648585,16240328.0,198662.66384710278,92641.0
10,7_14_5_5_3,5488475.0,3223776.296216533,15806808.0,256664.16767933778,513683.0
11,1_11_4_5_8,4196376.840277777,3394492.827209856,16331845.0,241219.12145577883,429075.0
12,2_9_3_9_11,4770443.958333333,3280119.8816246297,16754730.0,256771.31858176133,506546.0
13,2_7_11_7_2,4675687.548611111,3278704.1231507654,16421927.0,376895.3015795443,432051.0
14,9_10_8_14_9,7291426.909722221,3351645.631104995,16153315.0,106902.93629930401,254501.0
15,14_3_3_12_7,5470227.513888889,3524332.331244606,16759846.0,212884.22773168003,338468.0
16,3_14_6_12_11,7062967.180555556,3228076.7223461256,16673234.0,106005.01252239104,431347.0
17,13_10_12_6_5,6632333.958333333,3308308.2576613394,16755370.0,215636.53133598715,161054.0
18,14_7_15_10_10,7372890.0,3509819.6310182405,16852320.0,182785.40358666237,339001.0
19,3_14_7_9_7,6383929.611111111,3405928.961130452,16415819.0,253396.3641314227,346345.0
20,4_14_9_1_10,4902860.597222222,3414233.461814422,16418882.0,200446.3138857279,423146.0
21,6_8_13_6_14,5469702.027777777,3305516.072143846,16758236.0,210779.17993574915,428281.0
22,10_1_14_11_15,5416564.000000001,3553512.8650462665,16249692.0,341110.3901200737,524228.0
23,3_3_14_11_2,5211345.3125,3422915.31059158,16676305.0,300379.1673374041,262595.0
24,12_12_14_11_3,8381075.5,3559066.411412369,16762151.0,195598.69204293936,256702.0
25,1_1_1_4_13,1318021.5833333333,3325481.6797127156,15816259.0,192795.34231639514,510407.0
26,9_9_13_3_5,5244769.541666667,3308431.911284876,16418409.0,270055.657135759,91043.0
27,9_15_9_1_12,5638610.069444445,3647898.0908662006,16239197.0,277281.0061658784,261552.0
28,4_12_6_13_11,6837277.499999999,3371473.28572483,16409466.0,198531.72330776462,344437.0
29,9_3_2_3_2,2691161.159722222,3487208.512073111,16849009.0,198185.90145765385,428165.0
30,3_4_11_9_1,4632646.388888889,3363619.950885494,16677527.0,177142.28870173357,342211.0
31,2_15_9_4_5,5703361.465277778,3462141.0383295785,16760899.0,246963.32601201814,345501.0
32,11_4_9_15_13,6752578.708333334,3417193.0885658273,16765023.0,167021.37914406974,173906.0
33,4_8_10_13_3,6147081.888888889,3283197.440291455,15806782.0,215811.60319622792,512522.0
34,1_2_8_9_9,3514494.326388889,3544606.9388353936,16325393.0,172718.4318672479,347331.0
35,5_15_9_6_9,6349539.0,3372612.3725646883,16327386.0,235787.9887095862,249705.0
36,11_10_5_2_6,4558543.611111111,3410956.185944168,16410757.0,194882.1967532565,260972.0
37,10_4_12_2_5,3792518.1944444445,3406000.949703482,16062430.0,241986.55801926553,256473.0
38,12_4_10_8_14,5158586.944444444,3336564.9366424484,16148620.0,102284.34471847117,177481.0
39,5_2_11_12_14,5147518.444444445,3368956.8066353956,16846424.0,184417.75303938845,516642.0
40,14_1_4_10_14,4465093.055555556,3345299.1175115723,16074335.0,258271.22902347986,346310.0
41,3.144024929511973_14.0_6.608440235445364_8.0_7.0,5996194.247519304,3390778.6673906418,16063486.0,260530.0779076619,338765.0
42,2.0_14.0_4.6741227390828834_9.0_11.0,6100171.1332022,3375193.719155151,16676588.0,320946.080273523,511534.0
43,6.347118041808046_1.0_12.779401202171563_4.0_12.385502570246588,3320288.0791271823,3449227.170541743,16415332.0,113184.86788447201,334164.0
44,12.0_3.0369238714846647_6.0_6.0_9.0,4067805.5640665437,3421232.919440884,16237913.0,170419.25871168636,172553.0
45,9.0_7.935116807069235_3.7778727892129917_3.0_5.097656221704797,3867578.5156683046,3208901.5107788024,16073932.0,337620.14288931945,429913.0
46,9.0_3.0_7.330480605255069_3.0_1.5640257876807517,3211556.6596942223,3309037.7498645037,16323908.0,455063.34216065425,441108.0
47,8.0_1.0_14.0_11.0_8.406432998937,5215967.152777778,3396636.9058127687,16328245.0,121392.68534818105,270612.0
48,2.162953570678477_3.0_9.0_2.0_1.0,2589402.0020376863,3551950.2433863715,17619180.0,238030.3545762375,256495.0
49,1.0_3.1987210953542435_13.42030420574583_1.0_3.420669367403348,2601362.2140661823,3323231.655938969,16416878.0,165820.31574496487,252067.0
50,2.0_7.0_11.0_5.950611129031572_9.0,4201185.043697844,3280962.237143689,15551456.0,174263.63058851007,442987.0
51,1.0_9.746163740613788_4.0_5.0_8.137896788256768,3993100.581945196,3304910.9946416453,16670562.0,207162.60538395355,349713.0
52,5.0_1.0_12.144615033293732_4.765313462981964_5.0,3255241.545056015,3397203.8409946086,16347021.0,172748.06037443737,341486.0
53,11.0_15.0_6.0_11.0_13.0,7709144.3125,3303563.2073104726,16088649.0,95278.60894098831,169553.0
54,11.575699797244885_4.0_9.691860638009002_8.0_14.0,5246811.095107986,3262771.8525099233,16690557.0,292417.83391591953,254426.0
55,9.0_10.0_5.0_1.0_1.0,4024559.5,3276684.7289403793,16098238.0,265959.30108788796,169229.0
56,7.0_14.0_5.0_6.063924772905293_1.0,6011772.758499695,3528055.015165501,16607155.0,189349.76563308388,266636.0
57,2.0_7.0_14.0_7.0_11.0,5099961.777777777,3528935.015040878,16690784.0,261134.7063037944,347476.0
58,10.860202054752483_4.0_9.0_15.0_12.347513556451233,6502912.528810177,3500997.746727032,16184171.0,230820.7649781485,359640.0
59,6.0708597695064_13.930138870958695_5.0_5.0_3.0,5467342.73681073,3471879.202109392,16089905.0,268048.03448641393,177217.0
60,13.0_1.0_4.0_12.0_14.0,4883648.256944443,3309352.1091000014,16354543.0,135372.65707827825,340703.0
61,1.0_8.0_1.0_5.0_14.0,3061792.2222222225,3320025.7577289157,15746360.0,159070.3692954164,440788.0
62,3.4542720230947994_10.0_11.0_6.0_4.109708793644578,5275929.099739379,3318058.9199180333,16354444.0,200752.0753678428,527903.0
63,11.135960696608812_13.262302120819387_13.0_11.0_13.0,8380703.871910919,3225178.0009755376,16609028.0,226135.31998188607,181015.0
64,5.0_15.0_2.0_5.0_9.0,5254081.368055557,3280576.444457092,16097611.0,308956.57872701436,345639.0
65,10.870078709586462_10.0_8.0_13.0_14.0,7482053.612178256,3727732.015104219,16608824.0,168702.5465506278,423687.0
66,10.0_7.0_13.0_13.220022470684047_4.0,7357875.537370092,3399039.464081831,16701345.0,382390.63867470436,341389.0
67,10.333006677743622_11.0_4.0_5.0_8.0,5066397.8041805895,3430392.7078206707,15746038.0,160116.95871523116,350498.0
68,2.0_3.823030989697997_5.975922469367225_7.274065959642515_9.0,3353205.624081867,3302306.4191406784,16004632.0,284768.6426301752,511132.0
69,9.0_10.0_8.0_14.0_1.0,7383719.687499999,3286389.378851481,16357779.0,112477.09168464458,435522.0
70,12.0_10.0_11.0_12.0_14.0,7569821.451388889,3412212.3414209653,16269467.0,179383.53588824067,421600.0
71,3.0_14.446404391568475_4.0_12.0_11.0,6909656.582340143,3390438.4888337245,16612855.0,293770.84674275573,432292.0
72,1.0_1.0_8.0_9.0_8.0,3379417.125,3378053.7910625143,16780554.0,135763.6157793859,347514.0
73,10.0_3.0_2.0_3.0_6.0,2768087.5,3510829.138311108,16608525.0,205737.3972049281,347416.0
74,8.155127643324455_10.0_4.0_13.0_3.0,6601274.963775117,3451328.779781986,16345654.0,132514.47298311628,340992.0
75,8.886053065329573_7.0_9.0_2.190330615562028_3.0,3793097.3667343273,3243901.11509733,15060808.0,116930.14496262884,338539.0
76,7.0_11.0_4.0_6.206902923872234_3.0,5047698.160049995,3484395.939518948,16005453.0,297757.74852181226,339473.0
77,8.0_9.0_6.0_2.0_11.0,4152957.25,3476394.460552093,16611829.0,337074.4701251015,253412.0
78,7.7014110359127494_3.0_2.0_3.0_2.0,2437298.1325997985,3375621.3399883504,16172724.0,332939.85032094596,173978.0
79,7.0_14.796571756242486_4.0_12.0_1.0,7565117.120173981,3226695.201477311,16865209.0,256184.546359397,428378.0
80,3.0_12.580905484976276_12.0_12.0_4.0,7172456.8084662175,3474673.5463857637,16097329.0,178313.00314400624,344381.0
81,8.893239879662229_6.997798277423894_5.0_1.0_1.1002590096054494,3374810.1675456725,3256378.5855544494,16259337.0,192976.64924865868,423875.0
82,1.8562557404100843_6.632857045475198_3.922361936281881_2.9461596589546297_11.0,2802574.6275537685,3307055.501663864,16183839.0,222736.22498656996,439093.0
83,1.9378975015486808_7.076142643770493_2.0_4.632408201005615_2.0,3156390.7754141656,3616590.467740867,16615620.0,214578.10808962584,434277.0
84,11.135960696608812_13.262302120819387_7.340786766124856_2.693439370662941_1.2501192166060735,5659193.490024061,3467301.187953216,16172901.0,307965.7005669321,343034.0
85,1.4086588619185711_1.3839241262530546_8.0_8.462923676790368_9.0,3287582.43572353,3201124.2887116363,16267133.0,208863.98161952756,353695.0
86,1.0269959925726149_3.823030989697997_5.975922469367225_3.979205677164372_8.452829812025605,2512265.8807694945,3365938.4721104153,16002124.0,217591.32096259343,348744.0
87,3.9904303024914913_8.095571113214701_10.0_4.773383205772108_3.0,4607059.028130794,3470931.232110668,16698823.0,165438.3595358748,267045.0
88,2.0203541853800777_3.0_8.996456914464103_2.0_1.4548825549589646,2361498.8101048544,3310829.902716861,16180182.0,166890.43619729718,341567.0
89,2.0_9.0_3.0_10.26794066198789_1.0813775411699402,4892031.447302253,3369088.895992088,16180964.0,244436.74261041963,349066.0
90,4.631047498709502_1.8793591827107523_2.0189743561653697_5.017577343459855_9.0,2296952.0906619243,3304163.9121699436,16178967.0,159073.9770565033,179049.0
91,6.492256228752823_2.988688929038301_1.5080996232023907_3.0_2.1988131380555487,2232094.013233549,3513717.538064558,16088989.0,159697.76071674796,264690.0
92,13.0_1.0_3.979860220350497_1.3700333473020798_1.0392544761539604,2362194.242322549,3282878.4278018926,15661009.0,351365.68051660294,429799.0
93,2.0_7.143034438856579_14.41430787206209_5.137935913216248_11.0,4430344.882127537,3389031.8891649363,15569255.0,104230.80812835833,265473.0
