# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
1,7_11_1_5_3,Clerk_1,7,0.27097432836052554,25
1,7_11_1_5_3,Credit_Officer_1,11,0.9934849711519669,50
1,7_11_1_5_3,Clerk_2,1,0.2814065794134186,25
1,7_11_1_5_3,Credit_Officer_2,5,0.8208456587085041,50
1,7_11_1_5_3,System,3,0.00018909975206777898,0
2,2_4_6_7_9,Clerk_1,2,0.2729405769776228,25
2,2_4_6_7_9,Credit_Officer_1,4,0.9918962560497645,50
2,2_4_6_7_9,Clerk_2,6,0.2916420542597393,25
2,2_4_6_7_9,Credit_Officer_2,7,0.8384667941736881,50
2,2_4_6_7_9,System,9,0.00019470807065024635,0
3,7_11_4_13_1,Clerk_1,7,0.2707757797478022,25
3,7_11_4_13_1,Credit_Officer_1,11,0.9921070483210446,50
3,7_11_4_13_1,Clerk_2,4,0.29294866954970367,25
3,7_11_4_13_1,Credit_Officer_2,13,0.8172065702869574,50
3,7_11_4_13_1,System,1,0.00019254435142194217,0
4,10_7_9_3_4,Clerk_1,10,0.2799510603903947,25
4,10_7_9_3_4,Credit_Officer_1,7,0.9944921932068324,50
4,10_7_9_3_4,Clerk_2,9,0.2953317136052818,25
4,10_7_9_3_4,Credit_Officer_2,3,0.8420548830137486,50
4,10_7_9_3_4,System,4,0.00018884114804138772,0
5,12_15_5_11_13,Clerk_1,12,0.27337658393839437,25
5,12_15_5_11_13,Credit_Officer_1,15,0.9955274278163465,50
5,12_15_5_11_13,Clerk_2,5,0.305893902035785,25
5,12_15_5_11_13,Credit_Officer_2,11,0.8351710953975158,50
5,12_15_5_11_13,System,13,0.00022502647774020107,0
6,14_2_2_3_13,Clerk_1,14,0.27032588336959695,25
6,14_2_2_3_13,Credit_Officer_1,2,0.9945490420170151,50
6,14_2_2_3_13,Clerk_2,2,0.30399788251797516,25
6,14_2_2_3_13,Credit_Officer_2,3,0.843823664164649,50
6,14_2_2_3_13,System,13,0.00019464527734132863,0
7,2_7_14_8_11,Clerk_1,2,0.2694959044952661,25
7,2_7_14_8_11,Credit_Officer_1,7,0.9949054302052681,50
7,2_7_14_8_11,Clerk_2,14,0.2771454934246889,25
7,2_7_14_8_11,Credit_Officer_2,8,0.8162799864860701,50
7,2_7_14_8_11,System,11,0.0001931205475015882,0
8,5_11_13_1_12,Clerk_1,5,0.2714390078954995,25
8,5_11_13_1_12,Credit_Officer_1,11,0.9929121393169792,50
8,5_11_13_1_12,Clerk_2,13,0.2955546603931055,25
8,5_11_13_1_12,Credit_Officer_2,1,0.8374782249933533,50
8,5_11_13_1_12,System,12,0.0001758887503896328,0
9,15_11_5_12_2,Clerk_1,15,0.2639542471437533,25
9,15_11_5_12_2,Credit_Officer_1,11,0.9879204705150348,50
9,15_11_5_12_2,Clerk_2,5,0.28646160998608494,25
9,15_11_5_12_2,Credit_Officer_2,12,0.8320846103646194,50
9,15_11_5_12_2,System,2,0.0001987447035578308,0
10,7_14_5_5_3,Clerk_1,7,0.2778394346801829,25
10,7_14_5_5_3,Credit_Officer_1,14,0.9882974009930675,50
10,7_14_5_5_3,Clerk_2,5,0.28695968313468334,25
10,7_14_5_5_3,Credit_Officer_2,5,0.8426924004136014,50
10,7_14_5_5_3,System,3,0.0001812928904182907,0
11,1_11_4_5_8,Clerk_1,1,0.2823252904247068,25
11,1_11_4_5_8,Credit_Officer_1,11,0.9918582181007602,50
