# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,7_11_1_5_3,4562448.611111111,3369624.1000443245,16424815.0,243981.94660354313,338844.0
2,2_4_6_7_9,3384311.6666666665,3288151.0181382573,16244696.0,172866.3998822663,92104.0
3,7_11_4_13_1,6832515.895833333,3412029.07206504,16675971.0,263138.6864523436,258211.0
4,10_7_9_3_4,4376275.312500001,3372174.3427761444,16158555.0,338501.006263684,175213.0
5,12_15_5_11_13,7700974.041666667,3480972.0596738444,16071598.0,407021.6749242665,434457.0
6,14_2_2_3_13,2949893.013888889,3488578.2500005844,16337869.0,192914.0047496059,354036.0
7,2_7_14_8_11,5328473.888888888,3503365.4129406577,16680440.0,404907.62102672225,434552.0
8,5_11_13_1_12,4790552.666666667,3214088.2176963133,16424752.0,155982.20780002093,263255.0
9,15_11_5_12_2,7642607.500000001,3515533.9297801303,16674780.0,241915.15349256806,429428.0
10,7_14_5_5_3,5701830.902777778,3266837.013200486,16421273.0,132255.02665144205,431102.0
11,1_11_4_5_8,4042551.1388888885,3203708.988682155,15733172.0,173577.71452661743,337331.0
12,2_9_3_9_11,4795905.8125,3405813.6178974966,16844157.0,273752.67232804745,519551.0
13,2_7_11_7_2,4673672.284722222,3393844.676460121,16414849.0,299272.3303154609,161684.0
14,9_10_8_14_9,7371877.951388888,3418110.4760591066,16331545.0,171407.34712778125,173825.0
15,14_3_3_12_7,5471879.041666667,3405907.635364576,16764906.0,192437.43072213978,254036.0
16,3_14_6_12_11,6882635.083333334,3473973.3338919827,16247532.0,239711.28713463666,338561.0
17,13_10_12_6_5,6462696.020833333,3449846.67074404,16326811.0,344548.89665077394,516500.0
18,14_7_15_10_10,7148184.75,3447039.2722858265,16338708.0,301257.8642608286,94121.0
19,3_14_7_9_7,6250164.277777778,3297503.365332892,16071851.0,128532.43667661864,262743.0
20,4_14_9_1_10,4877706.493055555,3382386.6002908815,16334645.0,223102.3139300272,267112.0
21,6_8_13_6_14,5445515.631944444,3569488.161288911,16684133.0,120233.78372131987,270655.0
22,10_1_14_11_15,5474360.666666667,3396600.1836399026,16423082.0,133627.62285311753,261268.0
