# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,29_49_1_21,880443.0,3586.225658598595,31695948.0,16.581900309019602,121054.0
1,10_7_13_24,475151.27999999997,3333.1628960682287,31676752.0,18.23186122887637,178516.0
2,27_37_29_47,1241893.7611111111,3327.5780838454434,31934411.0,15.842742498053212,146707.0
3,14_60_2_46,1082791.6833333333,3333.492805661996,31951230.0,10.986115300217989,171976.0
4,29_38_10_14,796081.6247222223,3326.758619207117,31493339.0,14.513118721167302,141715.0
5,55_66_22_48,1697827.3847222223,3323.7690097209347,32000935.0,20.04240511107446,185918.0
6,60_61_6_3,1132652.8416666666,3325.712437285079,31365771.0,9.734674189766338,238592.0
7,12_60_7_29,941712.96,3313.5825725817417,31390432.0,14.875571759131617,126620.0
8,66_37_48_22,1527196.953611111,3317.3787724502217,31779821.0,13.929324210339018,114151.0
9,47_57_2_52,1398740.3372222225,3341.703034501354,31870033.0,18.233406868656857,213424.0
10,68_51_20_54,1710122.5519444444,3333.971087864558,31898659.0,18.354187317040214,150025.0
11,8_31_62_20,1061156.6227777777,3326.881089928362,31571602.0,27.046212181634473,113465.0
12,20_9_2_47,695326.0383333333,3321.118679226822,32091971.0,17.040022302905527,163225.0
13,15_19_34_4,631938.58,3315.174555360145,31596929.0,22.771736765331752,166198.0
14,40_10_41_48,1227654.139166667,3329.503284961965,31795359.0,18.326606892506334,197791.0
15,7_29_48_29,1002070.0947222223,3327.462317702704,31924357.0,17.214542268262903,185295.0
16,4_37_46_36,1084905.6466666667,3318.118786362105,31753336.0,20.397155833165016,109119.0
17,65_40_62_10,1554522.9041666666,3316.5436977521845,31617415.0,17.78788678978526,111414.0
18,10_55_28_12,925903.9416666667,3331.142048069371,31745278.0,15.515025693443022,133898.0
19,64_24_52_50,1662354.4916666667,3315.6545744222667,31497243.0,11.002594742258225,179021.0
20,61_43_52_24,1593836.05,3335.880855906685,31876721.0,10.662044644660455,133102.0
21,19_61_30_66,1578356.56,3336.00832077833,32284566.0,13.990573316878908,95543.0
22,46_43_8_65,1433510.28,3313.064575119853,31855784.0,14.429453308211578,218018.0
23,31_40_28_17,1002804.7588888891,3328.607191397839,31121527.0,10.486787397702301,213270.0
24,62_40_1_42,1275119.9708333334,3568.042672297663,31658151.0,24.596336942460766,119498.0
25,23_36_61_25,1282540.426388889,3314.8524092817174,31842383.0,9.536620858775223,110680.0
26,62_43_2_64,1502610.915,3330.8047490966055,31633914.0,12.58228971346216,236870.0
27,47_68_12_10,1206520.183333333,3332.7129888738127,31704180.0,10.257105167296231,167608.0
28,64_48_5_52,1487032.9247222221,3328.8571723652017,31676441.0,8.047418583777016,150206.0
29,52_63_49_9,1524086.3175,3314.5119163235026,31715091.0,7.541947079327201,76414.0
30,2_2_2_17,205544.9625,7950.358820019709,32172255.0,347.8996960675322,211145.0
31,59_37_38_58,1711255.04,3311.2822006333404,32086032.0,14.28128614449497,74095.0
32,9_19_40_66,1179286.0950000002,3317.896615130928,31682313.0,21.44057178344974,136407.0
33,39_2_55_16,985061.9022222222,8192.307836620794,31662704.0,252.28923146388297,227146.0
34,55_27_59_51,1705923.2533333334,3307.976611567418,31986061.0,21.432376939746973,124970.0
35,38_10_5_9,543126.6133333333,3321.278410449465,31536384.0,21.796737465434944,167377.0
36,4_8_16_49,675044.1775,3324.496239810255,31560507.0,21.44461727380758,91895.0
37,39_1_5_66,1513771.3800000001,9455940.633859191,49095288.0,277979.90688722953,335668.0
38,39_14_18_51,1071557.8894444446,3312.2809729170003,31619741.0,17.888228724135388,246715.0
39,14_40_66_58,1562333.7877777778,3321.92710227153,31597762.0,15.260824886202954,111029.0
40,10_4_28_12,476215.57499999995,3437.7625823623075,31747705.0,28.798439637912907,99240.0
41,8_31_61_21,1067201.816388889,3322.433995804813,31751459.0,22.773693158970673,130788.0
42,14_37_10_14,667689.4791666667,3315.9400662428275,32049095.0,17.147301377322947,215835.0
43,12_52_64_30,1382780.1427777777,3314.4411980934674,31506383.0,12.10590288195317,171135.0
44,16_27_35_51,1135505.1208333333,3325.219937707106,31688515.0,22.162779234515256,175719.0
45,6_24_46_36,990612.3422222222,3308.3415867932904,31841111.0,22.41066980563255,112903.0
46,14_14_2_43,639168.1074999999,3329.1039316892757,31520619.0,9.656955368015588,253497.0
47,38_16_5_51,968190.1777777777,3314.8127988581523,31686224.0,10.382940985388359,100275.0
48,2_37_32_17,777593.4466666667,3318.824417441938,31810641.0,17.367575458553347,201319.0
49,55_52_20_54,1603204.3827777777,3323.667228218728,31886938.0,10.025457609348905,162309.0
50,17_60_12_29,1036193.4000000001,3325.8732286628087,31612680.0,17.976826011419234,169978.0
51,62_40_66_59,2010430.7336111113,3314.59121515527,31883483.0,13.964777780387067,139681.0
52,34_40_28_15,1034048.9575,3323.475366756916,31816891.0,26.742906806694464,175274.0
53,8_14_21_61,915183.9666666668,3335.09376217503,31679445.0,17.84210256856022,149778.0
54,40_11_40_48,1221183.3416666668,3311.164329741001,31627770.0,17.04701154461145,81040.0
