Total Solutions Generated,2169
Total Iterations,470

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_118_3,3584552.916666667,10561.719671328734,91520500.0,199.4991883683997,525833.0
1,20_118_5,3604368.307222223,10157.5625767714,90739342.0,134.09468857757383,198624.0
2,20_118_6,3663391.48,10296.090698009859,91584787.0,139.3537555778621,604800.0
3,20_1_3,606526.18,106403.95872545776,90978927.0,4997.270920470823,285177.0
4,1_118_3,3107122.568888889,10594.816902751554,91685584.0,201.1488179754997,578809.0
5,20_118_1,3526131.6133333337,26173.748178644328,91324272.0,2382.9364994968164,439580.0
6,20_116_5,3603939.3200000003,10302.987430424591,92015472.0,118.28754863011818,336023.0
7,18_118_5,3610709.0825,10189.493839501987,92188317.0,183.78561176234507,523675.0
8,20_117_3,3531339.466666667,10667.254476364156,90805872.0,114.95550084489696,454951.0
9,20_118_4,3626091.173333334,10323.702710762233,91929072.0,188.29006411673618,344278.0
10,20_119_3,3609051.173333333,10318.33652292637,91497072.0,145.86567002000447,576092.0
11,20_118_9,3690266.4400000004,10327.192589001466,90373872.0,111.76372785018975,340613.0
12,20_118_10,3730365.5711111114,10221.28991774726,90738622.0,193.8782265127502,259200.0
13,20_1_5,654013.3672222223,108164.78139853913,90555697.0,9771.483090072696,438446.0
14,1_118_5,3175373.813333334,10269.990164370398,92188272.0,239.00471593963084,595627.0
15,20_114_9,3594257.770277778,10103.791146144033,90484811.0,151.04032164804084,676314.0
16,16_118_9,3665402.0975000006,10288.491386384905,92275857.0,188.45674199310815,240105.0
17,20_117_5,3612459.173333334,10358.572663587332,91583472.0,139.49468416199124,344187.0
18,20_119_5,3677162.88,10346.436804172366,91929072.0,156.18680368918103,261887.0
19,20_2_3,646797.0694444445,22478.04349093905,93138778.0,1128.759948704046,518327.0
20,1_1_3,126859.4138888889,106526.35103769417,91338778.0,3624.691237726729,247648.0
21,20_1_1,560268.2983333333,123703.30027485709,91680267.0,10631.357568377483,406985.0
22,19_1_3,584631.8505555555,107352.6577910366,91507594.0,10718.179354635242,258408.0
23,1_118_6,3180050.3472222225,10179.914685780903,91585450.0,91.6349660173255,345374.0
24,1_118_1,3056618.4000000004,23093.409638267476,91698552.0,3111.8813413986354,240153.0
25,1_116_5,3118685.5255555557,10300.936194994321,92026786.0,146.99923406479684,410648.0
26,1_117_3,3098550.2533333334,10559.639241683186,92188272.0,356.3312020809353,96351.0
27,1_118_4,3129636.2925000004,10389.125950616708,91599111.0,146.8886463673116,369934.0
28,1_119_3,3149765.96,10640.386952215234,92188272.0,181.92270199199447,454263.0
29,1_118_9,3234797.2266666675,10248.259029191802,90978672.0,143.88765854206758,420080.0
30,1_118_10,3281972.7783333333,10263.357141703784,91589938.0,150.23602515087623,684734.0
31,2_118_5,3162022.1875,10119.1002498385,91066239.0,226.03261971129905,369323.0
32,1_141_5,3757298.4400000004,10285.139863932927,92015472.0,229.20385159108082,501932.0
33,1_1_5,178919.22416666665,102660.46962286418,92015601.0,3952.4711493358045,420090.0
34,1_114_9,3138174.6055555562,10375.001230068267,91108295.0,320.89965429980475,561577.0
35,1_122_1,3166932.4100000006,26343.407899042457,91943199.0,5858.51066392404,193624.0
36,1_117_5,3134364.856666667,10200.494844845494,91737508.0,103.1932682420611,301329.0
37,1_119_5,3159294.513888889,10219.397077307254,90987682.0,213.77881338484076,328476.0
38,20_114_17,3820681.1072222227,10322.400994964839,91089086.0,217.57664571919122,426940.0
39,20_114_18,3871030.106666667,10290.908814738701,91682292.0,119.19679269141852,419504.0
40,39_114_9,4167912.2400000007,10447.285772514422,92620272.0,121.674900468528,208028.0
41,40_114_9,4111488.093333334,10446.680290943006,90805872.0,222.5813987701822,503436.0
42,20_141_9,4328855.066666667,10262.651972329953,91669872.0,191.68596365923804,276006.0
43,20_1_9,758269.7916666666,106210.31439934368,90992375.0,6573.974275224857,321341.0
44,20_114_1,3401980.2000000007,27143.140022589476,90719472.0,3500.5581686757614,331007.0
45,20_106_17,3634830.4452777775,10312.979321335464,91506221.0,168.71378356217247,259200.0
46,12_114_17,3617556.680833334,10402.948197113175,91071357.0,94.7160138421059,335264.0
47,39_95_9,3635335.9900000007,10114.014486182461,91518948.0,212.25518862223544,513731.0
48,28_114_1,3613875.0266666673,27629.412177520622,90978672.0,3815.2860387202018,327547.0
49,1_133_9,3641817.4650000003,10311.242481140394,91682118.0,79.4428763406977,500398.0
50,20_122_1,3604607.474722223,27801.40009776782,90745363.0,7140.6355123472895,370291.0
51,20_113_9,3585921.3061111113,10349.211315039774,90910681.0,163.48752767868973,424309.0
52,20_114_10,3636374.0,10233.368231850356,90909350.0,151.47256114774973,328259.0
53,20_115_9,3615252.2800000003,10322.8723758638,90381307.0,89.18815919114058,676869.0
54,20_3_3,668939.765,12568.25179747803,92622429.0,149.48818440963805,666734.0
55,20_4_3,682994.7000000001,10841.194442678263,91065960.0,114.78682929373826,586738.0
56,20_2_5,695363.9550000001,22509.709929540764,92715194.0,1036.4555216194894,412015.0
57,20_2_6,708283.8933333334,22541.17865589859,91065072.0,785.5901741561502,338114.0
58,1_2_3,152639.12,23108.670524369907,91583472.0,960.1622589794279,185721.0
