# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,59_102_1,SYSTEM,59,0.0,1
0,59_102_1,Role 1,102,0.0,1
0,59_102_1,Role 2,1,0.48,1
1,43_21_14,SYSTEM,43,0.0,1
1,43_21_14,Role 1,21,0.02,1
1,43_21_14,Role 2,14,0.04,1
2,27_49_56,SYSTEM,27,0.0,1
2,27_49_56,Role 1,49,0.01,1
2,27_49_56,Role 2,56,0.01,1
3,76_60_97,SYSTEM,76,0.0,1
3,76_60_97,Role 1,60,0.01,1
3,76_60_97,Role 2,97,0.01,1
4,29_124_4,SYSTEM,29,0.0,1
4,29_124_4,Role 1,124,0.0,1
4,29_124_4,Role 2,4,0.13,1
5,95_59_79,SYSTEM,95,0.0,1
5,95_59_79,Role 1,59,0.01,1
5,95_59_79,Role 2,79,0.01,1
6,20_28_113,SYSTEM,20,0.0,1
6,20_28_113,Role 1,28,0.01,1
6,20_28_113,Role 2,113,0.0,1
7,137_45_98,SYSTEM,137,0.0,1
7,137_45_98,Role 1,45,0.01,1
7,137_45_98,Role 2,98,0.0,1
8,124_127_12,SYSTEM,124,0.0,1
8,124_127_12,Role 1,127,0.0,1
8,124_127_12,Role 2,12,0.04,1
9,6_24_124,SYSTEM,6,0.0,1
9,6_24_124,Role 1,24,0.02,1
9,6_24_124,Role 2,124,0.0,1
10,14_60_136,SYSTEM,14,0.0,1
10,14_60_136,Role 1,60,0.01,1
10,14_60_136,Role 2,136,0.0,1
11,76_98_45,SYSTEM,76,0.0,1
11,76_98_45,Role 1,98,0.0,1
11,76_98_45,Role 2,45,0.01,1
12,97_118_3,SYSTEM,97,0.0,1
12,97_118_3,Role 1,118,0.0,1
12,97_118_3,Role 2,3,0.18,1
13,106_140_106,SYSTEM,106,0.0,1
13,106_140_106,Role 1,140,0.0,1
13,106_140_106,Role 2,106,0.0,1
14,40_112_15,SYSTEM,40,0.0,1
14,40_112_15,Role 1,112,0.0,1
14,40_112_15,Role 2,15,0.03,1
15,64_129_42,SYSTEM,64,0.0,1
15,64_129_42,Role 1,129,0.0,1
15,64_129_42,Role 2,42,0.01,1
16,41_19_3,SYSTEM,41,0.0,1
16,41_19_3,Role 1,19,0.02,1
16,41_19_3,Role 2,3,0.17,1
17,96_30_38,SYSTEM,96,0.0,1
17,96_30_38,Role 1,30,0.01,1
17,96_30_38,Role 2,38,0.01,1
18,70_8_81,SYSTEM,70,0.0,1
18,70_8_81,Role 1,8,0.05,1
18,70_8_81,Role 2,81,0.01,1
19,21_84_99,SYSTEM,21,0.0,1
19,21_84_99,Role 1,84,0.01,1
19,21_84_99,Role 2,99,0.01,1
20,15_59_98,SYSTEM,15,0.0,1
20,15_59_98,Role 1,59,0.01,1
20,15_59_98,Role 2,98,0.0,1
21,59_8_76,SYSTEM,59,0.0,1
21,59_8_76,Role 1,8,0.05,1
21,59_8_76,Role 2,76,0.01,1
22,94_73_134,SYSTEM,94,0.0,1
22,94_73_134,Role 1,73,0.01,1
22,94_73_134,Role 2,134,0.0,1
23,83_128_20,SYSTEM,83,0.0,1
23,83_128_20,Role 1,128,0.0,1
23,83_128_20,Role 2,20,0.02,1
24,20_114_57,SYSTEM,20,0.0,1
24,20_114_57,Role 1,114,0.0,1
24,20_114_57,Role 2,57,0.01,1
25,24_131_50,SYSTEM,24,0.0,1
25,24_131_50,Role 1,131,0.0,1
25,24_131_50,Role 2,50,0.01,1
26,106_103_125,SYSTEM,106,0.0,1
26,106_103_125,Role 1,103,0.0,1
26,106_103_125,Role 2,125,0.0,1
27,88_106_50,SYSTEM,88,0.0,1
27,88_106_50,Role 1,106,0.0,1
27,88_106_50,Role 2,50,0.01,1
28,39_127_61,SYSTEM,39,0.0,1
28,39_127_61,Role 1,127,0.0,1
28,39_127_61,Role 2,61,0.01,1
29,137_94_88,SYSTEM,137,0.0,1
29,137_94_88,Role 1,94,0.0,1
29,137_94_88,Role 2,88,0.01,1
30,17_134_64,SYSTEM,17,0.0,1
30,17_134_64,Role 1,134,0.0,1
30,17_134_64,Role 2,64,0.01,1
31,82_58_34,SYSTEM,82,0.0,1
31,82_58_34,Role 1,58,0.01,1
31,82_58_34,Role 2,34,0.02,1
32,128_81_1,SYSTEM,128,0.0,1
32,128_81_1,Role 1,81,0.0,1
32,128_81_1,Role 2,1,0.49,1
33,88_47_75,SYSTEM,88,0.0,1
33,88_47_75,Role 1,47,0.01,1
33,88_47_75,Role 2,75,0.01,1
34,125_51_129,SYSTEM,125,0.0,1
34,125_51_129,Role 1,51,0.01,1
34,125_51_129,Role 2,129,0.0,1
35,88_3_132,SYSTEM,88,0.0,1
35,88_3_132,Role 1,3,0.13,1
35,88_3_132,Role 2,132,0.0,1
36,98_141_25,SYSTEM,98,0.0,1
36,98_141_25,Role 1,141,0.0,1
36,98_141_25,Role 2,25,0.02,1
37,20_132_99,SYSTEM,20,0.0,1
37,20_132_99,Role 1,132,0.0,1
37,20_132_99,Role 2,99,0.0,1
38,10_107_107,SYSTEM,10,0.0,1
38,10_107_107,Role 1,107,0.0,1
38,10_107_107,Role 2,107,0.01,1
39,131_101_18,SYSTEM,131,0.0,1
39,131_101_18,Role 1,101,0.0,1
39,131_101_18,Role 2,18,0.03,1
40,25_85_99,SYSTEM,25,0.0,1
40,25_85_99,Role 1,85,0.0,1
40,25_85_99,Role 2,99,0.01,1
41,11_24_124,SYSTEM,11,0.0,1
41,11_24_124,Role 1,24,0.02,1
41,11_24_124,Role 2,124,0.0,1
42,30_49_40,SYSTEM,30,0.0,1
42,30_49_40,Role 1,49,0.01,1
42,30_49_40,Role 2,40,0.01,1
43,95_49_113,SYSTEM,95,0.0,1
43,95_49_113,Role 1,49,0.01,1
43,95_49_113,Role 2,113,0.0,1
44,28_17_2,SYSTEM,28,0.0,1
44,28_17_2,Role 1,17,0.02,1
44,28_17_2,Role 2,2,0.23,1
45,105_102_122,SYSTEM,105,0.0,1
45,105_102_122,Role 1,102,0.0,1
45,105_102_122,Role 2,122,0.0,1
46,91_42_47,SYSTEM,91,0.0,1
46,91_42_47,Role 1,42,0.01,1
46,91_42_47,Role 2,47,0.01,1
47,24_139_49,SYSTEM,24,0.0,1
47,24_139_49,Role 1,139,0.0,1
47,24_139_49,Role 2,49,0.01,1
48,52_8_79,SYSTEM,52,0.0,1
48,52_8_79,Role 1,8,0.05,1
48,52_8_79,Role 2,79,0.01,1
49,79_24_126,SYSTEM,79,0.0,1
49,79_24_126,Role 1,24,0.02,1
49,79_24_126,Role 2,126,0.0,1
50,15_58_91,SYSTEM,15,0.0,1
50,15_58_91,Role 1,58,0.01,1
50,15_58_91,Role 2,91,0.01,1
51,21_27_85,SYSTEM,21,0.0,1
51,21_27_85,Role 1,27,0.02,1
51,21_27_85,Role 2,85,0.01,1
52,21_3_132,SYSTEM,21,0.0,1
52,21_3_132,Role 1,3,0.14,1
52,21_3_132,Role 2,132,0.0,1
53,94_84_102,SYSTEM,94,0.0,1
53,94_84_102,Role 1,84,0.0,1
53,94_84_102,Role 2,102,0.0,1
54,20_106_50,SYSTEM,20,0.0,1
54,20_106_50,Role 1,106,0.0,1
54,20_106_50,Role 2,50,0.01,1
55,45_21_129,SYSTEM,45,0.0,1
55,45_21_129,Role 1,21,0.02,1
55,45_21_129,Role 2,129,0.0,1
56,92_72_134,SYSTEM,92,0.0,1
56,92_72_134,Role 1,72,0.01,1
56,92_72_134,Role 2,134,0.0,1
57,21_54_85,SYSTEM,21,0.0,1
57,21_54_85,Role 1,54,0.01,1
57,21_54_85,Role 2,85,0.01,1
58,52_8_76,SYSTEM,52,0.0,1
58,52_8_76,Role 1,8,0.05,1
58,52_8_76,Role 2,76,0.01,1
59,95_22_54,SYSTEM,95,0.0,1
59,95_22_54,Role 1,22,0.02,1
59,95_22_54,Role 2,54,0.01,1
60,20_29_79,SYSTEM,20,0.0,1
60,20_29_79,Role 1,29,0.01,1
60,20_29_79,Role 2,79,0.01,1
61,41_124_8,SYSTEM,41,0.0,1
61,41_124_8,Role 1,124,0.0,1
61,41_124_8,Role 2,8,0.07,1
62,60_103_6,SYSTEM,60,0.0,1
62,60_103_6,Role 1,103,0.0,1
62,60_103_6,Role 2,6,0.08,1
63,25_119_75,SYSTEM,25,0.0,1
63,25_119_75,Role 1,119,0.0,1
63,25_119_75,Role 2,75,0.01,1
64,131_101_19,SYSTEM,131,0.0,1
64,131_101_19,Role 1,101,0.0,1
64,131_101_19,Role 2,19,0.03,1
65,63_102_5,SYSTEM,63,0.0,1
65,63_102_5,Role 1,102,0.0,1
65,63_102_5,Role 2,5,0.1,1
66,27_49_57,SYSTEM,27,0.0,1
66,27_49_57,Role 1,49,0.01,1
66,27_49_57,Role 2,57,0.01,1
67,14_59_63,SYSTEM,14,0.0,1
67,14_59_63,Role 1,59,0.01,1
67,14_59_63,Role 2,63,0.01,1
68,58_4_110,SYSTEM,58,0.0,1
68,58_4_110,Role 1,4,0.1,1
68,58_4_110,Role 2,110,0.0,1
69,91_131_50,SYSTEM,91,0.0,1
69,91_131_50,Role 1,131,0.0,1
69,91_131_50,Role 2,50,0.01,1
70,28_30_35,SYSTEM,28,0.0,1
70,28_30_35,Role 1,30,0.02,1
70,28_30_35,Role 2,35,0.01,1
71,88_114_59,SYSTEM,88,0.0,1
71,88_114_59,Role 1,114,0.0,1
71,88_114_59,Role 2,59,0.01,1
72,126_51_9,SYSTEM,126,0.0,1
72,126_51_9,Role 1,51,0.01,1
72,126_51_9,Role 2,9,0.05,1
73,105_140_97,SYSTEM,105,0.0,1
73,105_140_97,Role 1,140,0.0,1
73,105_140_97,Role 2,97,0.0,1
74,29_128_108,SYSTEM,29,0.0,1
74,29_128_108,Role 1,128,0.0,1
74,29_128_108,Role 2,108,0.0,1
75,6_24_127,SYSTEM,6,0.0,1
75,6_24_127,Role 1,24,0.02,1
75,6_24_127,Role 2,127,0.0,1
76,103_135_126,SYSTEM,103,0.0,1
76,103_135_126,Role 1,135,0.0,1
76,103_135_126,Role 2,126,0.0,1
77,106_101_127,SYSTEM,106,0.0,1
77,106_101_127,Role 1,101,0.0,1
77,106_101_127,Role 2,127,0.0,1
78,20_28_4,SYSTEM,20,0.0,1
78,20_28_4,Role 1,28,0.01,1
78,20_28_4,Role 2,4,0.12,1
79,43_21_18,SYSTEM,43,0.0,1
79,43_21_18,Role 1,21,0.02,1
79,43_21_18,Role 2,18,0.02,1
80,8_61_64,SYSTEM,8,0.0,1
80,8_61_64,Role 1,61,0.01,1
80,8_61_64,Role 2,64,0.01,1
81,11_25_128,SYSTEM,11,0.0,1
81,11_25_128,Role 1,25,0.02,1
81,11_25_128,Role 2,128,0.0,1
82,56_15_2,SYSTEM,56,0.0,1
82,56_15_2,Role 1,15,0.03,1
82,56_15_2,Role 2,2,0.24,1
83,21_124_8,SYSTEM,21,0.0,1
83,21_124_8,Role 1,124,0.0,1
83,21_124_8,Role 2,8,0.06,1
84,24_30_13,SYSTEM,24,0.0,1
84,24_30_13,Role 1,30,0.01,1
84,24_30_13,Role 2,13,0.04,1
85,20_37_35,SYSTEM,20,0.0,1
85,20_37_35,Role 1,37,0.01,1
85,20_37_35,Role 2,35,0.01,1
86,27_49_35,SYSTEM,27,0.0,1
86,27_49_35,Role 1,49,0.01,1
