Total Solutions Generated,1569
Total Iterations,748

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_248_42_27,7212580.061388889,2084.1597374676467,77048333.0,26.970874096870375,665224.0
1,39_248_42_27,7545798.942222222,2086.72836803031,76305832.0,28.274617604911327,831078.0
2,40_248_42_27,7327700.286666668,2110.4435722877383,73892776.0,46.6933020359279,1027972.0
3,20_337_42_27,9087636.716666667,2075.9535827813147,76796930.0,21.391928874015775,787510.0
4,20_248_83_27,7771697.849999999,2086.221150683105,74016170.0,21.816199805200085,676630.0
5,20_248_84_27,7828672.848888889,2085.2062532835603,74362064.0,25.513951295137304,743780.0
6,20_248_42_53,7636367.273333333,2111.4544793819787,75732568.0,30.654279955863785,682395.0
7,20_248_42_54,7492904.206666667,2094.4134920880792,74105646.0,40.63601100677215,693924.0
8,20_248_42_1,6436321.233333333,2325.235125073612,74504040.0,49.89275492328443,776931.0
9,20_248_1_27,6361073.3,2102.6079591323733,77364405.0,33.45781692314131,1058327.0
10,20_1_42_27,1917137.5750000002,2091.7010537917017,76685503.0,30.99567583322505,602036.0
11,1_248_42_27,6503193.368333334,2089.433959207356,73621057.0,23.78025453394639,704838.0
12,39_248_42_8,6844981.771944445,2103.7162029801607,73121467.0,20.883823071956613,502623.0
13,39_248_23_27,7003902.359722223,2099.727148923814,74819135.0,15.994774599969332,351552.0
14,39_229_42_27,7094648.315555556,2083.7321966211794,75788528.0,25.487088673531616,477205.0
15,20_274_42_1,7125023.810555556,2327.3741417089104,76113014.0,24.149305651485975,550091.0
16,20_289_1_27,7094679.300833334,2101.942725312114,75788859.0,23.13845542800391,661997.0
17,1_267_42_27,7122875.248333334,2097.481692335427,76090062.0,21.564530475497577,1019338.0
18,20_248_68_1,7022503.074722222,2322.270384038031,75017837.0,35.45346378689965,853610.0
19,20_207_83_27,6901214.621666667,2110.491460014701,73722174.0,11.121685021817939,412329.0
20,1_248_61_27,6840343.4350000005,2095.983784145057,73071918.0,23.217304955422605,610955.0
21,20_248_16_53,7120722.192777777,2100.731148922801,76067062.0,16.349256169080945,585483.0
22,20_222_42_53,6941803.276111112,2102.8036623334883,74155762.0,38.251980061948416,824654.0
23,1_248_42_46,6885545.525833334,2097.647665072322,73554789.0,35.437651854217165,1090165.0
24,20_247_42_27,7001293.226666666,2088.285708373606,75013856.0,33.33164838057746,584660.0
25,20_248_42_28,6784625.647222222,2092.3413544145824,72262285.0,37.004056898653744,1327855.0
26,39_337_42_27,9497191.854166668,2088.472782714367,76831215.0,11.685080526828642,533729.0
27,40_337_42_27,9413116.431111112,2092.3977557168605,75980312.0,9.862822169124684,536750.0
28,20_337_83_27,9583506.383055555,2095.6648263673187,73877137.0,21.08663796591736,1086964.0
29,20_337_84_27,10007337.21,2104.9231513651607,76979517.0,26.052798751592945,500464.0
30,20_337_42_53,9432701.994444445,2089.6535741997363,75127715.0,27.889831133604275,639334.0
31,20_337_42_54,9128630.632500002,2093.9489434568286,72545409.0,21.23758793377874,1159413.0
32,20_337_42_1,8439783.555555556,2293.250586226165,75958052.0,12.085584525108516,695217.0
33,20_337_1_27,8075431.894444445,2095.4747124516366,75510532.0,12.640359034776338,228677.0
34,1_337_42_27,8519242.486944446,2108.100364295125,75354479.0,24.89018202096213,1049340.0
35,39_337_42_8,8784306.966666667,2106.374358673215,74233580.0,28.06814628225584,981546.0
36,39_337_23_27,8969654.951666668,2113.6187758966685,75799901.0,24.120867353975882,1267957.0
37,39_318_42_27,8879365.316666668,2106.118148738921,75036890.0,19.012663481056734,678026.0
38,20_363_42_1,8952915.518333333,2315.7162091044784,75658441.0,27.59037155669921,528887.0
39,20_378_1_27,8837219.953333331,2090.431923997879,74680732.0,19.491668418705558,509641.0
40,1_356_42_27,8861703.711666668,2082.2153846969604,74887637.0,35.85982322722657,589053.0
41,20_337_68_1,8858212.523333333,2324.1228813872335,74858134.0,27.897852146327295,401298.0
42,20_296_83_27,9070701.796666665,2096.9889871072173,76653818.0,32.780165190934895,828833.0
43,1_337_61_27,8716585.983333334,2089.4844071255325,73661290.0,19.29385402160915,488051.0
44,20_337_16_53,8792772.415,2118.845907120466,74305119.0,10.957895063042542,804862.0
45,20_311_42_53,8872407.198333332,2099.155309799254,74978089.0,30.001230106353432,757846.0
46,1_337_42_46,8979096.768333334,2092.410155957401,75879691.0,33.52867976617836,1118917.0
47,20_336_42_27,8734762.326388888,2097.536255566895,73988575.0,21.226761896371954,838156.0
48,20_337_42_28,9030247.12138889,2094.1444457817674,76133231.0,22.545922825991966,1082546.0
49,20_2_42_27,1905769.8761111111,2098.439827526748,75393094.0,34.1045731382369,536506.0
50,39_1_42_27,2259629.1930555557,2103.050117403388,74629955.0,35.9751298590304,644962.0
51,40_1_42_27,2306948.0500000003,2100.125966714561,75500118.0,11.916569916725166,1220097.0
52,20_1_83_27,2747558.3752777777,2105.925532584667,75505421.0,34.55033029985407,936040.0
53,20_1_84_27,2800366.506666667,2118.4754354973434,76373632.0,29.444671899497735,879850.0
54,20_1_42_53,2415914.5355555555,2088.9902540506123,74976658.0,31.195444087982196,1053774.0
55,20_1_42_54,2464918.365,2081.515162680924,75843642.0,18.125128094434785,547437.0
56,20_1_42_1,1350014.8977777779,2340.124145907402,75938338.0,28.545698188900587,618934.0
57,20_1_1_27,1032191.5605555556,2084.825047315359,75834482.0,33.91703412520883,768429.0
58,1_1_42_27,1444203.2886111112,2094.038304487884,73227209.0,17.55173723471171,602395.0
59,39_1_42_8,1875489.6,2105.070641680479,75019584.0,21.79292101866031,541521.0
60,39_1_23_27,1935405.7750000001,2107.6616371304394,77416231.0,40.83502128934879,990515.0
61,20_1_68_1,1830736.525,2280.931473878026,73229461.0,44.70620963400597,736191.0
62,1_1_61_27,1915947.675,2102.0862803543805,76637907.0,24.48689303928586,341874.0
63,20_1_16_53,1937050.175,2105.7455815189483,77482007.0,28.636652247369057,876658.0
64,1_1_42_46,1855843.875,2092.3527578820585,74233755.0,23.48630106073597,1520760.0
65,20_1_41_27,1859316.4291666667,2104.8559012084006,75208305.0,29.732547641813653,661645.0
66,20_1_42_26,1864414.818888889,2084.0406044712067,75414532.0,35.9090597145555,238470.0
67,20_1_42_28,1866423.3719444447,2120.7274067035914,73836529.0,19.690771240174854,820628.0
68,20_2_42_54,2520541.2944444446,2093.903390964687,76897870.0,32.046420619964465,1001313.0
69,39_1_42_54,2857416.855555556,2101.558834383011,75637505.0,26.500588557839365,737556.0
