# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
1,7_11_1_5_3,Clerk_1,7,0.4895250814887603,25
1,7_11_1_5_3,Credit_Officer_1,11,0.9962251906909112,50
1,7_11_1_5_3,Clerk_2,1,0.413342558173167,25
1,7_11_1_5_3,Credit_Officer_2,5,0.85900092357759,50
1,7_11_1_5_3,System,3,0.00022428603412409865,0
2,2_4_6_7_9,Clerk_1,2,0.46959851029196165,25
2,2_4_6_7_9,Credit_Officer_1,4,0.9957765172378474,50
2,2_4_6_7_9,Clerk_2,6,0.40127939905408794,25
2,2_4_6_7_9,Credit_Officer_2,7,0.8331403535203666,50
2,2_4_6_7_9,System,9,0.00022227575312857534,0
