Total Solutions Generated,37
Total Iterations,24

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_105,3115646.9097222225,88332.15992367538,89730631.0,523.8452851666225,769528.0
1,20_125,3528619.668055556,87940.33713258526,87607109.0,361.5303818295215,724643.0
2,39_105,3557794.96,88359.39536147943,88944874.0,485.04682267642056,1074992.0
3,40_105,3635144.2,88656.3573035125,90251856.0,470.25900945381727,551550.0
4,1_105,2572637.3427777775,88246.37520811961,87372589.0,288.39683890085144,917120.0
5,20_7,665885.4075,93334.08129576503,88784721.0,1005.5929835204006,860278.0
6,20_6,648249.8677777778,99503.45411035899,89757674.0,1188.9074221848714,1253881.0
7,1_124,3034462.5694444445,88137.812814103,87392522.0,694.5508916943218,790897.0
8,39_86,3031967.8819444445,88330.72986504932,87320675.0,590.8308662235067,835256.0
9,20_104,2935261.8322222224,88524.09306761688,85217279.0,651.1869586329994,1218383.0
10,20_106,3087974.925,88313.32010907498,88227855.0,927.9547856170393,874251.0
11,39_125,4038839.388888889,88102.90192833004,88657450.0,610.3676950247318,906228.0
12,40_125,4064876.154166667,88075.47138806309,88688207.0,591.7118653438665,820183.0
13,1_125,3096995.1950000003,88154.64054163542,88485577.0,995.4114805249264,785906.0
14,20_5,623105.0069444445,148317.5236103679,89727121.0,7681.246035312128,820927.0
15,1_144,3492274.5722222226,88514.44021256139,86704748.0,473.03569866697944,937484.0
16,39_106,3634896.8138888883,88604.49377491848,90245714.0,521.6574155901908,1074332.0
17,20_124,3495186.72,88102.72951013694,87379668.0,599.5504703982442,835728.0
18,2_105,2626090.5972222225,88594.27196181672,88354450.0,835.8785905650147,1037123.0
19,1_7,192851.87555555557,91780.63398309638,86783344.0,1342.2414327530569,1166105.0
20,1_6,173539.35861111112,102685.99989249262,89248813.0,1594.5052645495452,1005459.0
21,1_104,2552678.0999999996,87925.30685521675,87520392.0,580.6027189372253,901048.0
22,1_106,2589861.2591666663,88807.54434732393,87135519.0,354.3640323572763,764118.0
23,1_8,222368.71,89946.42172173454,88947484.0,765.8849820658943,1122633.0
24,1_9,245241.4361111111,88162.18562246759,88286917.0,872.8598100798554,1115245.0
25,1_5,148617.38,140614.20844731544,89170428.0,10632.067394559577,977170.0
26,2_104,2612947.965,88463.4515831082,88741629.0,539.0991044060211,1159071.0
27,1_103,2598080.102222222,88258.73781850871,89933542.0,538.0670745838579,1416025.0
28,1_10,272446.79000000004,88160.43426411304,89164404.0,797.4794539095601,800833.0
29,1_11,309020.92000000004,88087.46174083075,92706276.0,497.8244501169538,1134670.0
30,1_12,318885.48250000004,88491.82963218231,88306749.0,763.2876152172103,895086.0
31,1_13,357446.5883333333,88172.28506747875,91914837.0,462.4440773641545,905926.0
32,1_4,124240.10833333334,1832688.3101286083,89452878.0,460223.05793476943,908036.0
33,1_14,368083.3833333333,88173.87563514871,88340012.0,758.6036825283227,628639.0
34,1_15,388878.9422222222,88316.40201527445,87497762.0,581.3541633122077,857759.0
35,1_16,420191.2005555556,88546.36567640612,88981666.0,599.3484665427823,1042908.0
36,1_17,448495.015,88416.38312024194,89699003.0,724.1857524507941,702571.0

Explored Solutions: Pools Info
# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,20_105,SYSTEM,20,0.0,1
0,20_105,Role 1,105,0.04,1
1,20_125,SYSTEM,20,0.0,1
1,20_125,Role 1,125,0.03,1
2,39_105,SYSTEM,39,0.0,1
2,39_105,Role 1,105,0.04,1
3,40_105,SYSTEM,40,0.0,1
3,40_105,Role 1,105,0.04,1
4,1_105,SYSTEM,1,0.0,1
4,1_105,Role 1,105,0.04,1
5,20_7,SYSTEM,20,0.0,1
5,20_7,Role 1,7,0.57,1
6,20_6,SYSTEM,20,0.0,1
6,20_6,Role 1,6,0.65,1
7,1_124,SYSTEM,1,0.0,1
7,1_124,Role 1,124,0.03,1
8,39_86,SYSTEM,39,0.0,1
8,39_86,Role 1,86,0.05,1
9,20_104,SYSTEM,20,0.0,1
9,20_104,Role 1,104,0.04,1
10,20_106,SYSTEM,20,0.0,1
10,20_106,Role 1,106,0.04,1
11,39_125,SYSTEM,39,0.0,1
11,39_125,Role 1,125,0.03,1
12,40_125,SYSTEM,40,0.0,1
12,40_125,Role 1,125,0.03,1
13,1_125,SYSTEM,1,0.0,1
13,1_125,Role 1,125,0.03,1
14,20_5,SYSTEM,20,0.0,1
14,20_5,Role 1,5,0.8,1
15,1_144,SYSTEM,1,0.0,1
15,1_144,Role 1,144,0.03,1
16,39_106,SYSTEM,39,0.0,1
16,39_106,Role 1,106,0.04,1
17,20_124,SYSTEM,20,0.0,1
17,20_124,Role 1,124,0.03,1
18,2_105,SYSTEM,2,0.0,1
18,2_105,Role 1,105,0.04,1
19,1_7,SYSTEM,1,0.0,1
19,1_7,Role 1,7,0.58,1
20,1_6,SYSTEM,1,0.0,1
20,1_6,Role 1,6,0.65,1
21,1_104,SYSTEM,1,0.0,1
21,1_104,Role 1,104,0.04,1
22,1_106,SYSTEM,1,0.0,1
22,1_106,Role 1,106,0.04,1
23,1_8,SYSTEM,1,0.0,1
23,1_8,Role 1,8,0.5,1
24,1_9,SYSTEM,1,0.0,1
24,1_9,Role 1,9,0.44,1
25,1_5,SYSTEM,1,0.0,1
25,1_5,Role 1,5,0.8,1
26,2_104,SYSTEM,2,0.0,1
26,2_104,Role 1,104,0.04,1
27,1_103,SYSTEM,1,0.0,1
27,1_103,Role 1,103,0.04,1
28,1_10,SYSTEM,1,0.0,1
28,1_10,Role 1,10,0.39,1
29,1_11,SYSTEM,1,0.0,1
29,1_11,Role 1,11,0.35,1
30,1_12,SYSTEM,1,0.0,1
30,1_12,Role 1,12,0.33,1
31,1_13,SYSTEM,1,0.0,1
31,1_13,Role 1,13,0.3,1
32,1_4,SYSTEM,1,0.0,1
32,1_4,Role 1,4,0.99,1
33,1_14,SYSTEM,1,0.0,1
33,1_14,Role 1,14,0.29,1
34,1_15,SYSTEM,1,0.0,1
34,1_15,Role 1,15,0.27,1
35,1_16,SYSTEM,1,0.0,1
35,1_16,Role 1,16,0.25,1
36,1_17,SYSTEM,1,0.0,1
36,1_17,Role 1,17,0.23,1
