# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,53_91,SYSTEM,53,0.0,1
0,53_91,Role 1,91,0.04,1
1,1_38,SYSTEM,1,0.0,1
1,1_38,Role 1,38,0.11,1
2,19_12,SYSTEM,19,0.0,1
2,19_12,Role 1,12,0.33,1
3,24_44,SYSTEM,24,0.0,1
3,24_44,Role 1,44,0.09,1
4,50_68,SYSTEM,50,0.0,1
4,50_68,Role 1,68,0.06,1
5,53_86,SYSTEM,53,0.0,1
5,53_86,Role 1,86,0.05,1
6,26_110,SYSTEM,26,0.0,1
6,26_110,Role 1,110,0.04,1
7,4_84,SYSTEM,4,0.0,1
7,4_84,Role 1,84,0.05,1
8,53_70,SYSTEM,53,0.0,1
8,53_70,Role 1,70,0.06,1
9,18_25,SYSTEM,18,0.0,1
9,18_25,Role 1,25,0.16,1
10,101_122,SYSTEM,101,0.0,1
10,101_122,Role 1,122,0.03,1
11,40_87,SYSTEM,40,0.0,1
11,40_87,Role 1,87,0.05,1
12,110_112,SYSTEM,110,0.0,1
12,110_112,Role 1,112,0.04,1
13,11_5,SYSTEM,11,0.0,1
13,11_5,Role 1,5,0.8,1
14,22_110,SYSTEM,22,0.0,1
14,22_110,Role 1,110,0.04,1
15,13_53,SYSTEM,13,0.0,1
15,13_53,Role 1,53,0.08,1
16,120_67,SYSTEM,120,0.0,1
16,120_67,Role 1,67,0.06,1
17,87_40,SYSTEM,87,0.0,1
17,87_40,Role 1,40,0.1,1
18,86_105,SYSTEM,86,0.0,1
18,86_105,Role 1,105,0.04,1
19,3_94,SYSTEM,3,0.0,1
19,3_94,Role 1,94,0.04,1
20,124_94,SYSTEM,124,0.0,1
20,124_94,Role 1,94,0.04,1
21,36_99,SYSTEM,36,0.0,1
21,36_99,Role 1,99,0.04,1
22,13_56,SYSTEM,13,0.0,1
22,13_56,Role 1,56,0.07,1
23,114_37,SYSTEM,114,0.0,1
23,114_37,Role 1,37,0.11,1
24,36_17,SYSTEM,36,0.0,1
24,36_17,Role 1,17,0.24,1
25,3_85,SYSTEM,3,0.0,1
25,3_85,Role 1,85,0.05,1
26,27_34,SYSTEM,27,0.0,1
26,27_34,Role 1,34,0.12,1
27,62_7,SYSTEM,62,0.0,1
27,62_7,Role 1,7,0.56,1
28,72_19,SYSTEM,72,0.0,1
28,72_19,Role 1,19,0.21,1
29,74_88,SYSTEM,74,0.0,1
29,74_88,Role 1,88,0.05,1
30,13_52,SYSTEM,13,0.0,1
30,13_52,Role 1,52,0.08,1
31,87_52,SYSTEM,87,0.0,1
31,87_52,Role 1,52,0.08,1
32,7_67,SYSTEM,7,0.0,1
32,7_67,Role 1,67,0.06,1
33,83_65,SYSTEM,83,0.0,1
33,83_65,Role 1,65,0.06,1
34,119_74,SYSTEM,119,0.0,1
34,119_74,Role 1,74,0.05,1
35,113_18,SYSTEM,113,0.0,1
35,113_18,Role 1,18,0.22,1
36,18_101,SYSTEM,18,0.0,1
36,18_101,Role 1,101,0.04,1
37,50_21,SYSTEM,50,0.0,1
37,50_21,Role 1,21,0.19,1
38,116_44,SYSTEM,116,0.0,1
38,116_44,Role 1,44,0.09,1
39,94_91,SYSTEM,94,0.0,1
39,94_91,Role 1,91,0.04,1
40,6_84,SYSTEM,6,0.0,1
40,6_84,Role 1,84,0.05,1
41,100_84,SYSTEM,100,0.0,1
41,100_84,Role 1,84,0.05,1
42,27_49,SYSTEM,27,0.0,1
42,27_49,Role 1,49,0.08,1
43,48_21,SYSTEM,48,0.0,1
43,48_21,Role 1,21,0.2,1
44,95_18,SYSTEM,95,0.0,1
44,95_18,Role 1,18,0.23,1
45,109_123,SYSTEM,109,0.0,1
45,109_123,Role 1,123,0.03,1
46,9_76,SYSTEM,9,0.0,1
46,9_76,Role 1,76,0.05,1
47,42_87,SYSTEM,42,0.0,1
47,42_87,Role 1,87,0.05,1
48,116_101,SYSTEM,116,0.0,1
48,116_101,Role 1,101,0.04,1
49,112_27,SYSTEM,112,0.0,1
49,112_27,Role 1,27,0.15,1
50,52_99,SYSTEM,52,0.0,1
50,52_99,Role 1,99,0.04,1
51,2_86,SYSTEM,2,0.0,1
51,2_86,Role 1,86,0.05,1
52,115_44,SYSTEM,115,0.0,1
52,115_44,Role 1,44,0.09,1
53,36_110,SYSTEM,36,0.0,1
53,36_110,Role 1,110,0.04,1
54,53_88,SYSTEM,53,0.0,1
54,53_88,Role 1,88,0.05,1
55,4_21,SYSTEM,4,0.0,1
55,4_21,Role 1,21,0.19,1
56,115_112,SYSTEM,115,0.0,1
56,115_112,Role 1,112,0.03,1
57,13_60,SYSTEM,13,0.0,1
57,13_60,Role 1,60,0.07,1
58,119_37,SYSTEM,119,0.0,1
58,119_37,Role 1,37,0.11,1
59,3_97,SYSTEM,3,0.0,1
59,3_97,Role 1,97,0.04,1
60,2_91,SYSTEM,2,0.0,1
60,2_91,Role 1,91,0.04,1
61,121_94,SYSTEM,121,0.0,1
61,121_94,Role 1,94,0.04,1
62,74_83,SYSTEM,74,0.0,1
62,74_83,Role 1,83,0.05,1
63,44_122,SYSTEM,44,0.0,1
63,44_122,Role 1,122,0.03,1
64,121_18,SYSTEM,121,0.0,1
