# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
1,7_11_1_5_3,Clerk_1,7,0.4763287578913548,25
1,7_11_1_5_3,Credit_Officer_1,11,0.9963914667482521,50
1,7_11_1_5_3,Clerk_2,1,0.3823439907608761,25
1,7_11_1_5_3,Credit_Officer_2,5,0.8194446955064645,50
1,7_11_1_5_3,System,3,0.0002164454132841299,0
2,2_4_6_7_9,Clerk_1,2,0.49046782205417544,25
2,2_4_6_7_9,Credit_Officer_1,4,0.996748602963443,50
2,2_4_6_7_9,Clerk_2,6,0.4027822153623424,25
2,2_4_6_7_9,Credit_Officer_2,7,0.8542155229716805,50
2,2_4_6_7_9,System,9,0.0001822882404542533,0
3,7_11_4_13_1,Clerk_1,7,0.4949223553706736,25
3,7_11_4_13_1,Credit_Officer_1,11,0.9970651482519465,50
3,7_11_4_13_1,Clerk_2,4,0.38889502514332674,25
3,7_11_4_13_1,Credit_Officer_2,13,0.8466203031962936,50
3,7_11_4_13_1,System,1,0.0001791666659654115,0
4,10_7_9_3_4,Clerk_1,10,0.4931989283083715,25
4,10_7_9_3_4,Credit_Officer_1,7,0.9970874567587912,50
4,10_7_9_3_4,Clerk_2,9,0.3865323859309719,25
4,10_7_9_3_4,Credit_Officer_2,3,0.8442514139973324,50
4,10_7_9_3_4,System,4,0.00019042586982615612,0
5,12_15_5_11_13,Clerk_1,12,0.4766919697281351,25
5,12_15_5_11_13,Credit_Officer_1,15,0.9928696977891844,50
5,12_15_5_11_13,Clerk_2,5,0.3985462379639042,25
5,12_15_5_11_13,Credit_Officer_2,11,0.83192041211365,50
5,12_15_5_11_13,System,13,0.00023065387056280773,0
6,14_2_2_3_13,Clerk_1,14,0.4802889290068679,25
6,14_2_2_3_13,Credit_Officer_1,2,0.9972253493901027,50
6,14_2_2_3_13,Clerk_2,2,0.3905476481701342,25
6,14_2_2_3_13,Credit_Officer_2,3,0.8339858198093881,50
6,14_2_2_3_13,System,13,0.00019871197511294467,0
7,2_7_14_8_11,Clerk_1,2,0.4779989930116938,25
7,2_7_14_8_11,Credit_Officer_1,7,0.9964785915113278,50
7,2_7_14_8_11,Clerk_2,14,0.38165565580664845,25
7,2_7_14_8_11,Credit_Officer_2,8,0.8257323952519058,50
7,2_7_14_8_11,System,11,0.00020069891488803243,0
8,5_11_13_1_12,Clerk_1,5,0.5000227301425685,25
8,5_11_13_1_12,Credit_Officer_1,11,0.9925897089164472,50
8,5_11_13_1_12,Clerk_2,13,0.39588411897462156,25
8,5_11_13_1_12,Credit_Officer_2,1,0.8588157219147492,50
8,5_11_13_1_12,System,12,0.0002131809499040711,0
9,15_11_5_12_2,Clerk_1,15,0.48103911966337065,25
9,15_11_5_12_2,Credit_Officer_1,11,0.999361896441513,50
9,15_11_5_12_2,Clerk_2,5,0.39253306612849215,25
9,15_11_5_12_2,Credit_Officer_2,12,0.8304067203065321,50
9,15_11_5_12_2,System,2,0.00020980369320213106,0
10,7_14_5_5_3,Clerk_1,7,0.4809639711853514,25
10,7_14_5_5_3,Credit_Officer_1,14,0.9954589320393711,50
10,7_14_5_5_3,Clerk_2,5,0.3896205827196747,25
10,7_14_5_5_3,Credit_Officer_2,5,0.8366157583458098,50
10,7_14_5_5_3,System,3,0.00019869102331695004,0
11,1_11_4_5_8,Clerk_1,1,0.46832344448988744,25
11,1_11_4_5_8,Credit_Officer_1,11,0.9933658736925757,50
11,1_11_4_5_8,Clerk_2,4,0.3758385408261095,25
11,1_11_4_5_8,Credit_Officer_2,5,0.815360540231733,50
11,1_11_4_5_8,System,8,0.0002011306068741845,0
12,2_9_3_9_11,Clerk_1,2,0.49688160795800596,25
12,2_9_3_9_11,Credit_Officer_1,9,0.9982085753940116,50
12,2_9_3_9_11,Clerk_2,3,0.38983161759086116,25
12,2_9_3_9_11,Credit_Officer_2,9,0.8388692223504025,50
12,2_9_3_9_11,System,11,0.00019965405439447174,0
13,2_7_11_7_2,Clerk_1,2,0.48149821747823646,25
13,2_7_11_7_2,Credit_Officer_1,7,0.9976470848824548,50
13,2_7_11_7_2,Clerk_2,11,0.38863350556316856,25
13,2_7_11_7_2,Credit_Officer_2,7,0.8396974515302004,50
13,2_7_11_7_2,System,2,0.00019594334768758897,0
14,9_10_8_14_9,Clerk_1,9,0.4738972317525271,25
14,9_10_8_14_9,Credit_Officer_1,10,0.9963551359750389,50
14,9_10_8_14_9,Clerk_2,8,0.3773467759814702,25
14,9_10_8_14_9,Credit_Officer_2,14,0.8239486040164428,50
14,9_10_8_14_9,System,9,0.00019754300451221832,0
15,14_3_3_12_7,Clerk_1,14,0.4772780889501157,25
15,14_3_3_12_7,Credit_Officer_1,3,0.9900520670013909,50
15,14_3_3_12_7,Clerk_2,3,0.4021956508387832,25
15,14_3_3_12_7,Credit_Officer_2,12,0.8466154709123533,50
15,14_3_3_12_7,System,7,0.0002081100162829362,0
16,3_14_6_12_11,Clerk_1,3,0.4686105200553835,25
16,3_14_6_12_11,Credit_Officer_1,14,0.9979598371003311,50
16,3_14_6_12_11,Clerk_2,6,0.38019532559420494,25
16,3_14_6_12_11,Credit_Officer_2,12,0.8071611910672231,50
16,3_14_6_12_11,System,11,0.00021839439491345254,0
17,13_10_12_6_5,Clerk_1,13,0.4880760858143521,25
17,13_10_12_6_5,Credit_Officer_1,10,0.9952063323537836,50
17,13_10_12_6_5,Clerk_2,12,0.41241824555100476,25
17,13_10_12_6_5,Credit_Officer_2,6,0.861320553119409,50
17,13_10_12_6_5,System,5,0.00022465982476079727,0
18,14_7_15_10_10,Clerk_1,14,0.4962437346484487,25
18,14_7_15_10_10,Credit_Officer_1,7,0.9934612019911564,50
18,14_7_15_10_10,Clerk_2,15,0.39029145730659065,25
18,14_7_15_10_10,Credit_Officer_2,10,0.849405728985428,50
18,14_7_15_10_10,System,10,0.00020316193813222706,0
19,3_14_7_9_7,Clerk_1,3,0.4779852298482628,25
19,3_14_7_9_7,Credit_Officer_1,14,0.9976994463529494,50
19,3_14_7_9_7,Clerk_2,7,0.3674009732773203,25
19,3_14_7_9_7,Credit_Officer_2,9,0.8085928492802213,50
19,3_14_7_9_7,System,7,0.0001924886190378831,0
20,4_14_9_1_10,Clerk_1,4,0.4641321223696858,25
20,4_14_9_1_10,Credit_Officer_1,14,0.9969306363099403,50
20,4_14_9_1_10,Clerk_2,9,0.38806261639284445,25
20,4_14_9_1_10,Credit_Officer_2,1,0.8234526208250315,50
20,4_14_9_1_10,System,10,0.0001985327646554853,0
21,6_8_13_6_14,Clerk_1,6,0.47826465395038975,25
21,6_8_13_6_14,Credit_Officer_1,8,0.9949991764760867,50
21,6_8_13_6_14,Clerk_2,13,0.4002173280459659,25
21,6_8_13_6_14,Credit_Officer_2,6,0.8462411611027733,50
21,6_8_13_6_14,System,14,0.00019798825747836628,0
22,10_1_14_11_15,Clerk_1,10,0.4907090032427202,25
22,10_1_14_11_15,Credit_Officer_1,1,0.9965689004051571,50
22,10_1_14_11_15,Clerk_2,14,0.3964777945780187,25
22,10_1_14_11_15,Credit_Officer_2,11,0.868680076410897,50
22,10_1_14_11_15,System,15,0.00020486639881733655,0
23,3_3_14_11_2,Clerk_1,3,0.4757127777498265,25
23,3_3_14_11_2,Credit_Officer_1,3,0.9942946794627208,50
23,3_3_14_11_2,Clerk_2,14,0.40537694209218683,25
23,3_3_14_11_2,Credit_Officer_2,11,0.8361249128244755,50
23,3_3_14_11_2,System,2,0.00019934135094104832,0
24,12_12_14_11_3,Clerk_1,12,0.47643969969056693,25
24,12_12_14_11_3,Credit_Officer_1,12,0.9957370412114537,50
24,12_12_14_11_3,Clerk_2,14,0.40684623091066724,25
24,12_12_14_11_3,Credit_Officer_2,11,0.8506667024207305,50
24,12_12_14_11_3,System,3,0.00020798255195677643,0
25,1_1_1_4_13,Clerk_1,1,0.4966686762354334,25
25,1_1_1_4_13,Credit_Officer_1,1,0.9963814232920227,50
25,1_1_1_4_13,Clerk_2,1,0.40098635843414215,25
25,1_1_1_4_13,Credit_Officer_2,4,0.8638618697758226,50
25,1_1_1_4_13,System,13,0.00020433768856593224,0
26,9_9_13_3_5,Clerk_1,9,0.48181011454297984,25
26,9_9_13_3_5,Credit_Officer_1,9,0.9943909280670549,50
26,9_9_13_3_5,Clerk_2,13,0.3794379863225114,25
26,9_9_13_3_5,Credit_Officer_2,3,0.8180620846831169,50
26,9_9_13_3_5,System,5,0.00022260575318925542,0
27,9_15_9_1_12,Clerk_1,9,0.48280384409634636,25
27,9_15_9_1_12,Credit_Officer_1,15,0.9954933325106524,50
27,9_15_9_1_12,Clerk_2,9,0.3863393974770116,25
27,9_15_9_1_12,Credit_Officer_2,1,0.8412595323084663,50
27,9_15_9_1_12,System,12,0.00018612144586979885,0
28,4_12_6_13_11,Clerk_1,4,0.497921316920335,25
28,4_12_6_13_11,Credit_Officer_1,12,0.9942332372073136,50
28,4_12_6_13_11,Clerk_2,6,0.39553159220822687,25
28,4_12_6_13_11,Credit_Officer_2,13,0.8569842352391946,50
28,4_12_6_13_11,System,11,0.00021275219549368786,0
29,9_3_2_3_2,Clerk_1,9,0.48473935239393057,25
29,9_3_2_3_2,Credit_Officer_1,3,0.9974865538103722,50
29,9_3_2_3_2,Clerk_2,2,0.4030845679928723,25
29,9_3_2_3_2,Credit_Officer_2,3,0.8399486143183217,50
29,9_3_2_3_2,System,2,0.00021101101219254208,0
30,3_4_11_9_1,Clerk_1,3,0.48593009200886206,25
30,3_4_11_9_1,Credit_Officer_1,4,0.9941227622620824,50
30,3_4_11_9_1,Clerk_2,11,0.40812465711646395,25
30,3_4_11_9_1,Credit_Officer_2,9,0.8569102763521199,50
30,3_4_11_9_1,System,1,0.0001938450179981696,0
31,2_15_9_4_5,Clerk_1,2,0.4880558830289352,25
31,2_15_9_4_5,Credit_Officer_1,15,0.9922783408679284,50
31,2_15_9_4_5,Clerk_2,9,0.3756180409674941,25
31,2_15_9_4_5,Credit_Officer_2,4,0.8296899993770318,50
31,2_15_9_4_5,System,5,0.0002040623722007117,0
32,11_4_9_15_13,Clerk_1,11,0.49757231470354185,25
32,11_4_9_15_13,Credit_Officer_1,4,0.99647476202863,50
32,11_4_9_15_13,Clerk_2,9,0.3846305979698904,25
32,11_4_9_15_13,Credit_Officer_2,15,0.8375281924919822,50
32,11_4_9_15_13,System,13,0.00021157952440003692,0
33,4_8_10_13_3,Clerk_1,4,0.5010538111940088,25
33,4_8_10_13_3,Credit_Officer_1,8,0.9973450005202914,50
33,4_8_10_13_3,Clerk_2,10,0.39745362602624246,25
33,4_8_10_13_3,Credit_Officer_2,13,0.8454154305081876,50
33,4_8_10_13_3,System,3,0.0002046975242645315,0
34,1_2_8_9_9,Clerk_1,1,0.47876880123524185,25
34,1_2_8_9_9,Credit_Officer_1,2,0.9952858237130049,50
34,1_2_8_9_9,Clerk_2,8,0.39047222344522187,25
