# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,7_11_1_5_3,6864218.112391945,5113248.624571007,24711185.204611,131195.2312412355,263331.6478950009
2,2_4_6_7_9,5023868.398721875,4875144.571833779,24114568.313865,182372.24523557443,430408.5002130009
3,7_11_4_13_1,10021447.291476008,4871986.310251485,24459125.592755,209618.3093079012,593025.1745119989
4,10_7_9_3_4,6645726.907219293,4893364.428923991,24538068.580502,260496.6019354295,344716.3307740018
5,12_15_5_11_13,11595566.636975646,5376971.196572413,24199443.416297,327652.9994469667,434500.86965899915
6,14_2_2_3_13,4445205.089465291,4889339.944441102,24619597.418577,218533.2653539842,257984.55946599692
7,2_7_14_8_11,7894279.428144235,5186166.329832948,24712526.905495,183040.22581560258,173904.00064099953
8,5_11_13_1_12,6881498.865863709,4979404.0400853995,23593710.397247,126321.62499668729,339072.9866020009
9,15_11_5_12_2,11250164.072075501,5028746.3099546125,24545812.520892,237903.50826147478,247479.6909299977
10,7_14_5_5_3,8548578.195566667,5233775.768683284,24619905.203232,362996.03255025484,593750.3043060005
11,1_11_4_5_8,6439745.279963749,5134920.765270924,25062792.44094,399850.07231833413,775429.5428449996
12,2_9_3_9_11,6961972.990316,4979183.31758454,24451807.575744,243720.1534238644,350161.0335990004
13,2_7_11_7_2,6986458.109203194,4999742.813706888,24537804.09086,202804.41062331852,268316.046418
14,9_10_8_14_9,11310019.26591649,4887847.480156372,25056042.681415,251828.56822710298,353162.70917199925
15,14_3_3_12_7,7897008.68776584,5079090.266448503,24195090.447623,98013.39514958486,346802.2761930004
16,3_14_6_12_11,10690817.678114008,5277469.445128704,25237340.092597,244743.43630177248,258671.12733200192
17,13_10_12_6_5,9338635.3948265,5071379.373979141,23592342.050088,139819.53943127114,179360.634376999
18,14_7_15_10_10,10545810.547934813,5044377.0320203155,24104709.823851,295383.5009227339,431899.590078
19,3_14_7_9_7,9814145.807005556,5174369.272107232,25236374.9323,313332.8806323074,517954.2493629977
20,4_14_9_1_10,7404496.637047619,4998221.786538582,24796453.854299,220369.34478649776,429680.10745499656
21,6_8_13_6_14,7868863.051274117,5013780.043902611,24108857.008159,313851.77076044027,522227.03147700056
22,10_1_14_11_15,7978958.608732001,5017666.003249998,23936875.826196,336777.32791638933,262148.54100399837
23,3_3_14_11_2,7642609.039330313,5199351.730144963,24456348.925857,147323.28538740426,348506.849516999
24,12_12_14_11_3,12012004.4032815,5059159.914322327,24024008.806563,417867.98621656466,269844.82672499865
25,1_1_1_4_13,1987720.9137712498,5025044.501178872,23852650.965255,284729.67992354464,268094.88008500263
26,9_9_13_3_5,7919575.290410376,4956061.403831003,24791713.952589,102983.56847718265,333945.91084900126
27,9_15_9_1_12,8549869.017410418,5107996.865142598,24623622.770142,295517.6362341158,86064.64901899919
28,4_12_6_13_11,10010743.685372917,5059068.831124293,24025784.844895,70741.8319355296,427177.2209869996
