# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
1,55_94_1_40_20,Clerk_1,55,0.5756584228155743,25
1,55_94_1_40_20,Credit_Officer_1,94,0.8421401905122666,50
1,55_94_1_40_20,Clerk_2,1,0.5100465030187564,25
1,55_94_1_40_20,Credit_Officer_2,40,0.7098160066080794,50
1,55_94_1_40_20,System,20,5.453554127673198e-05,0
2,13_25_46_52_71,Clerk_1,13,0.6015340982191674,25
2,13_25_46_52_71,Credit_Officer_1,25,0.8556026164158765,50
2,13_25_46_52_71,Clerk_2,46,0.5359031744415033,25
2,13_25_46_52_71,Credit_Officer_2,52,0.7236416198534897,50
2,13_25_46_52_71,System,71,5.95040693368189e-05,0
3,55_89_27_114_5,Clerk_1,55,0.591255406521791,25
3,55_89_27_114_5,Credit_Officer_1,89,0.8598329549584229,50
3,55_89_27_114_5,Clerk_2,27,0.5258733341409821,25
3,55_89_27_114_5,Credit_Officer_2,114,0.72985933997794,50
3,55_89_27_114_5,System,5,5.548604512970014e-05,0
4,87_55_73_19_27,Clerk_1,87,0.6131615541424436,25
4,87_55_73_19_27,Credit_Officer_1,55,0.869466487578521,50
4,87_55_73_19_27,Clerk_2,73,0.5410412805811176,25
4,87_55_73_19_27,Credit_Officer_2,19,0.7436555725473283,50
4,87_55_73_19_27,System,27,6.10152148539661e-05,0
5,104_126_41_90_114,Clerk_1,104,0.5888966231647055,25
5,104_126_41_90_114,Credit_Officer_1,126,0.8136944267988013,50
5,104_126_41_90_114,Clerk_2,41,0.5236459156469607,25
5,104_126_41_90_114,Credit_Officer_2,90,0.6800577099339429,50
5,104_126_41_90_114,System,114,5.168651816721971e-05,0
6,116_12_6_23_114,Clerk_1,116,0.5779957612589677,25
6,116_12_6_23_114,Credit_Officer_1,12,0.8368008291342445,50
6,116_12_6_23_114,Clerk_2,6,0.5122648027621933,25
6,116_12_6_23_114,Credit_Officer_2,23,0.67084565219899,50
6,116_12_6_23_114,System,114,4.4802334520965245e-05,0
7,14_55_125_70_90,Clerk_1,14,0.51205705400488,25
7,14_55_125_70_90,Credit_Officer_1,55,0.7794048500750367,50
7,14_55_125_70_90,Clerk_2,125,0.46047030049619686,25
7,14_55_125_70_90,Credit_Officer_2,70,0.6420844947186403,50
7,14_55_125_70_90,System,90,4.577233896160005e-05,0
8,42_90_109_3_98,Clerk_1,42,0.503696719654823,25
8,42_90_109_3_98,Credit_Officer_1,90,0.770830778051155,50
8,42_90_109_3_98,Clerk_2,109,0.43346527470829027,25
8,42_90_109_3_98,Credit_Officer_2,3,0.6122719511034844,50
8,42_90_109_3_98,System,98,5.592425227590789e-05,0
9,129_98_37_103_14,Clerk_1,129,0.5816585650897156,25
9,129_98_37_103_14,Credit_Officer_1,98,0.8112330340691949,50
9,129_98_37_103_14,Clerk_2,37,0.5114090432914071,25
9,129_98_37_103_14,Credit_Officer_2,103,0.7040706654379603,50
9,129_98_37_103_14,System,14,5.690973410475078e-05,0
10,59_118_39_38_18,Clerk_1,59,0.5911762233949719,25
10,59_118_39_38_18,Credit_Officer_1,118,0.8455687215048064,50
10,59_118_39_38_18,Clerk_2,39,0.5188742639785927,25
10,59_118_39_38_18,Credit_Officer_2,38,0.7155335426561521,50
10,59_118_39_38_18,System,18,5.564860690092162e-05,0
11,3_89_28_35_64,Clerk_1,3,0.5773102371565924,25
11,3_89_28_35_64,Credit_Officer_1,89,0.8314413215261998,50
11,3_89_28_35_64,Clerk_2,28,0.5074417228614558,25
11,3_89_28_35_64,Credit_Officer_2,35,0.6940827086118027,50
11,3_89_28_35_64,System,64,5.975904822611586e-05,0
12,8_75_20_77_91,Clerk_1,8,0.5969962181111713,25
12,8_75_20_77_91,Credit_Officer_1,75,0.8249735646010308,50
12,8_75_20_77_91,Clerk_2,20,0.518422642905264,25
12,8_75_20_77_91,Credit_Officer_2,77,0.7295122914152278,50
12,8_75_20_77_91,System,91,5.634824314393079e-05,0
13,14_54_91_54_7,Clerk_1,14,0.5720344566928235,25
13,14_54_91_54_7,Credit_Officer_1,54,0.8527207253671915,50
13,14_54_91_54_7,Clerk_2,91,0.5063156430952577,25
13,14_54_91_54_7,Credit_Officer_2,54,0.6991300164673411,50
13,14_54_91_54_7,System,7,6.004749211015672e-05,0
14,70_87_67_123_77,Clerk_1,70,0.5953198787540936,25
14,70_87_67_123_77,Credit_Officer_1,87,0.856379099508773,50
14,70_87_67_123_77,Clerk_2,67,0.5284502307094189,25
14,70_87_67_123_77,Credit_Officer_2,123,0.7263445825714899,50
14,70_87_67_123_77,System,77,5.143894918081546e-05,0
15,118_19_19_105_52,Clerk_1,118,0.3521829186538325,25
15,118_19_19_105_52,Credit_Officer_1,19,0.9923693398878448,50
15,118_19_19_105_52,Clerk_2,19,0.3128594683751855,25
15,118_19_19_105_52,Credit_Officer_2,105,0.8463900275781305,50
15,118_19_19_105_52,System,52,3.711849070856997e-05,0
16,22_121_46_98_95,Clerk_1,22,0.6448393916710273,25
16,22_121_46_98_95,Credit_Officer_1,121,0.9907656381700554,50
16,22_121_46_98_95,Clerk_2,46,0.6446357054817511,25
16,22_121_46_98_95,Credit_Officer_2,98,0.8599434639131617,50
