# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,55_94_1_40_20,54278399.25,129564.45285288597,24123733.0,2491.8704432963423,536878.0
2,13_25_46_52_71,20704608.791666664,127430.85917146254,13997482.0,7509.712982227589,415949.0
3,55_89_27_114_5,48280984.88888889,123952.3163822631,14246848.0,11520.021434444861,189108.0
4,87_55_73_19_27,29408085.97222222,129495.6085675291,13749235.0,6898.338324896904,249218.0
5,104_126_41_90_114,6266380.277777778,136022.96088531995,1563880.0,14659.13537880007,73813.0
6,116_12_6_23_114,2180257.333333333,125816.40713880668,1635193.0,19622.819193546777,68420.0
7,14_55_125_70_90,4471438.840277778,122968.0883385134,1655237.0,21157.181670280086,14381.0
8,42_90_109_3_98,4060779.7916666665,127828.77718554005,1735170.0,12349.346324233324,12293.0
9,129_98_37_103_14,57557495.05555556,128572.93388628404,14592041.0,13282.342038178147,93346.0
10,59_118_39_38_18,40889482.222222224,135762.771312622,14361184.0,10066.3025397678,146081.0
11,3_89_28_35_64,28280511.4375,122243.04705090384,14596393.0,9457.17386421653,158909.0
12,8_75_20_77_91,32900012.638888884,123352.30613433076,14269885.0,5411.786372163202,244369.0
13,14_54_91_54_7,32351601.583333332,127810.58512213724,14512868.0,16125.369512290417,581459.0
14,70_87_67_123_77,55472221.8125,150069.18304425597,14341113.0,33897.77266446203,598927.0
15,118_19_19_105_52,64033988.71527777,4908961.727296085,23950375.0,330533.52357089706,357681.0
16,22_121_46_98_95,84137732.70833333,5076301.929987809,23944335.0,414490.3623634316,428550.0
17,115_81_98_46_36,80730724.56944445,5078787.803989784,24893414.0,323236.87297088094,355268.0
18,117_56_125_87_81,92557926.99999999,5221107.191778168,25243071.0,262520.89318236895,516351.0
19,16_123_59_76_54,81470180.22916667,5211132.837000052,24802761.0,315066.4285349203,250151.0
20,32_118_75_1_81,59629708.958333336,5261313.883002459,24888922.0,265645.4153000582,529421.0
21,43_69_115_47_118,65301708.33333333,5192728.534221318,24111400.0,219407.13107919972,343584.0
22,81_3_121_90_130,66844909.44444445,5435800.868482353,24808420.0,156602.30908535141,172423.0
23,23_19_121_91_10,60948620.05555555,5135143.3043078985,24111542.0,365517.78533184715,607083.0
24,98_98_120_93_17,100817991.66666667,5295370.045804303,24196318.0,149065.75411469582,354505.0
25,4_4_5_33_112,13848796.118055554,5031412.659906141,24026827.0,271711.4049152918,257747.0
26,71_72_110_17_37,61631758.79166667,5154152.994418951,24721374.0,182320.1159493802,341851.0
27,77_126_73_3_104,71510208.16666667,5220286.916383069,25238897.0,353968.0882373387,605342.0
28,31_105_51_112_97,90128139.75,5150549.173165911,25152039.0,237944.0123105012,520257.0
