# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
1,55_94_1_40_20,Clerk_1,55,0.6485475162801169,25
1,55_94_1_40_20,Credit_Officer_1,94,0.9909406298128954,50
1,55_94_1_40_20,Clerk_2,1,0.647893805380681,25
1,55_94_1_40_20,Credit_Officer_2,40,0.8355453723858083,50
1,55_94_1_40_20,System,20,3.850927434596389e-05,0
2,13_25_46_52_71,Clerk_1,13,0.6303174276620201,25
2,13_25_46_52_71,Credit_Officer_1,25,0.9918158488532016,50
2,13_25_46_52_71,Clerk_2,46,0.6292414004283096,25
2,13_25_46_52_71,Credit_Officer_2,52,0.8158988877826484,50
2,13_25_46_52_71,System,71,3.450009415309191e-05,0
3,55_89_27_114_5,Clerk_1,55,0.6271998226624256,25
3,55_89_27_114_5,Credit_Officer_1,89,0.993617339660606,50
3,55_89_27_114_5,Clerk_2,27,0.6273866558329092,25
3,55_89_27_114_5,Credit_Officer_2,114,0.8242146430215698,50
3,55_89_27_114_5,System,5,3.1569566189703834e-05,0
4,87_55_73_19_27,Clerk_1,87,0.6187385921732437,25
4,87_55_73_19_27,Credit_Officer_1,55,0.9886566418191274,50
4,87_55_73_19_27,Clerk_2,73,0.6189951320621696,25
4,87_55_73_19_27,Credit_Officer_2,19,0.8245957271643647,50
4,87_55_73_19_27,System,27,3.226482560982605e-05,0
5,104_126_41_90_114,Clerk_1,104,0.647369229852677,25
5,104_126_41_90_114,Credit_Officer_1,126,0.9879498685069394,50
5,104_126_41_90_114,Clerk_2,41,0.647301819939842,25
5,104_126_41_90_114,Credit_Officer_2,90,0.8362798924515196,50
5,104_126_41_90_114,System,114,3.4450641744267045e-05,0
6,116_12_6_23_114,Clerk_1,116,0.6415594362878482,25
6,116_12_6_23_114,Credit_Officer_1,12,0.987720057006804,50
6,116_12_6_23_114,Clerk_2,6,0.6414068397802898,25
6,116_12_6_23_114,Credit_Officer_2,23,0.841023851752214,50
6,116_12_6_23_114,System,114,3.255835822818233e-05,0
7,14_55_125_70_90,Clerk_1,14,0.6218648120586101,25
7,14_55_125_70_90,Credit_Officer_1,55,0.987658663475407,50
7,14_55_125_70_90,Clerk_2,125,0.6220266455637741,25
7,14_55_125_70_90,Credit_Officer_2,70,0.8272542864559862,50
7,14_55_125_70_90,System,90,3.450779202447102e-05,0
8,42_90_109_3_98,Clerk_1,42,0.6460230985146722,25
8,42_90_109_3_98,Credit_Officer_1,90,0.9870337676321017,50
8,42_90_109_3_98,Clerk_2,109,0.6455024585902761,25
8,42_90_109_3_98,Credit_Officer_2,3,0.8352935988405162,50
8,42_90_109_3_98,System,98,3.422104516559336e-05,0
9,129_98_37_103_14,Clerk_1,129,0.6212473531848778,25
9,129_98_37_103_14,Credit_Officer_1,98,0.9898784790720911,50
9,129_98_37_103_14,Clerk_2,37,0.6213128992532071,25
9,129_98_37_103_14,Credit_Officer_2,103,0.8373070404300103,50
9,129_98_37_103_14,System,14,3.076597885961533e-05,0
10,59_118_39_38_18,Clerk_1,59,0.6453141057582802,25
10,59_118_39_38_18,Credit_Officer_1,118,0.9924997454770033,50
10,59_118_39_38_18,Clerk_2,39,0.6452142196956566,25
10,59_118_39_38_18,Credit_Officer_2,38,0.8453638777994315,50
10,59_118_39_38_18,System,18,3.54823955578309e-05,0
11,3_89_28_35_64,Clerk_1,3,0.6398467198858077,25
11,3_89_28_35_64,Credit_Officer_1,89,0.9882727194366717,50
11,3_89_28_35_64,Clerk_2,28,0.6394061003089475,25
11,3_89_28_35_64,Credit_Officer_2,35,0.8430688270554971,50
11,3_89_28_35_64,System,64,3.271276781646952e-05,0
12,8_75_20_77_91,Clerk_1,8,0.6386335756516269,25
12,8_75_20_77_91,Credit_Officer_1,75,0.9879006531325902,50
12,8_75_20_77_91,Clerk_2,20,0.6386879487686268,25
12,8_75_20_77_91,Credit_Officer_2,77,0.83800502142221,50
12,8_75_20_77_91,System,91,3.175187873753732e-05,0
13,14_54_91_54_7,Clerk_1,14,0.6226751711019359,25
13,14_54_91_54_7,Credit_Officer_1,54,0.9896549093651789,50
13,14_54_91_54_7,Clerk_2,91,0.6221299418247439,25
13,14_54_91_54_7,Credit_Officer_2,54,0.8236904857123668,50
13,14_54_91_54_7,System,7,3.282842602729569e-05,0
14,70_87_67_123_77,Clerk_1,70,0.6434531537838667,25
14,70_87_67_123_77,Credit_Officer_1,87,0.994422393138645,50
14,70_87_67_123_77,Clerk_2,67,0.6432856857814482,25
14,70_87_67_123_77,Credit_Officer_2,123,0.8486356606926737,50
14,70_87_67_123_77,System,77,3.256512983273677e-05,0
15,118_19_19_105_52,Clerk_1,118,0.6411424460745148,25
15,118_19_19_105_52,Credit_Officer_1,19,0.9887770676645464,50
15,118_19_19_105_52,Clerk_2,19,0.6410616264449418,25
15,118_19_19_105_52,Credit_Officer_2,105,0.8462761171704115,50
15,118_19_19_105_52,System,52,3.3987921238732703e-05,0
16,22_121_46_98_95,Clerk_1,22,0.6364787976432134,25
16,22_121_46_98_95,Credit_Officer_1,121,0.9883283001105859,50
16,22_121_46_98_95,Clerk_2,46,0.6352911068208204,25
16,22_121_46_98_95,Credit_Officer_2,98,0.8397543962813983,50
16,22_121_46_98_95,System,95,3.170670819507439e-05,0
17,115_81_98_46_36,Clerk_1,115,0.6434257527604457,25
17,115_81_98_46_36,Credit_Officer_1,81,0.9890092047264891,50
17,115_81_98_46_36,Clerk_2,98,0.6440681780553477,25
17,115_81_98_46_36,Credit_Officer_2,46,0.8453315124522128,50
17,115_81_98_46_36,System,36,3.52516230460828e-05,0
18,117_56_125_87_81,Clerk_1,117,0.6349170674080244,25
18,117_56_125_87_81,Credit_Officer_1,56,0.9856774800067999,50
18,117_56_125_87_81,Clerk_2,125,0.6331478078670081,25
