# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,29_49_1_21,SYSTEM,29,0.0,1
0,29_49_1_21,Role 1,49,0.03,1
0,29_49_1_21,Role 2,1,0.33,1
0,29_49_1_21,Role 3,21,0.0,1
1,10_7_13_24,SYSTEM,10,0.0,1
1,10_7_13_24,Role 1,7,0.22,1
1,10_7_13_24,Role 2,13,0.02,1
1,10_7_13_24,Role 3,24,0.0,1
2,27_37_29_47,SYSTEM,27,0.0,1
2,27_37_29_47,Role 1,37,0.04,1
2,27_37_29_47,Role 2,29,0.01,1
2,27_37_29_47,Role 3,47,0.0,1
3,14_60_2_46,SYSTEM,14,0.0,1
3,14_60_2_46,Role 1,60,0.03,1
3,14_60_2_46,Role 2,2,0.16,1
3,14_60_2_46,Role 3,46,0.0,1
4,29_38_10_14,SYSTEM,29,0.0,1
4,29_38_10_14,Role 1,38,0.04,1
4,29_38_10_14,Role 2,10,0.03,1
4,29_38_10_14,Role 3,14,0.0,1
5,55_66_22_48,SYSTEM,55,0.0,1
5,55_66_22_48,Role 1,66,0.02,1
5,55_66_22_48,Role 2,22,0.01,1
5,55_66_22_48,Role 3,48,0.0,1
6,60_61_6_3,SYSTEM,60,0.0,1
6,60_61_6_3,Role 1,61,0.03,1
6,60_61_6_3,Role 2,6,0.06,1
6,60_61_6_3,Role 3,3,0.0,1
7,12_60_7_29,SYSTEM,12,0.0,1
7,12_60_7_29,Role 1,60,0.03,1
7,12_60_7_29,Role 2,7,0.05,1
7,12_60_7_29,Role 3,29,0.0,1
8,66_37_48_22,SYSTEM,66,0.0,1
8,66_37_48_22,Role 1,37,0.04,1
8,66_37_48_22,Role 2,48,0.01,1
8,66_37_48_22,Role 3,22,0.0,1
9,47_57_2_52,SYSTEM,47,0.0,1
9,47_57_2_52,Role 1,57,0.03,1
9,47_57_2_52,Role 2,2,0.17,1
9,47_57_2_52,Role 3,52,0.0,1
10,68_51_20_54,SYSTEM,68,0.0,1
10,68_51_20_54,Role 1,51,0.03,1
10,68_51_20_54,Role 2,20,0.02,1
10,68_51_20_54,Role 3,54,0.0,1
11,8_31_62_20,SYSTEM,8,0.0,1
11,8_31_62_20,Role 1,31,0.05,1
11,8_31_62_20,Role 2,62,0.01,1
11,8_31_62_20,Role 3,20,0.0,1
12,20_9_2_47,SYSTEM,20,0.0,1
12,20_9_2_47,Role 1,9,0.17,1
12,20_9_2_47,Role 2,2,0.16,1
12,20_9_2_47,Role 3,47,0.0,1
13,15_19_34_4,SYSTEM,15,0.0,1
13,15_19_34_4,Role 1,19,0.08,1
13,15_19_34_4,Role 2,34,0.01,1
13,15_19_34_4,Role 3,4,0.0,1
14,40_10_41_48,SYSTEM,40,0.0,1
14,40_10_41_48,Role 1,10,0.16,1
14,40_10_41_48,Role 2,41,0.01,1
14,40_10_41_48,Role 3,48,0.0,1
15,7_29_48_29,SYSTEM,7,0.0,1
15,7_29_48_29,Role 1,29,0.05,1
15,7_29_48_29,Role 2,48,0.01,1
15,7_29_48_29,Role 3,29,0.0,1
16,4_37_46_36,SYSTEM,4,0.0,1
16,4_37_46_36,Role 1,37,0.04,1
16,4_37_46_36,Role 2,46,0.01,1
16,4_37_46_36,Role 3,36,0.0,1
17,65_40_62_10,SYSTEM,65,0.0,1
17,65_40_62_10,Role 1,40,0.04,1
17,65_40_62_10,Role 2,62,0.01,1
17,65_40_62_10,Role 3,10,0.0,1
18,10_55_28_12,SYSTEM,10,0.0,1
18,10_55_28_12,Role 1,55,0.03,1
18,10_55_28_12,Role 2,28,0.01,1
18,10_55_28_12,Role 3,12,0.0,1
19,64_24_52_50,SYSTEM,64,0.0,1
19,64_24_52_50,Role 1,24,0.07,1
19,64_24_52_50,Role 2,52,0.01,1
19,64_24_52_50,Role 3,50,0.0,1
20,61_43_52_24,SYSTEM,61,0.0,1
20,61_43_52_24,Role 1,43,0.04,1
20,61_43_52_24,Role 2,52,0.01,1
20,61_43_52_24,Role 3,24,0.0,1
21,19_61_30_66,SYSTEM,19,0.0,1
21,19_61_30_66,Role 1,61,0.03,1
21,19_61_30_66,Role 2,30,0.01,1
21,19_61_30_66,Role 3,66,0.0,1
22,46_43_8_65,SYSTEM,46,0.0,1
22,46_43_8_65,Role 1,43,0.04,1
22,46_43_8_65,Role 2,8,0.04,1
22,46_43_8_65,Role 3,65,0.0,1
23,31_40_28_17,SYSTEM,31,0.0,1
23,31_40_28_17,Role 1,40,0.04,1
23,31_40_28_17,Role 2,28,0.01,1
23,31_40_28_17,Role 3,17,0.0,1
24,62_40_1_42,SYSTEM,62,0.0,1
24,62_40_1_42,Role 1,40,0.04,1
24,62_40_1_42,Role 2,1,0.32,1
24,62_40_1_42,Role 3,42,0.0,1
25,23_36_61_25,SYSTEM,23,0.0,1
25,23_36_61_25,Role 1,36,0.04,1
25,23_36_61_25,Role 2,61,0.01,1
25,23_36_61_25,Role 3,25,0.0,1
26,62_43_2_64,SYSTEM,62,0.0,1
26,62_43_2_64,Role 1,43,0.04,1
26,62_43_2_64,Role 2,2,0.16,1
26,62_43_2_64,Role 3,64,0.0,1
27,47_68_12_10,SYSTEM,47,0.0,1
27,47_68_12_10,Role 1,68,0.02,1
27,47_68_12_10,Role 2,12,0.03,1
27,47_68_12_10,Role 3,10,0.0,1
28,64_48_5_52,SYSTEM,64,0.0,1
28,64_48_5_52,Role 1,48,0.03,1
28,64_48_5_52,Role 2,5,0.06,1
28,64_48_5_52,Role 3,52,0.0,1
29,52_63_49_9,SYSTEM,52,0.0,1
29,52_63_49_9,Role 1,63,0.02,1
29,52_63_49_9,Role 2,49,0.01,1
29,52_63_49_9,Role 3,9,0.0,1
30,2_2_2_17,SYSTEM,2,0.0,1
30,2_2_2_17,Role 1,2,0.77,1
30,2_2_2_17,Role 2,2,0.16,1
30,2_2_2_17,Role 3,17,0.0,1
31,59_37_38_58,SYSTEM,59,0.0,1
31,59_37_38_58,Role 1,37,0.04,1
31,59_37_38_58,Role 2,38,0.01,1
31,59_37_38_58,Role 3,58,0.0,1
32,9_19_40_66,SYSTEM,9,0.0,1
32,9_19_40_66,Role 1,19,0.08,1
32,9_19_40_66,Role 2,40,0.01,1
32,9_19_40_66,Role 3,66,0.0,1
33,39_2_55_16,SYSTEM,39,0.0,1
33,39_2_55_16,Role 1,2,0.78,1
33,39_2_55_16,Role 2,55,0.01,1
33,39_2_55_16,Role 3,16,0.0,1
34,55_27_59_51,SYSTEM,55,0.0,1
34,55_27_59_51,Role 1,27,0.06,1
34,55_27_59_51,Role 2,59,0.01,1
34,55_27_59_51,Role 3,51,0.0,1
35,38_10_5_9,SYSTEM,38,0.0,1
35,38_10_5_9,Role 1,10,0.16,1
35,38_10_5_9,Role 2,5,0.06,1
35,38_10_5_9,Role 3,9,0.0,1
36,4_8_16_49,SYSTEM,4,0.0,1
36,4_8_16_49,Role 1,8,0.19,1
36,4_8_16_49,Role 2,16,0.02,1
36,4_8_16_49,Role 3,49,0.0,1
37,39_1_5_66,SYSTEM,39,0.0,1
37,39_1_5_66,Role 1,1,1.0,1
37,39_1_5_66,Role 2,5,0.04,1
37,39_1_5_66,Role 3,66,0.0,1
38,39_14_18_51,SYSTEM,39,0.0,1
38,39_14_18_51,Role 1,14,0.11,1
38,39_14_18_51,Role 2,18,0.02,1
38,39_14_18_51,Role 3,51,0.0,1
39,14_40_66_58,SYSTEM,14,0.0,1
39,14_40_66_58,Role 1,40,0.04,1
39,14_40_66_58,Role 2,66,0.0,1
39,14_40_66_58,Role 3,58,0.0,1
40,10_4_28_12,SYSTEM,10,0.0,1
40,10_4_28_12,Role 1,4,0.39,1
40,10_4_28_12,Role 2,28,0.01,1
40,10_4_28_12,Role 3,12,0.0,1
41,8_31_61_21,SYSTEM,8,0.0,1
41,8_31_61_21,Role 1,31,0.05,1
41,8_31_61_21,Role 2,61,0.01,1
41,8_31_61_21,Role 3,21,0.0,1
42,14_37_10_14,SYSTEM,14,0.0,1
42,14_37_10_14,Role 1,37,0.04,1
42,14_37_10_14,Role 2,10,0.03,1
42,14_37_10_14,Role 3,14,0.0,1
43,12_52_64_30,SYSTEM,12,0.0,1
43,12_52_64_30,Role 1,52,0.03,1
43,12_52_64_30,Role 2,64,0.0,1
43,12_52_64_30,Role 3,30,0.0,1
44,16_27_35_51,SYSTEM,16,0.0,1
44,16_27_35_51,Role 1,27,0.06,1
44,16_27_35_51,Role 2,35,0.01,1
44,16_27_35_51,Role 3,51,0.0,1
45,6_24_46_36,SYSTEM,6,0.0,1
45,6_24_46_36,Role 1,24,0.06,1
45,6_24_46_36,Role 2,46,0.01,1
45,6_24_46_36,Role 3,36,0.0,1
46,14_14_2_43,SYSTEM,14,0.0,1
46,14_14_2_43,Role 1,14,0.11,1
46,14_14_2_43,Role 2,2,0.16,1
46,14_14_2_43,Role 3,43,0.0,1
47,38_16_5_51,SYSTEM,38,0.0,1
47,38_16_5_51,Role 1,16,0.1,1
47,38_16_5_51,Role 2,5,0.06,1
47,38_16_5_51,Role 3,51,0.0,1
48,2_37_32_17,SYSTEM,2,0.0,1
48,2_37_32_17,Role 1,37,0.04,1
48,2_37_32_17,Role 2,32,0.01,1
48,2_37_32_17,Role 3,17,0.0,1
