# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,49_84,SYSTEM,49,0.0,1
0,49_84,Role 1,84,0.14,1
1,1_36,SYSTEM,1,0.0,1
1,1_36,Role 1,36,0.32,1
2,18_11,SYSTEM,18,0.0,1
2,18_11,Role 1,11,0.99,1
3,22_41,SYSTEM,22,0.0,1
3,22_41,Role 1,41,0.28,1
4,47_63,SYSTEM,47,0.0,1
4,47_63,Role 1,63,0.18,1
5,49_80,SYSTEM,49,0.0,1
5,49_80,Role 1,80,0.15,1
6,24_102,SYSTEM,24,0.0,1
6,24_102,Role 1,102,0.11,1
7,4_78,SYSTEM,4,0.0,1
7,4_78,Role 1,78,0.15,1
8,49_65,SYSTEM,49,0.0,1
8,49_65,Role 1,65,0.18,1
9,17_23,SYSTEM,17,0.0,1
9,17_23,Role 1,23,0.5,1
10,93_113,SYSTEM,93,0.0,1
10,93_113,Role 1,113,0.1,1
11,37_81,SYSTEM,37,0.0,1
11,37_81,Role 1,81,0.15,1
12,102_104,SYSTEM,102,0.0,1
12,102_104,Role 1,104,0.11,1
13,10_5,SYSTEM,10,0.0,1
13,10_5,Role 1,5,1.0,1
14,20_102,SYSTEM,20,0.0,1
14,20_102,Role 1,102,0.11,1
15,12_49,SYSTEM,12,0.0,1
15,12_49,Role 1,49,0.25,1
16,112_62,SYSTEM,112,0.0,1
16,112_62,Role 1,62,0.19,1
17,81_37,SYSTEM,81,0.0,1
17,81_37,Role 1,37,0.31,1
18,80_97,SYSTEM,80,0.0,1
18,80_97,Role 1,97,0.12,1
19,3_88,SYSTEM,3,0.0,1
19,3_88,Role 1,88,0.14,1
20,115_87,SYSTEM,115,0.0,1
20,115_87,Role 1,87,0.13,1
21,33_92,SYSTEM,33,0.0,1
21,33_92,Role 1,92,0.13,1
22,12_52,SYSTEM,12,0.0,1
22,12_52,Role 1,52,0.22,1
23,106_35,SYSTEM,106,0.0,1
23,106_35,Role 1,35,0.33,1
24,34_16,SYSTEM,34,0.0,1
24,34_16,Role 1,16,0.74,1
25,3_79,SYSTEM,3,0.0,1
25,3_79,Role 1,79,0.15,1
26,25_31,SYSTEM,25,0.0,1
26,25_31,Role 1,31,0.37,1
27,58_7,SYSTEM,58,0.0,1
27,58_7,Role 1,7,1.0,1
28,67_18,SYSTEM,67,0.0,1
28,67_18,Role 1,18,0.64,1
29,69_82,SYSTEM,69,0.0,1
29,69_82,Role 1,82,0.14,1
30,81_49,SYSTEM,81,0.0,1
30,81_49,Role 1,49,0.24,1
31,6_63,SYSTEM,6,0.0,1
31,6_63,Role 1,63,0.18,1
32,78_60,SYSTEM,78,0.0,1
32,78_60,Role 1,60,0.2,1
33,110_69,SYSTEM,110,0.0,1
33,110_69,Role 1,69,0.17,1
34,105_16,SYSTEM,105,0.0,1
34,105_16,Role 1,16,0.73,1
35,17_94,SYSTEM,17,0.0,1
35,17_94,Role 1,94,0.12,1
36,47_20,SYSTEM,47,0.0,1
36,47_20,Role 1,20,0.6,1
37,108_41,SYSTEM,108,0.0,1
37,108_41,Role 1,41,0.28,1
38,88_85,SYSTEM,88,0.0,1
38,88_85,Role 1,85,0.14,1
39,52_70,SYSTEM,52,0.0,1
39,52_70,Role 1,70,0.17,1
40,10_50,SYSTEM,10,0.0,1
40,10_50,Role 1,50,0.23,1
41,20_77,SYSTEM,20,0.0,1
41,20_77,Role 1,77,0.15,1
42,87_86,SYSTEM,87,0.0,1
42,87_86,Role 1,86,0.13,1
43,80_50,SYSTEM,80,0.0,1
43,80_50,Role 1,50,0.24,1
44,102_101,SYSTEM,102,0.0,1
44,102_101,Role 1,101,0.11,1
45,13_97,SYSTEM,13,0.0,1
45,13_97,Role 1,97,0.12,1
46,22_45,SYSTEM,22,0.0,1
46,22_45,Role 1,45,0.25,1
47,27_79,SYSTEM,27,0.0,1
47,27_79,Role 1,79,0.15,1
48,15_26,SYSTEM,15,0.0,1
48,15_26,Role 1,26,0.46,1
49,6_87,SYSTEM,6,0.0,1
49,6_87,Role 1,87,0.13,1
50,32_21,SYSTEM,32,0.0,1
50,32_21,Role 1,21,0.55,1
51,66_79,SYSTEM,66,0.0,1
51,66_79,Role 1,79,0.15,1
52,16_46,SYSTEM,16,0.0,1
52,16_46,Role 1,46,0.25,1
53,3_93,SYSTEM,3,0.0,1
53,3_93,Role 1,93,0.13,1
54,12_75,SYSTEM,12,0.0,1
54,12_75,Role 1,75,0.16,1
55,16_7,SYSTEM,16,0.0,1
55,16_7,Role 1,7,1.0,1
56,3_103,SYSTEM,3,0.0,1
56,3_103,Role 1,103,0.11,1
57,115_31,SYSTEM,115,0.0,1
57,115_31,Role 1,31,0.38,1
58,19_11,SYSTEM,19,0.0,1
58,19_11,Role 1,11,1.0,1
59,15_23,SYSTEM,15,0.0,1
59,15_23,Role 1,23,0.51,1
60,78_85,SYSTEM,78,0.0,1
60,78_85,Role 1,85,0.14,1
61,40_80,SYSTEM,40,0.0,1
61,40_80,Role 1,80,0.15,1
62,1_35,SYSTEM,1,0.0,1
62,1_35,Role 1,35,0.34,1
63,2_11,SYSTEM,2,0.0,1
63,2_11,Role 1,11,0.99,1
64,100_113,SYSTEM,100,0.0,1
64,100_113,Role 1,113,0.1,1
65,103_63,SYSTEM,103,0.0,1
65,103_63,Role 1,63,0.19,1
66,45_58,SYSTEM,45,0.0,1
66,45_58,Role 1,58,0.2,1
67,50_18,SYSTEM,50,0.0,1
67,50_18,Role 1,18,0.65,1
68,12_31,SYSTEM,12,0.0,1
68,12_31,Role 1,31,0.38,1
69,24_105,SYSTEM,24,0.0,1
69,24_105,Role 1,105,0.11,1
70,11_80,SYSTEM,11,0.0,1
70,11_80,Role 1,80,0.15,1
71,78_58,SYSTEM,78,0.0,1
71,78_58,Role 1,58,0.2,1
72,60_7,SYSTEM,60,0.0,1
72,60_7,Role 1,7,1.0,1
73,95_104,SYSTEM,95,0.0,1
73,95_104,Role 1,104,0.11,1
74,33_14,SYSTEM,33,0.0,1
74,33_14,Role 1,14,0.82,1
75,6_57,SYSTEM,6,0.0,1
75,6_57,Role 1,57,0.2,1
76,115_94,SYSTEM,115,0.0,1
76,115_94,Role 1,94,0.13,1
77,12_41,SYSTEM,12,0.0,1
77,12_41,Role 1,41,0.28,1
78,7_78,SYSTEM,7,0.0,1
78,7_78,Role 1,78,0.15,1
79,13_21,SYSTEM,13,0.0,1
79,13_21,Role 1,21,0.56,1
80,3_69,SYSTEM,3,0.0,1
80,3_69,Role 1,69,0.17,1
81,102_113,SYSTEM,102,0.0,1
81,102_113,Role 1,113,0.1,1
82,1_38,SYSTEM,1,0.0,1
82,1_38,Role 1,38,0.31,1
83,103_12,SYSTEM,103,0.0,1
83,103_12,Role 1,12,0.97,1
84,10_52,SYSTEM,10,0.0,1
84,10_52,Role 1,52,0.23,1
85,51_87,SYSTEM,51,0.0,1
85,51_87,Role 1,87,0.13,1
86,12_30,SYSTEM,12,0.0,1
86,12_30,Role 1,30,0.39,1
87,12_18,SYSTEM,12,0.0,1
87,12_18,Role 1,18,0.64,1
88,2_88,SYSTEM,2,0.0,1
88,2_88,Role 1,88,0.13,1
89,22_36,SYSTEM,22,0.0,1
89,22_36,Role 1,36,0.33,1
90,2_15,SYSTEM,2,0.0,1
90,2_15,Role 1,15,0.78,1
91,102_50,SYSTEM,102,0.0,1
91,102_50,Role 1,50,0.23,1
92,49_79,SYSTEM,49,0.0,1
92,49_79,Role 1,79,0.15,1
93,5_87,SYSTEM,5,0.0,1
93,5_87,Role 1,87,0.13,1
94,62_111,SYSTEM,62,0.0,1
94,62_111,Role 1,111,0.11,1
95,2_99,SYSTEM,2,0.0,1
95,2_99,Role 1,99,0.12,1
96,15_28,SYSTEM,15,0.0,1
96,15_28,Role 1,28,0.41,1
97,68_82,SYSTEM,68,0.0,1
97,68_82,Role 1,82,0.14,1
98,22_46,SYSTEM,22,0.0,1
98,22_46,Role 1,46,0.25,1
99,6_55,SYSTEM,6,0.0,1
99,6_55,Role 1,55,0.21,1
100,17_91,SYSTEM,17,0.0,1
100,17_91,Role 1,91,0.13,1
101,11_87,SYSTEM,11,0.0,1
101,11_87,Role 1,87,0.14,1
102,9_114,SYSTEM,9,0.0,1
102,9_114,Role 1,114,0.1,1
103,24_106,SYSTEM,24,0.0,1
103,24_106,Role 1,106,0.11,1
104,2_84,SYSTEM,2,0.0,1
104,2_84,Role 1,84,0.14,1
105,1_52,SYSTEM,1,0.0,1
105,1_52,Role 1,52,0.22,1
106,19_49,SYSTEM,19,0.0,1
106,19_49,Role 1,49,0.24,1
107,25_49,SYSTEM,25,0.0,1
107,25_49,Role 1,49,0.24,1
108,1_41,SYSTEM,1,0.0,1
108,1_41,Role 1,41,0.28,1
109,24_39,SYSTEM,24,0.0,1
109,24_39,Role 1,39,0.29,1
110,4_113,SYSTEM,4,0.0,1
110,4_113,Role 1,113,0.1,1
111,29_84,SYSTEM,29,0.0,1
111,29_84,Role 1,84,0.14,1
112,14_97,SYSTEM,14,0.0,1
112,14_97,Role 1,97,0.12,1
113,93_82,SYSTEM,93,0.0,1
113,93_82,Role 1,82,0.14,1
114,25_15,SYSTEM,25,0.0,1
114,25_15,Role 1,15,0.78,1
115,20_17,SYSTEM,20,0.0,1
115,20_17,Role 1,17,0.68,1
116,6_96,SYSTEM,6,0.0,1
116,6_96,Role 1,96,0.12,1
117,17_63,SYSTEM,17,0.0,1
117,17_63,Role 1,63,0.18,1
118,24_58,SYSTEM,24,0.0,1
118,24_58,Role 1,58,0.2,1
119,15_31,SYSTEM,15,0.0,1
119,15_31,Role 1,31,0.37,1
120,19_12,SYSTEM,19,0.0,1
120,19_12,Role 1,12,0.98,1
121,11_94,SYSTEM,11,0.0,1
121,11_94,Role 1,94,0.13,1
122,4_80,SYSTEM,4,0.0,1
122,4_80,Role 1,80,0.15,1
123,1_79,SYSTEM,1,0.0,1
123,1_79,Role 1,79,0.13,1
124,10_8,SYSTEM,10,0.0,1
124,10_8,Role 1,8,0.98,1
125,1_87,SYSTEM,1,0.0,1
125,1_87,Role 1,87,0.13,1
126,20_18,SYSTEM,20,0.0,1
126,20_18,Role 1,18,0.65,1
127,24_17,SYSTEM,24,0.0,1
127,24_17,Role 1,17,0.69,1
128,14_11,SYSTEM,14,0.0,1
128,14_11,Role 1,11,0.99,1
129,2_16,SYSTEM,2,0.0,1
129,2_16,Role 1,16,0.72,1
130,16_90,SYSTEM,16,0.0,1
130,16_90,Role 1,90,0.13,1
131,23_49,SYSTEM,23,0.0,1
131,23_49,Role 1,49,0.24,1
132,4_103,SYSTEM,4,0.0,1
132,4_103,Role 1,103,0.11,1
133,2_82,SYSTEM,2,0.0,1
133,2_82,Role 1,82,0.14,1
134,4_69,SYSTEM,4,0.0,1
134,4_69,Role 1,69,0.17,1
135,3_13,SYSTEM,3,0.0,1
135,3_13,Role 1,13,0.9,1
136,1_63,SYSTEM,1,0.0,1
136,1_63,Role 1,63,0.19,1
137,19_20,SYSTEM,19,0.0,1
137,19_20,Role 1,20,0.58,1
138,16_41,SYSTEM,16,0.0,1
138,16_41,Role 1,41,0.29,1
139,13_7,SYSTEM,13,0.0,1
139,13_7,Role 1,7,0.99,1
140,7_69,SYSTEM,7,0.0,1
140,7_69,Role 1,69,0.17,1
141,11_13,SYSTEM,11,0.0,1
141,11_13,Role 1,13,0.89,1
142,9_52,SYSTEM,9,0.0,1
142,9_52,Role 1,52,0.23,1
143,50_84,SYSTEM,50,0.0,1
143,50_84,Role 1,84,0.14,1
144,8_69,SYSTEM,8,0.0,1
