# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,20_10_7,SYSTEM,20,0.0,1
0,20_10_7,Role 1,10,0.01,1
0,20_10_7,Role 2,7,1.0,1
1,13_23_27,SYSTEM,13,0.0,1
1,13_23_27,Role 1,23,0.01,1
1,13_23_27,Role 2,27,0.97,1
2,36_28_46,SYSTEM,36,0.0,1
2,36_28_46,Role 1,28,0.02,1
2,36_28_46,Role 2,46,0.91,1
3,14_58_2,SYSTEM,14,0.0,1
3,14_58_2,Role 1,58,0.0,1
3,14_58_2,Role 2,2,1.0,1
4,45_28_37,SYSTEM,45,0.0,1
4,45_28_37,Role 1,28,0.02,1
4,45_28_37,Role 2,37,0.96,1
5,10_14_53,SYSTEM,10,0.0,1
5,10_14_53,Role 1,14,0.04,1
5,10_14_53,Role 2,53,0.89,1
6,64_21_46,SYSTEM,64,0.0,1
6,64_21_46,Role 1,21,0.02,1
6,64_21_46,Role 2,46,0.91,1
7,58_60_6,SYSTEM,58,0.0,1
7,58_60_6,Role 1,60,0.0,1
7,58_60_6,Role 2,6,1.0,1
8,3_12_58,SYSTEM,3,0.0,1
8,3_12_58,Role 1,12,0.05,1
8,3_12_58,Role 2,58,0.93,1
9,7_28_64,SYSTEM,7,0.0,1
9,7_28_64,Role 1,28,0.03,1
9,7_28_64,Role 2,64,0.91,1
10,36_46_21,SYSTEM,36,0.0,1
10,36_46_21,Role 1,46,0.01,1
10,36_46_21,Role 2,21,0.98,1
11,46_56_2,SYSTEM,46,0.0,1
11,46_56_2,Role 1,56,0.0,1
11,46_56_2,Role 2,2,1.0,1
12,50_66_50,SYSTEM,50,0.0,1
12,50_66_50,Role 1,66,0.01,1
12,50_66_50,Role 2,50,0.9,1
13,19_53_7,SYSTEM,19,0.0,1
13,19_53_7,Role 1,53,0.0,1
13,19_53_7,Role 2,7,1.0,1
14,30_60_20,SYSTEM,30,0.0,1
14,30_60_20,Role 1,60,0.0,1
14,30_60_20,Role 2,20,0.98,1
15,19_9_2,SYSTEM,19,0.0,1
15,19_9_2,Role 1,9,0.0,1
15,19_9_2,Role 2,2,1.0,1
16,45_14_18,SYSTEM,45,0.0,1
16,45_14_18,Role 1,14,0.02,1
16,45_14_18,Role 2,18,0.99,1
17,33_4_38,SYSTEM,33,0.0,1
17,33_4_38,Role 1,4,0.11,1
17,33_4_38,Role 2,38,0.95,1
18,10_39_47,SYSTEM,10,0.0,1
18,10_39_47,Role 1,39,0.01,1
18,10_39_47,Role 2,47,0.9,1
19,7_28_46,SYSTEM,7,0.0,1
19,7_28_46,Role 1,28,0.02,1
19,7_28_46,Role 2,46,0.91,1
20,28_4_36,SYSTEM,28,0.0,1
20,28_4_36,Role 1,4,0.1,1
