# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_10_7,281490.84055555554,6788784.305719606,27388298.0,190192.59672681894,579438.0
1,13_23_27,125833.78500000002,1741194.249009323,7190502.0,39106.76863095653,220865.0
2,36_28_46,137302.15277777778,1027543.5769416641,4493525.0,29389.67636544886,87830.0
3,14_58_2,1908949.4483333335,22886826.758797772,92867811.0,175782.4115290679,686662.0
4,45_28_37,165264.55,1299253.2748798241,5408658.0,51245.35636690515,98692.0
5,10_14_53,86402.81222222222,923763.6368616051,4039612.0,15923.815386137227,90471.0
6,64_21_46,166265.19999999998,1057685.901302662,4569120.0,26879.184271351667,100909.0
7,58_60_6,1080935.9688888888,7696969.3238564255,31382012.0,138349.50151740573,603973.0
8,3_12_58,71232.9336111111,852357.6494082737,3512857.0,26553.55630609824,88900.0
9,7_28_64,88117.92,730625.3587766114,3204288.0,26106.492140153656,68752.0
10,36_46_21,261264.27805555557,2210429.963273183,9131567.0,72092.9305771389,337666.0
11,46_56_2,2696033.4266666668,23294690.59800804,93324234.0,231559.45919031277,748590.0
12,50_66_50,194719.10666666666,947568.2360901975,4222824.0,30170.455667648814,102930.0
13,19_53_7,591758.6727777778,6682959.675647658,26966218.0,233951.1042314507,665252.0
14,30_60_20,294461.5666666667,2333375.6280107377,9636924.0,68175.18149513984,178651.0
15,19_9_2,762904.1833333333,23156773.87010898,91548502.0,353519.11953339353,808258.0
16,45_14_18,217082.39972222224,2609868.711153764,10149307.0,84015.20810911385,270307.0
17,33_4_38,108899.60416666667,1388211.0281988557,5227181.0,44190.779980202904,167554.0
18,10_39_47,117940.96,988497.5402982434,4422786.0,36852.983229293255,79016.0
19,7_28_46,100365.97499999999,1021415.4164280526,4460710.0,38760.764699385734,97111.0
20,28_4_36,103068.73333333334,1428717.977219478,5456580.0,28176.718967083376,119734.0
21,44_34_63,136832.6275,749755.1315771105,3493599.0,14594.7486015436,87270.0
22,39_60_10,570372.2025,4677367.303970947,18837981.0,150213.9870017385,355068.0
23,10_54_27,185152.97305555554,1796372.6390649474,7324733.0,28455.96929407958,77043.0
24,11_62_23,220523.3333333333,2034024.3557966177,8269625.0,35067.40329773887,112396.0
25,50_48_59,154718.31027777778,778686.6037609613,3547681.0,12306.581285625114,84630.0
26,42_50_24,256278.99333333332,1951964.9448495507,7953486.0,78989.42768975114,216666.0
27,18_60_29,198518.61583333334,1641626.8056992553,6679131.0,64613.649096915964,150080.0
28,64_44_42,197849.5833333333,1114739.5562493284,4748390.0,15765.849875517655,43409.0
29,8_63_30,183315.3086111111,1553861.7090924177,6534011.0,18564.83985761646,93421.0
30,39_27_16,270930.75611111114,2934572.569384948,11894521.0,56310.2550282646,266128.0
31,41_22_35,156124.83444444445,1334949.6741172152,5735198.0,31862.777561168885,138289.0
32,59_24_60,134823.65722222225,806715.4787586303,3394162.0,25063.12278577406,88489.0
33,42_2_62,98019.52500000001,1093927.6078869125,3328965.0,19458.96726607764,75441.0
34,46_66_12,563882.5255555556,4044430.481663219,16370783.0,139853.67187528405,311425.0
35,10_62_46,140249.785,1040462.1857775162,4278807.0,37687.47545945819,106783.0
36,5_50_50,119100.85833333334,926003.6378265867,4083458.0,22761.767895536614,107643.0
37,61_47_9,684938.215,5230162.712248315,21075022.0,116709.66062634438,376331.0
38,50_66_59,176916.88194444444,777518.0242481176,3639433.0,28384.774270224618,76002.0
39,5_50_44,129026.15,1076629.6531077265,4691860.0,34962.13672759163,163586.0
40,60_32_49,156734.895,958857.9614514525,4001742.0,30929.10558471759,96114.0
41,28_28_35,140394.7747222222,1351269.4410329415,5554079.0,35319.38394970819,110295.0
42,45_34_35,176330.7666666667,1347037.2896814593,5568340.0,25835.182220181217,113005.0
43,44_27_37,156709.32,1278796.1807520045,5223644.0,54233.726394759724,103251.0
44,13_64_44,149178.34555555557,1064619.358633732,4438364.0,25507.75456334115,111128.0
45,10_58_27,201882.54722222223,1794114.2336168897,7650286.0,96123.89925218443,284352.0
46,45_48_44,170726.8502777778,1063039.872606278,4486253.0,21590.540089689544,110752.0
47,41_28_37,163063.83388888888,1270599.1278068519,5538017.0,24973.515885643894,137080.0
48,7_28_47,100507.33166666667,1034984.9229375096,4412517.0,20096.305281267618,48119.0
49,9_24_53,95087.19,929179.477520469,3980394.0,13596.822118084528,102256.0
50,44_57_8,718988.6461111112,5827725.8938466925,23746414.0,207981.28118025512,566895.0
51,42_2_61,98926.8875,1090355.8809818085,3391779.0,28649.365811443888,84410.0
52,19_55_7,618579.0449999999,6852179.833550514,27492402.0,153171.36879377812,419645.0
53,7_60_20,226916.39666666667,2357912.7946696957,9389644.0,66049.56523655867,89778.0
54,14_48_46,130107.87,1007486.5093236447,4336929.0,13893.156514316797,92868.0
55,5_22_58,83287.6986111111,844044.7524426817,3527479.0,26514.745734078344,119684.0
56,7_4_64,68529.83333333333,913454.9330310208,3289432.0,24448.65576940938,134116.0
57,4_14_53,78493.71472222221,921520.145509617,3979963.0,24649.051098521217,120028.0
58,33_4_62,95360.375,924084.0924125816,3467650.0,19769.028707204736,89301.0
59,45_10_18,210598.00416666668,2620651.40715843,10385655.0,81198.32823470747,95049.0
60,50_24_29,185814.06,1597705.4306537812,6494472.0,36164.960651620524,153349.0
61,45_28_61,123501.84444444446,784531.9680968688,3317960.0,17981.494861986605,73488.0
62,7_22_62,83808.4975,783365.9462619579,3315501.0,32082.230024275952,163255.0
63,50_62_46,195408.1238888889,1019860.3101091197,4452337.0,32796.10318274831,90133.0
64,46_20_18,247525.08666666667,2609845.077710818,10608218.0,74658.84845131217,164836.0
65,55_14_60,135043.32749999998,816912.7659651802,3768651.0,22193.541236597346,162960.0
66,39_30_65,124966.79944444443,734204.3237131138,3357317.0,16301.84743370302,101016.0
67,28_4_35,109285.57972222223,1534306.1382469728,5872061.0,30124.166951668914,128774.0
68,13_21_27,120919.06305555554,1720625.2347593484,7136207.0,89439.81244945782,130238.0
69,31_64_30,229835.83333333334,1571598.3304874508,6619272.0,49513.37254146626,225891.0
70,3_12_59,77326.01222222223,832510.3124802465,3761806.0,10143.022317867959,104186.0
71,47_28_46,147982.0588888889,1016009.1878897358,4402772.0,15251.808387367171,78703.0
72,4_48_23,173674.9166666667,2027834.501659149,8336396.0,26726.14139612601,195660.0
73,3_11_54,68860.61555555556,905935.7648758515,3645562.0,18016.56298012077,69010.0
74,45_14_48,123866.02361111113,1039013.9246098017,4167455.0,23764.64051261521,82555.0
75,5_15_53,74095.93277777778,901270.5086645056,3654046.0,15407.095158029464,104263.0
