# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,141_243_1_102,10357485.427222222,2110.8601760837437,76564574.0,29.416300750791834,476193.0
1,50_32_63_117,5490498.491111111,2103.448975404203,75441964.0,27.823694632649676,823792.0
2,134_182_142_231,14480098.833055556,2089.3164629536273,75657991.0,18.892715076923196,993912.0
3,69_296_10_226,12599798.890277779,2112.778259052515,75473005.0,15.296469176054416,775872.0
4,141_189_48_67,9098596.454166668,2074.968445780456,73606623.0,21.817372684240127,441702.0
5,270_327_106_234,19475198.04972222,2096.4958918281795,74824667.0,17.737609661698116,565158.0
6,296_302_29_14,13539889.650555555,2106.4865002148154,76043062.0,17.565224083245084,760348.0
7,58_296_34_142,11126378.480555557,2108.826369635761,75575401.0,36.48564667481196,432662.0
8,323_180_234_107,17655610.445555557,2096.105320542276,75308291.0,22.78559832918654,893613.0
9,232_282_7_253,16019234.19,2099.364694646299,74508066.0,25.021675388574295,818372.0
10,334_253_95_266,20202937.28333333,2083.962979878366,76720015.0,40.7222975441814,652576.0
11,35_151_307_99,12530715.999999998,2111.963634515345,76200300.0,20.87555557674159,821403.0
12,97_44_7_229,7937891.559722221,2087.075703119516,75799495.0,25.415728355586907,992503.0
13,72_90_166_18,6961095.669444445,2086.2865914286376,72427585.0,19.97481392061718,827674.0
14,194_50_199_236,13888757.331944445,2113.299833546221,73637005.0,25.35316417163631,496918.0
15,35_140_235_140,11731877.51388889,2109.8414179348947,76790471.0,16.02538068503145,455402.0
16,17_181_224_174,12645357.164444445,2085.896739584863,76381352.0,25.706842865705767,632154.0
17,319_198_305_47,18326949.3,2086.00119469291,75922920.0,29.498221067070972,897139.0
18,47_273_135_56,10650447.237499999,2083.5762181485297,75032505.0,12.921139335810949,579251.0
19,313_118_254_245,19765390.749999996,2088.552997440934,76511190.0,29.94708574879178,765404.0
20,298_211_254_118,18620085.259444445,2095.643740967393,76086614.0,34.69662195748106,515646.0
