# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,53_91,3475884.3200000003,87979.49131833397,86897108.0,656.271881692548,1238101.0
1,1_38,935091.2675000001,88817.46074718458,86316117.0,491.2572533129278,409493.0
2,19_12,765515.6447222222,88557.4212199991,88898591.0,786.7474284374912,1029306.0
3,24_44,1654357.6066666667,88374.63630176437,87583638.0,577.315191944057,798241.0
4,50_68,2761094.324444445,88234.8052557159,84236776.0,537.1344929885963,1540194.0
5,53_86,3477361.61,88182.9405552231,90061164.0,491.07977832321194,1033543.0
6,26_110,3289364.188888889,88062.36280044899,87071405.0,614.0911157341616,604066.0
7,4_84,2126788.5955555555,88165.18233066067,87004988.0,255.7980388446449,701576.0
8,53_70,3036668.0066666664,88618.00217704372,88878088.0,504.5205559847818,706277.0
9,18_25,1037935.2541666668,88354.12857357132,86896905.0,609.6472267743375,1067334.0
10,101_122,5417374.246388889,88314.1434318967,87455369.0,626.6902413180796,606088.0
11,40_87,3021042.4155555554,88085.24014383636,85635848.0,740.5607202318497,1133543.0
12,110_112,5377631.676666666,88462.66223486191,87204838.0,556.6844294142793,832547.0
13,11_5,393290.9511111111,156073.51346241572,88490464.0,13500.826596315776,792065.0
14,22_110,3166984.8466666667,88466.24826160258,86372314.0,514.2900033442129,1029835.0
15,13_53,1600580.6483333334,88736.29396272768,87304399.0,749.6816438841051,404561.0
16,120_67,4562548.0175,88317.55697459662,87835149.0,980.7010884104093,774931.0
17,87_40,3089303.716111111,88522.86394187165,87570814.0,472.71712114146794,499720.0
18,86_105,4583799.45,88468.65448444785,86396220.0,850.1598257987353,1017791.0
19,3_94,2349098.308333333,88620.01350039092,87183030.0,699.1220821599127,607473.0
20,124_94,5363824.176111111,88015.16137914764,88576913.0,785.051917225268,751562.0
21,36_99,3313839.8625,88087.28985477635,88369063.0,533.9429567024781,911558.0
22,13_56,1661140.4616666664,88353.84885691931,86668198.0,894.1028651655361,1259452.0
23,114_37,3643759.7341666673,88320.62300707889,86871093.0,444.5641397743602,1102076.0
24,36_17,1301013.8783333334,88597.56420032772,88370754.0,419.6999716858845,727437.0
25,3_85,2165133.788888889,87832.78497124372,88573655.0,753.5739481904166,856773.0
26,27_34,1482554.9969444443,88086.0985699856,87495049.0,705.8975946666324,811523.0
27,62_7,1723684.1124999998,92721.10359274923,89931345.0,695.0889883493801,828838.0
28,72_19,2233688.603611111,89257.4384669344,88365703.0,747.4406867619255,1326295.0
29,74_88,3951674.01,88293.72702612609,87814978.0,524.713049613274,575553.0
30,13_52,1592922.825,88493.7243660188,88223418.0,508.99556473156554,1497664.0
31,87_52,3419669.196666667,88239.89964412022,88566972.0,1448.5590719184256,1240496.0
32,7_67,1812861.8049999997,88207.10514800089,88193277.0,781.5559538774687,1093576.0
33,83_65,3555571.3633333333,88909.76136254949,86486871.0,889.8896259302855,893619.0
34,119_74,4796497.223888889,88046.59230438774,89468342.0,434.88357341587835,1008286.0
35,113_18,3203803.5741666667,88820.99138541316,88043457.0,581.127083444022,1342477.0
36,18_101,2984628.0255555552,88142.24727984818,90291268.0,541.814038286946,749654.0
37,50_21,1724656.2272222221,89388.07208605051,87447358.0,789.2516776157572,675722.0
38,116_44,3914815.6444444447,88171.70853285241,88083352.0,728.15938295862,907246.0
39,94_91,4592862.622222222,88457.2580702048,89374624.0,636.5313386714697,723927.0
40,6_84,2125280.4250000003,88310.474650158,85011217.0,1049.1045453299885,923499.0
41,100_84,4462044.568888889,88453.37428028777,87300872.0,425.9095866006828,979226.0
42,27_49,1788402.8877777776,87830.30674818084,84713821.0,708.6727361181111,1577379.0
43,48_21,1645476.024166667,88387.62200927945,85850923.0,584.6505869949906,861819.0
44,95_18,2654645.9711111113,88181.59380027952,84572792.0,509.8801219101297,1030965.0
45,109_123,5846889.455555555,88571.98388518738,90727595.0,989.2802073760395,837548.0
46,9_76,2065812.6819444443,88251.26157658859,87493243.0,741.5451937941398,970808.0
47,42_87,3142939.9825,87954.5584867757,87709953.0,554.5928753488697,904176.0
48,116_101,5286973.412777778,88487.36931304613,87710158.0,549.816992665219,489625.0
49,112_27,3398211.9597222223,88220.41215400668,88011245.0,804.5615859859245,790444.0
50,52_99,3627466.2469444443,88000.39013703697,86482639.0,570.4550893563573,715849.0
51,2_86,2128697.2666666666,88441.12121179476,87083070.0,1069.1984968968754,949064.0
52,115_44,3771676.4091666667,87674.67273587051,85396447.0,491.7368961621687,1418578.0
53,36_110,3561713.8,89153.63451448822,87823080.0,743.2536635972501,626975.0
54,53_88,3403121.049166667,88336.96180966646,86888197.0,750.5057521341369,527634.0
55,4_21,611298.2083333334,88203.22680477375,88026942.0,299.65431077095855,760162.0
56,115_112,5676162.24,87992.3335447691,90018432.0,1042.6884769254975,930398.0
57,13_60,1725112.2344444443,88267.22671529908,85074028.0,734.040324847083,774402.0
