# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
1,7_11_1_5_3,Clerk_1,7,0.27370015265772546,25
1,7_11_1_5_3,Credit_Officer_1,11,0.9950510226405527,50
1,7_11_1_5_3,Clerk_2,1,0.29055873486113,25
1,7_11_1_5_3,Credit_Officer_2,5,0.8374961422536129,50
1,7_11_1_5_3,System,3,0.0001897153330137365,0
2,2_4_6_7_9,Clerk_1,2,0.2675324503493353,25
2,2_4_6_7_9,Credit_Officer_1,4,0.9934968408285176,50
2,2_4_6_7_9,Clerk_2,6,0.2828616127803703,25
2,2_4_6_7_9,Credit_Officer_2,7,0.8246240424842094,50
2,2_4_6_7_9,System,9,0.00020060277255055557,0
3,7_11_4_13_1,Clerk_1,7,0.2860480078063866,25
3,7_11_4_13_1,Credit_Officer_1,11,0.9940370866189183,50
3,7_11_4_13_1,Clerk_2,4,0.3031234605568703,25
3,7_11_4_13_1,Credit_Officer_2,13,0.840101269016113,50
3,7_11_4_13_1,System,1,0.00022470642872323682,0
4,10_7_9_3_4,Clerk_1,10,0.2688432519739842,25
4,10_7_9_3_4,Credit_Officer_1,7,0.9987935499151734,50
4,10_7_9_3_4,Clerk_2,9,0.2827233962238773,25
4,10_7_9_3_4,Credit_Officer_2,3,0.8139412132357784,50
4,10_7_9_3_4,System,4,0.00020566388287923933,0
5,12_15_5_11_13,Clerk_1,12,0.2764997904019068,25
5,12_15_5_11_13,Credit_Officer_1,15,0.9950716936303252,50
5,12_15_5_11_13,Clerk_2,5,0.29881290319524273,25
5,12_15_5_11_13,Credit_Officer_2,11,0.8305247560633019,50
5,12_15_5_11_13,System,13,0.00019703179312700943,0
6,14_2_2_3_13,Clerk_1,14,0.27770192080249984,25
6,14_2_2_3_13,Credit_Officer_1,2,0.9989119422287553,50
6,14_2_2_3_13,Clerk_2,2,0.3009263918898633,25
6,14_2_2_3_13,Credit_Officer_2,3,0.8434803407707808,50
6,14_2_2_3_13,System,13,0.00019602520906716387,0
7,2_7_14_8_11,Clerk_1,2,0.27160552779062613,25
7,2_7_14_8_11,Credit_Officer_1,7,0.9961395498191482,50
7,2_7_14_8_11,Clerk_2,14,0.2841805187093607,25
7,2_7_14_8_11,Credit_Officer_2,8,0.8294781295975007,50
7,2_7_14_8_11,System,11,0.00020152927815996816,0
8,5_11_13_1_12,Clerk_1,5,0.2766780753391893,25
8,5_11_13_1_12,Credit_Officer_1,11,0.9950338490701869,50
8,5_11_13_1_12,Clerk_2,13,0.2878348689572271,25
8,5_11_13_1_12,Credit_Officer_2,1,0.8469025651071822,50
8,5_11_13_1_12,System,12,0.00019126679691395588,0
9,15_11_5_12_2,Clerk_1,15,0.27842155096656335,25
9,15_11_5_12_2,Credit_Officer_1,11,0.995270294704944,50
9,15_11_5_12_2,Clerk_2,5,0.2960786487560441,25
9,15_11_5_12_2,Credit_Officer_2,12,0.8388660913852216,50
9,15_11_5_12_2,System,2,0.00021738864227849078,0
10,7_14_5_5_3,Clerk_1,7,0.2854075142746209,25
10,7_14_5_5_3,Credit_Officer_1,14,0.993914640502964,50
10,7_14_5_5_3,Clerk_2,5,0.2971608978447041,25
10,7_14_5_5_3,Credit_Officer_2,5,0.8662129138998705,50
10,7_14_5_5_3,System,3,0.000197652885595931,0
11,1_11_4_5_8,Clerk_1,1,0.27570395962497446,25
11,1_11_4_5_8,Credit_Officer_1,11,0.994291343377526,50
11,1_11_4_5_8,Clerk_2,4,0.2888908532262999,25
11,1_11_4_5_8,Credit_Officer_2,5,0.8387328891178303,50
11,1_11_4_5_8,System,8,0.00019860495505832375,0
12,2_9_3_9_11,Clerk_1,2,0.2762680519706067,25
12,2_9_3_9_11,Credit_Officer_1,9,0.9974009491609781,50
12,2_9_3_9_11,Clerk_2,3,0.297550733576894,25
12,2_9_3_9_11,Credit_Officer_2,9,0.852742902358556,50
12,2_9_3_9_11,System,11,0.00020622603491674278,0
13,2_7_11_7_2,Clerk_1,2,0.2740353437961526,25
13,2_7_11_7_2,Credit_Officer_1,7,0.9974084785228831,50
13,2_7_11_7_2,Clerk_2,11,0.2998712715291592,25
13,2_7_11_7_2,Credit_Officer_2,7,0.8239143828182368,50
13,2_7_11_7_2,System,2,0.00020888504359896086,0
14,9_10_8_14_9,Clerk_1,9,0.28301613854864627,25
14,9_10_8_14_9,Credit_Officer_1,10,0.9976180241983665,50
14,9_10_8_14_9,Clerk_2,8,0.2977040163131997,25
14,9_10_8_14_9,Credit_Officer_2,14,0.8690729692124974,50
14,9_10_8_14_9,System,9,0.0001877984999586183,0
15,14_3_3_12_7,Clerk_1,14,0.272250908518985,25
15,14_3_3_12_7,Credit_Officer_1,3,0.9982892870759859,50
15,14_3_3_12_7,Clerk_2,3,0.2968096900760313,25
15,14_3_3_12_7,Credit_Officer_2,12,0.8251155800524729,50
15,14_3_3_12_7,System,7,0.0001952577168718931,0
16,3_14_6_12_11,Clerk_1,3,0.2802647457419502,25
16,3_14_6_12_11,Credit_Officer_1,14,0.9978278754601103,50
16,3_14_6_12_11,Clerk_2,6,0.299027634691519,25
16,3_14_6_12_11,Credit_Officer_2,12,0.8603190648663748,50
16,3_14_6_12_11,System,11,0.00018509020670321415,0
17,13_10_12_6_5,Clerk_1,13,0.2754808149503615,25
17,13_10_12_6_5,Credit_Officer_1,10,0.9965778362370754,50
17,13_10_12_6_5,Clerk_2,12,0.28903826105419633,25
17,13_10_12_6_5,Credit_Officer_2,6,0.8240096980243669,50
17,13_10_12_6_5,System,5,0.00021539039245028352,0
18,14_7_15_10_10,Clerk_1,14,0.2723170320171892,25
18,14_7_15_10_10,Credit_Officer_1,7,0.9954023613957668,50
18,14_7_15_10_10,Clerk_2,15,0.2915246980943071,25
18,14_7_15_10_10,Credit_Officer_2,10,0.838203244952964,50
18,14_7_15_10_10,System,10,0.00019647460497842088,0
19,3_14_7_9_7,Clerk_1,3,0.2770429282225986,25
19,3_14_7_9_7,Credit_Officer_1,14,0.997975805574953,50
19,3_14_7_9_7,Clerk_2,7,0.2963696494904676,25
19,3_14_7_9_7,Credit_Officer_2,9,0.8342645103275202,50
19,3_14_7_9_7,System,7,0.00021872094600998795,0
20,4_14_9_1_10,Clerk_1,4,0.2681928554897203,25
20,4_14_9_1_10,Credit_Officer_1,14,0.9939845532835069,50
20,4_14_9_1_10,Clerk_2,9,0.280081178340725,25
20,4_14_9_1_10,Credit_Officer_2,1,0.8185696547504979,50
20,4_14_9_1_10,System,10,0.00019332073598094584,0
21,6_8_13_6_14,Clerk_1,6,0.275969894302383,25
21,6_8_13_6_14,Credit_Officer_1,8,0.9973078974271219,50
21,6_8_13_6_14,Clerk_2,13,0.2945464262833708,25
21,6_8_13_6_14,Credit_Officer_2,6,0.82781556359569,50
21,6_8_13_6_14,System,14,0.0002070546827990752,0
22,10_1_14_11_15,Clerk_1,10,0.27652884833467506,25
22,10_1_14_11_15,Credit_Officer_1,1,0.9938261646748726,50
22,10_1_14_11_15,Clerk_2,14,0.29210009532931563,25
22,10_1_14_11_15,Credit_Officer_2,11,0.8356200383476583,50
22,10_1_14_11_15,System,15,0.00017346829522500804,0
23,3_3_14_11_2,Clerk_1,3,0.2762264279118055,25
23,3_3_14_11_2,Credit_Officer_1,3,0.9988708634261123,50
23,3_3_14_11_2,Clerk_2,14,0.28896892410838815,25
23,3_3_14_11_2,Credit_Officer_2,11,0.821111483399708,50
23,3_3_14_11_2,System,2,0.00020481540893583947,0
24,12_12_14_11_3,Clerk_1,12,0.2720126513319634,25
24,12_12_14_11_3,Credit_Officer_1,12,0.9967748680386864,50
24,12_12_14_11_3,Clerk_2,14,0.2828175409068332,25
24,12_12_14_11_3,Credit_Officer_2,11,0.8335781657630769,50
24,12_12_14_11_3,System,3,0.0002132167715223707,0
25,1_1_1_4_13,Clerk_1,1,0.2888190508568591,25
25,1_1_1_4_13,Credit_Officer_1,1,0.9944364928515322,50
25,1_1_1_4_13,Clerk_2,1,0.30683649097168436,25
25,1_1_1_4_13,Credit_Officer_2,4,0.8658060853014478,50
25,1_1_1_4_13,System,13,0.00021336686463427362,0
26,9_9_13_3_5,Clerk_1,9,0.27287410000012496,25
26,9_9_13_3_5,Credit_Officer_1,9,0.9965080632705219,50
26,9_9_13_3_5,Clerk_2,13,0.29799551487161596,25
26,9_9_13_3_5,Credit_Officer_2,3,0.8317170192541419,50
26,9_9_13_3_5,System,5,0.00020068162633859484,0
27,9_15_9_1_12,Clerk_1,9,0.27950829180906556,25
27,9_15_9_1_12,Credit_Officer_1,15,0.9990994665869295,50
27,9_15_9_1_12,Clerk_2,9,0.2871112921576669,25
27,9_15_9_1_12,Credit_Officer_2,1,0.8380256408451227,50
27,9_15_9_1_12,System,12,0.00019732327435561647,0
28,4_12_6_13_11,Clerk_1,4,0.28604210175818406,25
28,4_12_6_13_11,Credit_Officer_1,12,0.9960407993473187,50
28,4_12_6_13_11,Clerk_2,6,0.3033135603474036,25
28,4_12_6_13_11,Credit_Officer_2,13,0.8615918125504161,50
28,4_12_6_13_11,System,11,0.0001774188014825318,0
29,9_3_2_3_2,Clerk_1,9,0.27123279980119114,25
29,9_3_2_3_2,Credit_Officer_1,3,0.996212882920957,50
29,9_3_2_3_2,Clerk_2,2,0.29274888023145557,25
29,9_3_2_3_2,Credit_Officer_2,3,0.8199677995361372,50
29,9_3_2_3_2,System,2,0.00020969547177067925,0
30,3_4_11_9_1,Clerk_1,3,0.2756745288511149,25
30,3_4_11_9_1,Credit_Officer_1,4,0.9989896820788452,50
30,3_4_11_9_1,Clerk_2,11,0.2909444345625443,25
30,3_4_11_9_1,Credit_Officer_2,9,0.8382216699150495,50
30,3_4_11_9_1,System,1,0.00020974771199734794,0
31,2_15_9_4_5,Clerk_1,2,0.2757801936317438,25
31,2_15_9_4_5,Credit_Officer_1,15,0.993396957497113,50
31,2_15_9_4_5,Clerk_2,9,0.3016528215178464,25
