# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,7_11_1_5_3,6819845.979438334,5031198.674662904,24551445.525978,265181.1214130176,344803.76999200135
2,2_4_6_7_9,5221483.407015,5308600.128572818,25063120.353672,405850.55557964277,423476.9428640008
3,7_11_4_13_1,9877759.583296243,4931437.556936267,24108430.169401,211167.69730262924,88872.4344419986
4,10_7_9_3_4,6813961.181078188,5262513.083986821,25159241.283981,372529.35147678666,421530.7909730002
5,12_15_5_11_13,11800266.361184562,5032473.400624389,24626642.840733,265133.10834460985,349485.6479640007
6,14_2_2_3_13,4369775.640387083,5065761.230732832,24201834.31599,328652.84452965576,343978.3407079987
7,2_7_14_8_11,7923700.106830041,4973569.307909557,24804626.421381,229423.70002103318,427415.7869959995
8,5_11_13_1_12,7058466.324235376,4810413.97034844,24200455.968807,199681.4516490698,350156.72753500193
9,15_11_5_12_2,11051728.577331752,4923728.344836587,24112862.350542,251434.85412577353,250128.70926100016
10,7_14_5_5_3,8192580.900387847,4789475.522516903,23594632.993117,396835.08532945067,333788.0761479996
11,1_11_4_5_8,6305806.002254367,5072308.311514103,24541515.252017,372502.0426389612,352144.33540700004
12,2_9_3_9_11,6839496.801683,4982337.931124373,24021647.303472,222386.17214641627,354540.24955900013
13,2_7_11_7_2,6990348.320410027,5339556.568573262,24551467.271684,197000.73795079626,345659.7300300002
14,9_10_8_14_9,10807093.920224514,4628109.829583075,23941869.607882,150390.75598580018,699976.5652659982
15,14_3_3_12_7,8096853.353139945,5183166.037113828,24807380.486216,260466.12251725234,267177.6333220005
16,3_14_6_12_11,10181006.883544676,5008929.200302854,24033852.315253,276182.41864647996,434425.97057799995
17,13_10_12_6_5,9684271.021272438,5083119.779853453,24465526.790583,331201.84318133816,444635.9151499979
18,14_7_15_10_10,10737338.149407625,5180935.768749256,24542487.198646,315323.869120962,608380.983523
19,3_14_7_9_7,9511378.980133723,4975172.904118296,24457831.663201,490846.7788827736,519981.26581700146
20,4_14_9_1_10,7483527.00089416,5208318.53775568,25061113.677413,315207.0767372763,343335.18085999787
21,6_8_13_6_14,8012277.105338353,4991855.115989533,24548253.258909,199516.57860501762,345249.7453100011
22,10_1_14_11_15,8210543.292590001,5164239.2966281995,24631629.87777,228885.05380298756,434720.6303640008
23,3_3_14_11_2,7751842.481081875,5202080.803582464,24805895.939462,396663.68975324836,516815.449667003
24,12_12_14_11_3,12314863.186486,5180517.857593193,24629726.372972,215694.07221366186,266051.8070380017
25,1_1_1_4_13,1952569.2508015833,4949752.276470057,23430831.009619,141495.77812690008,255019.10169399902
26,9_9_13_3_5,7839547.984843501,5020482.476255392,24541193.691684,286698.31397765037,258729.40819999948
27,9_15_9_1_12,8524365.680088196,5099441.081895441,24550173.158654,246065.47075543273,595254.4162949994
28,4_12_6_13_11,10009293.112587916,4961991.728867868,24022303.470211,283857.51157871634,431546.06549699977
29,9_3_2_3_2,3935664.32139693,5037757.672364352,24640680.968746,296918.29700426105,438796.87021299824
