Total Solutions Generated,1187
Total Iterations,102

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_13_10_4_3_2_2,1401184.725,197462.84289663966,93412315.0,5554.34927773691,2413117.0
1,20_13_10_4_3_2_3,1295154.2083333335,200083.27417964762,84773730.0,3981.4688315014355,2345447.0
2,20_13_10_4_3_2_4,1274470.4622222222,197059.19517813032,81930244.0,4433.653293485637,2494564.0
3,20_13_10_7_3_2_2,1411846.7433333334,196228.18499979321,89169268.0,3973.4936116730096,3559839.0
4,20_13_10_8_3_2_2,1453485.6066666667,194981.3155358479,90216348.0,2478.988549848902,3457625.0
5,20_13_10_4_5_2_2,1438197.4911111111,195792.99911195843,92455553.0,5254.31530872258,2417969.0
6,20_13_10_4_6_2_2,1429914.9041666668,194864.40766328378,90310415.0,4444.409821052541,2912278.0
7,20_25_10_4_3_2_2,1684046.1366666667,196998.16301455325,91857062.0,4878.223908951506,3611680.0
8,20_26_10_4_3_2_2,1599974.2188888888,199375.39226971107,85968764.0,5765.6884180186025,1537599.0
9,20_13_10_4_3_3_2,1333317.6236111112,201052.6499702757,87271699.0,7661.78496630062,958915.0
10,20_13_10_4_3_4_2,1376257.0733333335,201129.11240097912,88473669.0,6256.4757365946425,2357111.0
11,20_13_19_4_3_2_2,1575589.9425,200335.09520355356,90033711.0,6704.198504013126,3104104.0
12,20_13_20_4_3_2_2,1600610.0622222223,199416.4464355807,90034316.0,5620.182307722338,3371898.0
13,1_13_10_4_3_2_2,872122.7666666667,204119.018670024,89704056.0,2121.658777722012,2504242.0
14,20_13_1_4_3_2_2,1113744.7,205158.86133897436,89099576.0,6229.834789159533,1386788.0
15,20_13_10_4_3_1_2,1286177.3086111112,197948.77698613168,87362987.0,2587.3854911466187,2600090.0
16,20_1_10_4_3_2_2,1030335.2733333334,224253.19431899028,88314452.0,12087.88396681266,1723093.0
17,20_13_10_4_1_2_2,1288260.48,199907.69550485263,89187264.0,4415.986080250295,2617778.0
18,20_13_10_1_3_2_2,1292663.4675,236323.66377506385,91246833.0,11790.93892947628,1899791.0
19,20_13_10_4_3_2_1,1232569.1041666667,206721.99970931097,83721675.0,4991.937523971021,3116804.0
20,19_13_10_4_3_2_3,1290981.36,196371.73681868555,86065424.0,4630.725093936053,1744325.0
21,20_13_9_4_3_2_3,1271470.155,196895.97781055537,84764677.0,5728.783260587341,2427811.0
22,20_13_10_4_3_1_3,1300033.1400000001,194458.36758451548,86668876.0,7086.759226832393,4492779.0
23,20_12_10_4_3_2_3,1372513.485,198828.7778123509,91500899.0,3343.12478550346,2082240.0
24,20_13_10_4_2_2_3,1325962.05,200203.34624727638,88397470.0,3795.0534846266964,2050721.0
25,20_13_10_3_3_2_3,1373822.5650000002,198210.88856218813,91588171.0,3389.1167196386377,2011067.0
26,17_13_10_7_3_2_2,1279529.625,198214.47206939524,85301975.0,7824.941214635153,1794249.0
27,20_13_7_7_3_2_2,1319575.5150000001,197093.2204574351,87971701.0,1765.10924755226,2437532.0
28,20_13_10_5_3_1_2,1356040.185,198331.9596141104,90402679.0,3613.5447129917156,3353334.0
29,20_10_10_7_3_2_2,1291192.86,199363.97393503797,86079524.0,4317.651002192491,2849004.0
30,20_13_10_6_1_2_2,1337874.6,198268.54839873704,89191640.0,4925.840473482822,1908845.0
31,20_13_10_5_3_2_1,1236731.0550000002,210166.03562512787,82448737.0,7488.725493222155,1116401.0
32,18_13_10_4_5_2_2,1337581.08,198504.52034309256,89172072.0,3690.2377417191747,2435400.0
33,20_13_8_4_5_2_2,1345452.8550000002,196966.1241426173,89696857.0,7409.392886871414,2585681.0
34,20_13_10_4_4_1_2,1298653.4700000002,198589.3009964947,86576898.0,4769.631558195484,1561642.0
35,20_11_10_4_5_2_2,1198929.4200000002,196102.11254506416,79928628.0,5638.672845747264,3891654.0
36,20_13_10_2_5_2_2,1410365.5650000002,203089.78264303034,94024371.0,3874.2697535766347,2771241.0
37,20_13_10_4_4_2_1,1408977.7200000002,206165.3064513835,93931848.0,11055.793106417666,1113321.0
38,8_25_10_4_3_2_2,1225116.8250000002,199446.0427042818,81674455.0,4111.914662525873,2868049.0
39,20_22_1_4_3_2_2,1299926.1,203362.80599391938,86661740.0,4991.341087320936,1104692.0
40,20_14_10_4_3_1_2,1298962.5,200836.4073717906,86597500.0,3185.0785907025856,3450219.0
41,20_15_10_4_1_2_2,1342843.9500000002,200313.71754271898,89522930.0,3562.0020192211377,1121563.0
42,20_16_10_1_3_2_2,1254901.3050000002,239140.06079465823,83660087.0,10898.194171207608,1723806.0
43,20_14_10_4_3_2_1,1160001.1800000002,202796.3896904499,77333412.0,7783.939500606706,2506659.0
44,19_13_10_4_3_3_2,1274360.415,194855.48424045692,84957361.0,4465.001549818728,1716329.0
45,20_13_9_4_3_3_2,1332687.81,201926.09174385504,88845854.0,3616.8479744551296,1715920.0
46,20_12_10_4_3_3_2,1262705.685,198809.28103347475,84180379.0,5133.854387686908,2498151.0
47,20_13_10_4_2_3_2,1353311.475,198504.43454371972,90220765.0,2425.6256967514346,1807996.0
48,20_13_10_3_3_3_2,1351852.125,198589.60222636527,90123475.0,3419.3605483011925,1908482.0
49,20_13_10_4_3_3_1,1372512.03,201563.35546678802,91500802.0,5412.956231327058,2863684.0
50,11_13_19_4_3_2_2,1191167.925,197014.76823582477,79411195.0,1961.2850520822976,3386945.0
