# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,23_39_1_17_8_5_11,2556575.435555555,203069.2562298454,88496842.0,5641.585378087213,1818762.0
2,19_22_30_23_38_12_48,4719017.066666667,202069.1694153985,88481570.0,5357.921449563291,1916847.0
3,2_37_23_31_8_11_44,3770438.4033333333,197595.33838305387,87010117.0,2424.996188087476,1981415.0
4,53_17_38_48_49_5_3,5506783.9625,201285.2162356767,93072405.0,5169.4883843326825,3810314.0
5,10_48_6_23_52_29_38,4910332.6188888885,196715.59231745286,85811638.0,4818.330332829733,1801931.0
6,18_38_46_1_41_54_41,5656202.414444444,236754.05386267576,85198028.0,8797.940860583563,2345272.0
7,16_43_6_25_50_16_16,4450779.07,196628.83746822746,93155841.0,3256.2064604225743,2083063.0
8,8_2_37_12_15_27_3,2621474.5555555555,200204.45508723086,90743350.0,5828.13462745538,3012674.0
9,32_8_32_38_6_23_38,4461675.7275,200762.61608510104,90745947.0,4412.899317123258,2061949.0
10,23_3_29_36_28_52_32,5164721.770833334,198274.94737777667,91591125.0,2206.612882602436,2239706.0
11,49_8_8_44_22_9_51,4327794.881388889,197829.26181122346,81571003.0,4112.579974106018,4668092.0
12,19_41_40_48_34_41_19,6058697.547222222,199623.37993579693,90129385.0,4135.090580890421,1296566.0
13,15_49_24_53_36_34_7,5305973.879444445,195441.17183139152,87621587.0,6358.033178170386,1568755.0
14,52_25_32_23_13_49_31,5336823.375,199854.98566449902,85389174.0,5875.839782327297,1802785.0
15,1_34_18_29_48_20_50,4848282.611111111,199382.12484951454,87269087.0,7471.410146741022,1230447.0
16,34_1_51_38_54_10_8,4591197.1,233619.58893932082,84328110.0,10297.962383593229,3035899.0
17,51_38_4_41_41_50_39,6761099.913333333,202068.4512196775,92196817.0,5980.252824607771,3198293.0
18,7_2_2_2_14_47_30,2584141.097777778,197461.34582864502,89451038.0,6987.793208400981,3282377.0
19,30_46_7_16_32_53_31,5022117.931944444,198606.7846152609,84091277.0,3982.3928973054863,1892723.0
20,2_44_13_44_21_47_41,5128744.868888889,196999.56470975702,87091894.0,3689.6322188269114,2243471.0
21,31_8_4_7_3_6_13,1861314.2,197681.55641283598,93065710.0,6152.297496118117,2925622.0
22,39_31_1_4_53_31_11,4117223.7666666666,205235.16056602,87188268.0,6776.483688297274,2586987.0
23,14_41_11_32_53_46_13,5096178.091666667,195607.9630098126,87363053.0,3088.2032481813512,2504314.0
24,27_34_45_9_2_4_27,3492399.7833333327,198769.04161538038,84950265.0,5951.219691801933,2412151.0
25,33_31_18_54_32_21_30,5498873.798333334,196965.81596525887,90392446.0,3939.3829870267364,3025446.0
26,41_37_15_4_20_35_12,4113178.4933333336,198262.2611877203,90289284.0,5524.010469186091,2242287.0
27,41_4_15_44_11_35_29,4396218.271388889,198389.7257252884,88415563.0,2054.4558784757974,3381978.0
28,50_15_4_40_42_50_51,5721933.489999999,201305.48296886444,81741907.0,4507.142833169142,2740373.0
29,1_13_34_52_52_31_50,5475272.048333332,200108.34534273538,84596478.0,3668.834568386519,2157436.0
30,35_22_27_33_30_51_50,5970383.688888889,200390.09637704503,86666860.0,4414.26133856253,3049654.0
31,22_53_10_7_8_28_2,3298473.894444444,200659.6372352392,91342354.0,2473.744122460106,1301707.0
32,52_45_1_10_18_8_44,4165525.097222222,200816.8424863165,84246575.0,7665.21516299856,2396551.0
33,19_51_32_48_46_49_25,6583783.200000001,200664.25472958563,87783776.0,4305.944425517868,1408199.0
34,30_44_16_27_33_1_33,4336710.720000001,196867.35748111943,84848688.0,4249.940428059315,2414910.0
35,24_44_18_49_32_10_43,5228522.077777778,198140.91082940536,85557634.0,4843.6679418117565,1705086.0
36,34_3_23_37_50_1_53,4911394.074166667,199602.62605289198,87965267.0,4068.141301654483,3097502.0
37,21_53_33_45_32_34_16,5464372.03,198580.17203679518,84067262.0,5139.826874725608,2085550.0
38,32_41_47_41_38_47_18,6215974.6,194117.5908348582,84763290.0,2859.627327533177,2151307.0
39,37_25_21_23_22_18_34,4173312.0999999996,197607.52428957896,83466242.0,6428.363896649971,1214858.0
40,24_53_37_11_24_19_44,5073805.716666667,199742.56423335508,86158965.0,6277.061215932568,1833441.0
41,31_4_4_38_3_6_13,2202647.3975,197940.94262703462,80096269.0,3878.069586730009,1228619.0
42,8_2_37_12_15_29_3,2430144.0455555553,195733.3767634305,82533194.0,2849.7970837740577,3431546.0
43,2_44_14_2_24_47_41,4130390.491666667,200430.41586622281,85456355.0,2678.5595222672564,2334373.0
44,49_25_21_23_22_18_50,4723373.142222222,201889.8791450093,81750689.0,4005.3252687501954,2074725.0
45,2_4_23_30_8_34_29,3105181.1194444443,195112.69340709643,85989631.0,7011.283820969402,2593458.0
46,10_48_6_23_53_29_18,4282242.4975,199820.6197706682,82438893.0,4407.579045484308,3448306.0
47,18_38_46_26_41_54_41,6653305.633333334,196636.32045909663,90726895.0,6500.814674452442,1895153.0
48,39_1_47_5_53_9_8,3643095.1500000004,230600.76828123786,80957670.0,6399.987033602985,2951057.0
49,16_44_18_49_32_10_43,4992783.792222222,193645.18786886692,84783121.0,5048.740119540918,2167050.0
50,52_25_45_25_13_50_31,5726545.800833333,196469.73660270908,85541763.0,4863.322000161512,1038136.0
51,23_39_1_17_4_5_11,2416863.083333333,202306.16414382675,87007071.0,4116.648469498381,2945450.0
52,1_13_34_52_52_29_39,5318414.444444444,199610.48462889585,87028600.0,2493.4743551254214,2414995.0
53,52_25_32_23_13_50_26,5289300.983055555,198154.17722241316,86160559.0,3052.9883004101866,2843683.0
54,23_3_28_36_22_52_32,5109247.204444445,197688.3908357382,93843316.0,4119.839346896944,2078264.0
55,7_1_2_1_14_49_30,2538936.631111111,267621.96627456706,87886268.0,10212.33480901894,1148284.0
56,35_22_27_32_31_2_50,4928905.408888889,202292.25587788929,89166128.0,4545.254315518454,1908783.0
57,35_44_18_9_18_21_44,4396787.430000001,197082.55954560454,83748332.0,3844.256570834259,3098039.0
58,8_53_10_7_10_32_2,3016290.2477777773,197017.13460682522,89005286.0,3595.25234551428,2589683.0
59,32_8_32_38_5_23_43,4418902.676944445,195677.17776895652,87889777.0,4307.00210581001,2523606.0
60,49_8_8_44_2_9_28,3633990.848888889,195437.81430219996,88394372.0,5722.149362050375,1305625.0
61,34_8_23_9_50_1_53,4482011.371666667,194550.52589173318,90647421.0,5289.721729373501,1991579.0
62,24_54_37_11_24_19_44,5363902.793333333,198147.63235939242,90657512.0,3612.10716764495,2153662.0
63,7_2_2_44_12_47_30,3615596.72,197073.49767879443,90389918.0,6362.178718023293,2591881.0
64,37_8_8_44_22_9_35,4186553.6683333335,198209.10468885856,92463762.0,4002.583051302645,1973683.0
65,41_37_15_45_11_12_44,4729554.886111111,201525.34071966994,83055598.0,4754.801589434792,1804796.0
66,41_37_15_4_19_35_38,4885705.3875,197503.75384757476,93061055.0,3943.4773154939176,4247926.0
67,30_44_16_2_33_1_33,3873857.2291666674,201907.80581990155,87709975.0,4113.676214454375,2270101.0
68,34_31_5_38_54_31_11,4798381.069999999,197536.81605957335,84677313.0,9366.186620930326,945742.0
69,24_43_6_25_50_17_16,4592115.2525,197600.98248190273,91334889.0,4070.5781419897103,2699701.0
70,27_34_31_9_2_5_27,3311871.4874999993,202902.4654247245,88316573.0,3138.548334615887,2501736.0
71,10_48_6_23_50_31_50,5232698.387222222,203976.23191345518,86411533.0,1886.1305290451855,1720765.0
72,37_25_21_23_29_18_34,4600535.145555555,200172.28296923812,88566452.0,5623.291853838426,2347187.0
73,34_3_23_37_51_51_53,6242095.510000001,196721.48896411463,89172793.0,5632.537115845684,1797359.0
74,50_32_1_54_32_8_30,5023184.244999999,202939.2322015472,87359726.0,4087.2845430057787,2067524.0
75,22_2_37_12_15_27_3,2872096.7277777772,198904.99543931268,87623290.0,3982.891765758337,2500465.0
76,24_44_18_49_32_10_38,5104403.149999999,200535.73949939728,85469076.0,4882.438629262644,2232058.0
77,27_34_45_9_19_4_50,4368173.158888889,197358.2532981478,83645869.0,2861.221458831249,1918232.0
78,8_39_37_12_7_27_11,3297074.1266666665,198052.27610455905,84180616.0,5830.35122006631,1818776.0
79,22_53_10_7_7_28_2,3105524.213333333,198969.40654112556,86665792.0,5180.7700467343675,2059375.0
80,23_2_1_17_16_5_3,1716265.0952777776,203326.2977917515,92217229.0,3374.674455974746,1795484.0
81,8_39_37_12_15_29_11,3403806.5569444443,197338.21146508737,81150355.0,1877.2457531924592,3622017.0
82,49_2_2_44_2_47_28,3985078.21,199179.964799379,82449894.0,4589.676348293928,3643398.0
83,23_2_40_17_16_5_3,2600494.083888889,201214.715141514,88318667.0,3165.931558240991,1477692.0
84,14_8_24_53_3_34_7,3463630.0111111104,195786.746660549,87196280.0,4025.2065537305316,1571808.0
85,22_3_10_7_51_28_53,4439932.335,200110.80506105986,91860669.0,5634.842931418418,1479464.0
86,16_44_11_48_33_1_43,4517274.556666667,194676.50215785112,82970349.0,9840.413464181649,2510536.0
87,22_53_10_7_7_48_1,3687253.9522222225,205119.50096142205,89689961.0,8957.2528367489,2679034.0
88,32_39_1_41_7_5_11,3176604.322222222,202975.17459490083,84086585.0,3972.131747903826,2081267.0
89,18_38_46_27_41_54_42,6295423.40388889,203510.23101606977,85201219.0,7259.497243174643,873456.0
90,23_2_1_17_16_10_1,1789751.5611111112,209359.15025559123,92044366.0,4478.412386317679,1645116.0
91,34_4_5_7_53_49_53,5137009.127777778,197039.34328162886,90210892.0,2780.9110444688995,1975586.0
92,32_8_32_12_15_27_3,3109295.456666667,201972.24872769052,86771036.0,4857.659644025029,1557902.0
93,34_44_6_25_51_21_16,4610206.203055556,197265.83058933518,84247423.0,9040.122240160155,1127240.0
94,23_39_1_17_6_48_11,3434835.7624999997,202994.90958103613,85278681.0,4598.176533276826,955389.0
95,15_44_18_49_32_11_43,5379586.390000001,198759.76845607022,91351467.0,7282.922991373751,2854965.0
96,2_8_14_3_24_2_42,2285224.0500000003,195512.91902173954,86597964.0,6431.205558514164,1990245.0
97,7_2_37_12_7_27_3,2209744.3597222217,200628.57397636716,83737681.0,2169.03465636124,2609719.0
98,32_4_4_38_3_6_13,2292660.138888889,203719.4327097598,82535765.0,5597.456204057613,2570813.0
99,7_4_8_2_14_13_33,1814315.6925,196376.69036918425,80636253.0,7894.710122130986,2162324.0
100,8_2_1_12_15_30_3,1734845.2794444442,202844.16229619112,87963986.0,3965.7332754802483,1720851.0
101,32_49_4_7_36_6_13,3518393.9583333335,193892.20152883444,86164750.0,4702.50702332065,2938614.0
102,34_53_20_37_8_51_2,5103123.140277778,196159.09768464218,89615821.0,5288.523469211854,2420038.0
103,34_8_23_10_49_10_53,4367799.360833333,198776.6920970869,84085977.0,3353.758905234339,2685260.0
104,2_44_14_2_24_27_45,3507719.377777778,199759.14966388574,79922720.0,5319.567322328745,3911827.0
105,23_41_47_17_38_47_18,5283438.480833333,192925.9033719674,82339301.0,10954.100762563176,2935339.0
106,49_16_8_43_2_9_27,3981527.9777777777,202912.53894676815,93074680.0,6000.3040343371395,2434531.0
107,31_8_22_37_1_6_13,2824031.066666667,195319.751723283,86156880.0,4154.4766045565775,2418386.0
108,8_2_37_38_5_23_43,4058725.276666667,203366.73103669815,93662891.0,3935.2424255952064,2328020.0
109,17_43_18_9_17_16_44,4082730.7544444446,194071.29207763975,89620919.0,4378.145080628397,2433781.0
110,6_53_10_12_10_32_2,2961157.881944444,200538.92982563886,85281347.0,7205.5917360942985,1810668.0
111,7_1_2_1_14_6_30,1529935.323611111,271661.3881154307,90291265.0,17083.430539523077,4240176.0
112,17_49_24_53_36_33_7,5277025.703333334,199604.19213917688,86745628.0,4668.000835239247,2573491.0
113,34_43_23_9_48_47_53,6175228.7675,204272.30341333605,86501259.0,6059.271320660337,1825687.0
114,6_2_37_12_15_49_3,3041716.624444444,198757.96642581464,88307902.0,4932.227308510017,1468049.0
115,8_44_14_2_25_27_41,4039100.022222222,196597.6183134677,90315280.0,3033.004684329033,1389115.0
116,25_34_31_54_2_6_28,4173779.0999999996,199785.68395706828,83475582.0,6813.6034779119655,2261816.0
117,8_2_23_11_8_29_29,2732519.472222222,197516.86087586012,89427910.0,6751.689314308605,2830419.0
118,8_1_2_1_14_27_30,1928265.1530555554,271501.8922730316,83635597.0,11333.459270423977,3128465.0
119,2_39_35_12_6_47_11,3604926.1555555556,195717.6973437062,85379830.0,5651.461474653159,2699248.0
120,15_49_24_4_36_33_6,3883962.188055555,200306.96397143495,83726131.0,5177.496844411769,1730114.0
121,2_8_37_12_24_2_42,3224811.516666667,196569.65421004337,91411980.0,4324.442505109095,2349295.0
122,9_35_23_11_8_28_29,3610714.5677777785,197665.80620603994,90899108.0,3505.1727860351093,3725544.0
123,31_4_22_38_3_6_14,2603504.537777778,199092.92338694487,79428952.0,4119.591958268342,1482723.0
124,17_43_18_53_37_34_7,4876073.222777777,200647.52204153885,83989778.0,5477.578861869028,2426447.0
125,21_39_37_17_16_27_3,4005370.488888889,199086.73592634028,90120836.0,5880.819251418114,1558485.0
126,31_5_4_7_3_6_1,1358559.7866666669,207602.29084374776,85803776.0,6103.258760942961,1815126.0
127,7_1_2_1_6_6_30,1352230.5755555558,273172.1371691114,91849624.0,9960.722845432581,1039116.0
128,7_2_37_23_15_27_3,2859365.131666667,202392.0060369422,90295741.0,3387.1838425207243,1039517.0
129,32_41_47_17_38_47_26,6001421.164444445,197393.46265155316,87117404.0,9707.891926871205,2597157.0
130,8_1_2_1_32_27_30,2630307.734166667,265746.3916732788,93753543.0,13284.81925622595,2154859.0
131,32_3_36_12_15_6_3,2588922.4233333333,198647.30260335444,87103932.0,5189.036759499635,772352.0
132,14_1_2_1_12_6_30,1502061.99,273013.1246408077,81930654.0,4607.832968381932,2683460.0
133,9_2_39_7_15_6_10,2283495.8911111113,199465.4151381163,93415741.0,6808.049577948812,2156934.0
134,2_11_14_6_37_2_44,3046529.2344444445,196337.003469882,94547459.0,6126.341787149257,2494430.0
135,8_38_36_11_8_29_29,3820340.920833333,195662.99380871383,86498285.0,3535.1176427741593,3536601.0
136,1_38_23_31_8_11_44,3886829.006666667,202206.83741852414,89696054.0,6425.138237412175,1640277.0
137,23_38_1_12_15_10_1,2487158.25,215025.79259406956,89537697.0,6665.228966844297,2778314.0
138,7_2_14_5_7_27_3,1583485.0597222222,200324.60062755758,87700711.0,6259.284571648081,2398065.0
139,8_1_37_10_15_29_3,2527157.6730555557,231554.93305586468,88327841.0,6455.996581084502,761851.0
140,1_5_23_31_8_11_44,3067624.0316666663,197785.6140354655,89784118.0,5327.39424266381,1391128.0
141,31_8_4_37_8_6_13,2534723.9511111113,198177.46174466825,85280432.0,7068.856163269404,2337045.0
142,15_49_24_9_16_16_44,3982359.3236111114,198436.24273213733,82869905.0,3589.2813135190518,1455515.0
143,22_2_47_12_37_47_18,4441454.151388889,201040.8240368028,86428297.0,5010.930526895507,2078919.0
144,23_2_7_17_16_10_13,2171760.922222222,193741.09134256796,88844765.0,2428.0509804482863,2779895.0
145,2_39_35_12_14_48_11,3815001.4836111115,200043.0344926266,85304381.0,7403.95438977718,1289640.0
146,32_39_52_41_38_47_18,6794449.644166667,199436.7859634083,91610557.0,4847.557878854917,2332856.0
147,9_2_37_13_7_27_3,2258038.0627777777,203247.69098750636,82948337.0,6106.724988562433,1746618.0
148,23_41_47_41_38_47_18,6346807.4125,202171.04677622535,89601987.0,2130.7013619063073,1829568.0
149,16_44_11_48_15_2_34,4296928.924999999,199794.70431312604,90993789.0,2181.527506412589,2755981.0
150,22_49_5_7_39_29_13,3917185.2366666663,197240.82541823172,85986993.0,3798.141339946247,2077581.0
151,16_44_18_49_32_11_43,5231032.979166667,194502.04697801895,88411825.0,3911.4847900355817,1898957.0
152,30_10_2_12_3_29_13,2369340.655,199568.74516844316,86157842.0,3745.4598627749365,3105047.0
153,15_46_21_54_23_34_5,4623732.41,193761.36757523796,84067862.0,2413.086857101269,2749434.0
154,8_2_24_12_7_27_11,2352262.0586111112,201719.08826125404,93056521.0,3895.610990522109,1665003.0
155,23_1_40_17_16_5_3,2740010.175,230140.28940037382,93943206.0,5333.8982346552075,2349625.0
156,8_3_37_17_17_29_11,2952007.566666667,195426.4914187037,87108420.0,6007.967769003328,1125188.0
157,23_44_18_48_32_10_43,5573332.046666667,202227.50458243155,92036676.0,5078.380976637505,2409822.0
158,31_10_22_37_1_6_13,3007641.5,201347.814845122,90229245.0,5735.956169481709,2065848.0
159,16_2_1_18_16_5_3,1537572.913333333,206440.28032642754,90742008.0,6718.9324846445525,2349536.0
160,8_1_2_10_14_27_30,2276902.7866666666,233386.0480373322,89096196.0,7221.529937500076,949427.0
161,2_4_23_9_17_31_43,3130124.9433333334,200707.06532604955,87352324.0,5372.170289437112,2412239.0
162,8_1_37_17_15_29_3,2806325.3166666664,229822.4669514474,91843374.0,7926.342777983053,2503523.0
163,31_5_44_6_3_6_1,2424002.1599999997,204810.05299992344,90900081.0,4906.1970383275475,1812549.0
164,3_4_8_3_14_13_33,1971572.8066666666,199205.67372329495,90995668.0,5475.359573843278,1542789.0
165,7_1_49_1_14_6_30,2664877.9499999997,274804.4527194348,88829265.0,6471.566532230354,962624.0
166,2_2_10_12_25_1_42,2353371.283888889,202197.56657290243,90129113.0,4527.987587664771,2863929.0
167,23_2_1_17_16_10_15,2006057.8766666667,205138.57859923103,85973909.0,5585.8291226183355,1979441.0
168,8_4_37_13_10_23_3,2260356.307222222,199643.55489116538,83033497.0,5115.396230584476,1662117.0
169,8_1_2_1_12_27_30,1952102.2049999998,263407.20831165183,86760098.0,7309.223606074927,1913692.0
170,7_1_2_1_6_9_28,1319368.7249999999,270342.495563928,87957915.0,10839.146915325662,1806929.0
171,32_40_47_17_38_46_18,5552083.106111112,199731.5638785952,83981089.0,6774.640472602827,1807044.0
172,16_45_21_54_23_2_5,4039851.991111111,200410.5234638535,87611248.0,6044.840995138773,2414696.0
173,17_43_23_13_7_16_4,2852276.7249999996,193130.33378921033,83481270.0,5463.379834019463,1888166.0
174,15_38_36_12_15_29_29,4064287.2149999994,195734.81371401873,84088701.0,4221.081814495003,1729592.0
175,23_42_47_17_16_44_3,4529671.946666667,195892.60592975313,84931349.0,4751.057946948567,1734521.0
