# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
0,9_17_19_26_20_33,SYSTEM,9,0.0,1
0,9_17_19_26_20_33,Role 1,17,0.01,1
0,9_17_19_26_20_33,Role 2,19,0.16,1
0,9_17_19_26_20_33,Role 3,26,0.06,1
0,9_17_19_26_20_33,Role 4,20,0.0,1
0,9_17_19_26_20_33,Role 5,33,0.0,1
1,10_42_2_32_20_27,SYSTEM,10,0.0,1
1,10_42_2_32_20_27,Role 1,42,0.0,1
1,10_42_2_32_20_27,Role 2,2,1.0,1
1,10_42_2_32_20_27,Role 3,32,0.03,1
1,10_42_2_32_20_27,Role 4,20,0.0,1
1,10_42_2_32_20_27,Role 5,27,0.0,1
2,7_10_38_46_15_33,SYSTEM,7,0.0,1
2,7_10_38_46_15_33,Role 1,10,0.02,1
2,7_10_38_46_15_33,Role 2,38,0.08,1
2,7_10_38_46_15_33,Role 3,46,0.04,1
2,7_10_38_46_15_33,Role 4,15,0.0,1
2,7_10_38_46_15_33,Role 5,33,0.0,1
3,42_43_4_2_8_42,SYSTEM,42,0.0,1
3,42_43_4_2_8_42,Role 1,43,0.01,1
3,42_43_4_2_8_42,Role 2,4,0.75,1
3,42_43_4_2_8_42,Role 3,2,0.81,1
3,42_43_4_2_8_42,Role 4,8,0.0,1
3,42_43_4_2_8_42,Role 5,42,0.0,1
4,5_20_46_26_33_15,SYSTEM,5,0.0,1
4,5_20_46_26_33_15,Role 1,20,0.01,1
4,5_20_46_26_33_15,Role 2,46,0.07,1
4,5_20_46_26_33_15,Role 3,26,0.07,1
4,5_20_46_26_33_15,Role 4,33,0.0,1
4,5_20_46_26_33_15,Role 5,15,0.0,1
5,14_38_5_22_43_14,SYSTEM,14,0.0,1
5,14_38_5_22_43_14,Role 1,38,0.01,1
5,14_38_5_22_43_14,Role 2,5,0.61,1
5,14_38_5_22_43_14,Role 3,22,0.08,1
5,14_38_5_22_43_14,Role 4,43,0.0,1
5,14_38_5_22_43_14,Role 5,14,0.0,1
6,24_3_27_7_28_33,SYSTEM,24,0.0,1
6,24_3_27_7_28_33,Role 1,3,0.08,1
6,24_3_27_7_28_33,Role 2,27,0.11,1
6,24_3_27_7_28_33,Role 3,7,0.24,1
6,24_3_27_7_28_33,Role 4,28,0.0,1
6,24_3_27_7_28_33,Role 5,33,0.0,1
7,5_20_33_20_3_26,SYSTEM,5,0.0,1
7,5_20_33_20_3_26,Role 1,20,0.01,1
7,5_20_33_20_3_26,Role 2,33,0.09,1
7,5_20_33_20_3_26,Role 3,20,0.09,1
7,5_20_33_20_3_26,Role 4,3,0.01,1
7,5_20_33_20_3_26,Role 5,26,0.0,1
8,32_25_45_28_43_7,SYSTEM,32,0.0,1
8,32_25_45_28_43_7,Role 1,25,0.01,1
8,32_25_45_28_43_7,Role 2,45,0.07,1
8,32_25_45_28_43_7,Role 3,28,0.06,1
8,32_25_45_28_43_7,Role 4,43,0.0,1
8,32_25_45_28_43_7,Role 5,7,0.01,1
9,7_38_19_8_44_17,SYSTEM,7,0.0,1
9,7_38_19_8_44_17,Role 1,38,0.01,1
9,7_38_19_8_44_17,Role 2,19,0.16,1
9,7_38_19_8_44_17,Role 3,8,0.21,1
9,7_38_19_8_44_17,Role 4,44,0.0,1
9,7_38_19_8_44_17,Role 5,17,0.0,1
10,36_35_42_30_36_17,SYSTEM,36,0.0,1
10,36_35_42_30_36_17,Role 1,35,0.01,1
10,36_35_42_30_36_17,Role 2,42,0.07,1
10,36_35_42_30_36_17,Role 3,30,0.06,1
10,36_35_42_30_36_17,Role 4,36,0.0,1
10,36_35_42_30_36_17,Role 5,17,0.0,1
11,13_43_21_46_32_30,SYSTEM,13,0.0,1
11,13_43_21_46_32_30,Role 1,43,0.01,1
11,13_43_21_46_32_30,Role 2,21,0.14,1
11,13_43_21_46_32_30,Role 3,46,0.04,1
11,13_43_21_46_32_30,Role 4,32,0.0,1
11,13_43_21_46_32_30,Role 5,30,0.0,1
12,6_45_22_28_20_12,SYSTEM,6,0.0,1
12,6_45_22_28_20_12,Role 1,45,0.01,1
12,6_45_22_28_20_12,Role 2,22,0.14,1
12,6_45_22_28_20_12,Role 3,28,0.06,1
12,6_45_22_28_20_12,Role 4,20,0.0,1
12,6_45_22_28_20_12,Role 5,12,0.0,1
13,42_17_43_30_1_44,SYSTEM,42,0.0,1
13,42_17_43_30_1_44,Role 1,17,0.01,1
13,42_17_43_30_1_44,Role 2,43,0.07,1
13,42_17_43_30_1_44,Role 3,30,0.06,1
13,42_17_43_30_1_44,Role 4,1,0.03,1
13,42_17_43_30_1_44,Role 5,44,0.0,1
14,33_47_9_7_44_33,SYSTEM,33,0.0,1
14,33_47_9_7_44_33,Role 1,47,0.01,1
14,33_47_9_7_44_33,Role 2,9,0.34,1
14,33_47_9_7_44_33,Role 3,7,0.24,1
14,33_47_9_7_44_33,Role 4,44,0.0,1
14,33_47_9_7_44_33,Role 5,33,0.0,1
15,4_36_36_44_34_6,SYSTEM,4,0.0,1
15,4_36_36_44_34_6,Role 1,36,0.01,1
15,4_36_36_44_34_6,Role 2,36,0.08,1
15,4_36_36_44_34_6,Role 3,44,0.04,1
15,4_36_36_44_34_6,Role 4,34,0.0,1
15,4_36_36_44_34_6,Role 5,6,0.01,1
16,1_2_2_12_41_26,SYSTEM,1,0.0,1
16,1_2_2_12_41_26,Role 1,2,0.08,1
16,1_2_2_12_41_26,Role 2,2,1.0,1
16,1_2_2_12_41_26,Role 3,12,0.09,1
16,1_2_2_12_41_26,Role 4,41,0.0,1
16,1_2_2_12_41_26,Role 5,26,0.0,1
17,26_40_6_14_28_46,SYSTEM,26,0.0,1
17,26_40_6_14_28_46,Role 1,40,0.01,1
17,26_40_6_14_28_46,Role 2,6,0.51,1
17,26_40_6_14_28_46,Role 3,14,0.12,1
17,26_40_6_14_28_46,Role 4,28,0.0,1
17,26_40_6_14_28_46,Role 5,46,0.0,1
18,27_1_38_11_38_19,SYSTEM,27,0.0,1
18,27_1_38_11_38_19,Role 1,1,0.24,1
18,27_1_38_11_38_19,Role 2,38,0.08,1
18,27_1_38_11_38_19,Role 3,11,0.16,1
18,27_1_38_11_38_19,Role 4,38,0.0,1
18,27_1_38_11_38_19,Role 5,19,0.0,1
19,41_36_27_7_3_6,SYSTEM,41,0.0,1
19,41_36_27_7_3_6,Role 1,36,0.01,1
19,41_36_27_7_3_6,Role 2,27,0.11,1
19,41_36_27_7_3_6,Role 3,7,0.23,1
19,41_36_27_7_3_6,Role 4,3,0.01,1
19,41_36_27_7_3_6,Role 5,6,0.01,1
20,3_6_11_34_27_1,SYSTEM,3,0.0,1
20,3_6_11_34_27_1,Role 1,6,0.04,1
20,3_6_11_34_27_1,Role 2,11,0.28,1
20,3_6_11_34_27_1,Role 3,34,0.05,1
20,3_6_11_34_27_1,Role 4,27,0.0,1
20,3_6_11_34_27_1,Role 5,1,0.05,1
21,4_46_27_10_12_35,SYSTEM,4,0.0,1
21,4_46_27_10_12_35,Role 1,46,0.01,1
21,4_46_27_10_12_35,Role 2,27,0.11,1
21,4_46_27_10_12_35,Role 3,10,0.17,1
21,4_46_27_10_12_35,Role 4,12,0.0,1
21,4_46_27_10_12_35,Role 5,35,0.0,1
22,10_28_46_40_12_24,SYSTEM,10,0.0,1
22,10_28_46_40_12_24,Role 1,28,0.01,1
22,10_28_46_40_12_24,Role 2,46,0.06,1
22,10_28_46_40_12_24,Role 3,40,0.04,1
22,10_28_46_40_12_24,Role 4,12,0.0,1
22,10_28_46_40_12_24,Role 5,24,0.0,1
23,30_39_8_1_4_23,SYSTEM,30,0.0,1
23,30_39_8_1_4_23,Role 1,39,0.0,1
23,30_39_8_1_4_23,Role 2,8,0.22,1
23,30_39_8_1_4_23,Role 3,1,1.0,1
23,30_39_8_1_4_23,Role 4,4,0.0,1
23,30_39_8_1_4_23,Role 5,23,0.0,1
24,29_27_15_47_28_18,SYSTEM,29,0.0,1
24,29_27_15_47_28_18,Role 1,27,0.01,1
24,29_27_15_47_28_18,Role 2,15,0.21,1
24,29_27_15_47_28_18,Role 3,47,0.04,1
24,29_27_15_47_28_18,Role 4,28,0.0,1
24,29_27_15_47_28_18,Role 5,18,0.0,1
25,26_36_32_13_4_18,SYSTEM,26,0.0,1
25,26_36_32_13_4_18,Role 1,36,0.01,1
25,26_36_32_13_4_18,Role 2,32,0.09,1
25,26_36_32_13_4_18,Role 3,13,0.13,1
25,26_36_32_13_4_18,Role 4,4,0.01,1
25,26_36_32_13_4_18,Role 5,18,0.0,1
26,30_10_36_4_13_38,SYSTEM,30,0.0,1
26,30_10_36_4_13_38,Role 1,10,0.03,1
26,30_10_36_4_13_38,Role 2,36,0.09,1
26,30_10_36_4_13_38,Role 3,4,0.43,1
26,30_10_36_4_13_38,Role 4,13,0.0,1
26,30_10_36_4_13_38,Role 5,38,0.0,1
27,10_31_25_44_13_4,SYSTEM,10,0.0,1
27,10_31_25_44_13_4,Role 1,31,0.01,1
27,10_31_25_44_13_4,Role 2,25,0.12,1
27,10_31_25_44_13_4,Role 3,44,0.04,1
27,10_31_25_44_13_4,Role 4,13,0.0,1
27,10_31_25_44_13_4,Role 5,4,0.01,1
28,35_37_43_44_1_12,SYSTEM,35,0.0,1
28,35_37_43_44_1_12,Role 1,37,0.01,1
28,35_37_43_44_1_12,Role 2,43,0.07,1
28,35_37_43_44_1_12,Role 3,44,0.04,1
28,35_37_43_44_1_12,Role 4,1,0.03,1
28,35_37_43_44_1_12,Role 5,12,0.0,1
29,29_45_45_27_44_31,SYSTEM,29,0.0,1
29,29_45_45_27_44_31,Role 1,45,0.01,1
29,29_45_45_27_44_31,Role 2,45,0.07,1
29,29_45_45_27_44_31,Role 3,27,0.06,1
29,29_45_45_27_44_31,Role 4,44,0.0,1
29,29_45_45_27_44_31,Role 5,31,0.0,1
30,19_23_29_26_44_44,SYSTEM,19,0.0,1
30,19_23_29_26_44_44,Role 1,23,0.01,1
30,19_23_29_26_44_44,Role 2,29,0.11,1
30,19_23_29_26_44_44,Role 3,26,0.07,1
30,19_23_29_26_44_44,Role 4,44,0.0,1
30,19_23_29_26_44_44,Role 5,44,0.0,1
31,19_46_9_6_7_24,SYSTEM,19,0.0,1
31,19_46_9_6_7_24,Role 1,46,0.01,1
31,19_46_9_6_7_24,Role 2,9,0.34,1
31,19_46_9_6_7_24,Role 3,6,0.27,1
31,19_46_9_6_7_24,Role 4,7,0.0,1
31,19_46_9_6_7_24,Role 5,24,0.0,1
32,2_45_39_1_9_16,SYSTEM,2,0.0,1
32,2_45_39_1_9_16,Role 1,45,0.0,1
32,2_45_39_1_9_16,Role 2,39,0.05,1
32,2_45_39_1_9_16,Role 3,1,1.0,1
32,2_45_39_1_9_16,Role 4,9,0.0,1
32,2_45_39_1_9_16,Role 5,16,0.0,1
33,7_39_17_45_28_42,SYSTEM,7,0.0,1
33,7_39_17_45_28_42,Role 1,39,0.01,1
33,7_39_17_45_28_42,Role 2,17,0.19,1
33,7_39_17_45_28_42,Role 3,45,0.04,1
33,7_39_17_45_28_42,Role 4,28,0.0,1
33,7_39_17_45_28_42,Role 5,42,0.0,1
34,40_43_22_26_38_14,SYSTEM,40,0.0,1
34,40_43_22_26_38_14,Role 1,43,0.01,1
34,40_43_22_26_38_14,Role 2,22,0.14,1
34,40_43_22_26_38_14,Role 3,26,0.07,1
34,40_43_22_26_38_14,Role 4,38,0.0,1
34,40_43_22_26_38_14,Role 5,14,0.0,1
35,41_36_27_29_20_6,SYSTEM,41,0.0,1
35,41_36_27_29_20_6,Role 1,36,0.01,1
35,41_36_27_29_20_6,Role 2,27,0.12,1
35,41_36_27_29_20_6,Role 3,29,0.06,1
35,41_36_27_29_20_6,Role 4,20,0.0,1
35,41_36_27_29_20_6,Role 5,6,0.01,1
36,7_10_38_47_15_18,SYSTEM,7,0.0,1
36,7_10_38_47_15_18,Role 1,10,0.02,1
36,7_10_38_47_15_18,Role 2,38,0.08,1
36,7_10_38_47_15_18,Role 3,47,0.03,1
36,7_10_38_47_15_18,Role 4,15,0.0,1
36,7_10_38_47_15_18,Role 5,18,0.0,1
37,7_40_17_25_28_47,SYSTEM,7,0.0,1
37,7_40_17_25_28_47,Role 1,40,0.01,1
37,7_40_17_25_28_47,Role 2,17,0.18,1
37,7_40_17_25_28_47,Role 3,25,0.07,1
37,7_40_17_25_28_47,Role 4,28,0.0,1
37,7_40_17_25_28_47,Role 5,47,0.0,1
38,26_43_4_2_8_45,SYSTEM,26,0.0,1
38,26_43_4_2_8_45,Role 1,43,0.01,1
38,26_43_4_2_8_45,Role 2,4,0.76,1
38,26_43_4_2_8_45,Role 3,2,0.81,1
