# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
1,55_94_1_40_20,54257859.0,5248661.186313333,24114604.0,206046.55664006155,429868.0
2,13_25_46_52_71,36822690.0625,5239474.6822393695,24894213.0,294276.04286285024,424711.0
3,55_89_27_114_5,84380337.55555555,5124500.500483267,24899116.0,162574.4444342777,524135.0
4,87_55_73_19_27,53231449.63888889,5383656.374550503,24887431.0,243456.68406571262,431104.0
5,104_126_41_90_114,97297534.5763889,5159433.7646426065,24282227.0,220159.49280163366,268929.0
6,116_12_6_23_114,32723356.0,5107637.809644952,24542517.0,297917.55303873494,351544.0
7,14_55_125_70_90,66768200.42361111,5190286.2867069375,24716249.0,225174.13474820368,608863.0
8,42_90_109_3_98,56826156.94444444,5183497.492895345,24281800.0,265700.4737891294,257445.0
9,129_98_37_103_14,97482613.44444445,5098292.299867109,24713902.0,318585.86469364073,266254.0
10,59_118_39_38_18,68662369.72222222,5207699.681231315,24115564.0,367010.40207582526,516525.0
11,3_89_28_35_64,47056665.0625,5161052.039191083,24287311.0,135535.84806074854,249304.0
12,8_75_20_77_91,56589183.277777776,5129576.066880928,24544706.0,120129.77800212428,350666.0
13,14_54_91_54_7,55476425.979166664,5216152.784395437,24886621.0,209132.92838420533,434374.0
14,70_87_67_123_77,93298459.27777778,5012296.206580196,24120248.0,110564.93541291263,258819.0
15,118_19_19_105_52,64923747.77777777,5252632.593634725,24283168.0,227476.77977053355,435498.0
16,22_121_46_98_95,86556577.8611111,5319611.920505276,24632702.0,312370.9165833248,431092.0
17,115_81_98_46_36,78205110.73611112,5350384.3394326195,24114638.0,283621.4743210152,435296.0
18,117_56_125_87_81,91267505.99999999,5005216.96952965,24891138.0,288564.5277524693,512623.0
19,16_123_59_76_54,81751079.81944445,5340149.875778794,24888278.0,318744.5313896192,514225.0
20,32_118_75_1_81,60454405.10416667,5325587.314677493,25233143.0,160562.41581613198,256710.0
21,43_69_115_47_118,67408672.5,5275158.350838222,24889356.0,132178.88881030586,257369.0
22,81_3_121_90_130,66373950.19444445,5107270.3126042085,24633631.0,308182.62378686294,526298.0
23,23_19_121_91_10,62909629.61111111,5294194.632509494,24887326.0,345003.0302558234,428161.0
24,98_98_120_93_17,103744487.5,5290704.306587393,24898677.0,238215.1638273904,432403.0
25,4_4_5_33_112,13946271.54861111,4994363.408158324,24195941.0,191408.82174332347,770057.0
26,71_72_110_17_37,62909155.58333334,5140537.573394752,25233756.0,303572.9625800699,527413.0
27,77_126_73_3_104,71498325.16666667,5185353.4908319395,25234703.0,325429.3453999432,350551.0
28,31_105_51_112_97,88569877.08333333,5193020.468595359,24717175.0,286839.41003299784,343460.0
