Total Solutions Generated,1756
Total Iterations,702

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
0,20_14_5_3_3_2,595784.4419444444,181040.48457936844,45634553.0,4498.218449979147,1127957.0
1,20_14_6_3_3_2,621355.9466666667,170695.59993213543,46601696.0,2983.429328849801,598683.0
2,1_14_5_3_3_2,360441.42555555556,188428.03398958937,46342469.0,3863.782491102844,385672.0
3,19_14_5_3_3_2,585481.0872222222,179474.69587506866,45820259.0,4101.565760348312,418156.0
4,20_14_5_4_3_2,588287.5466666667,173390.73791004007,44121566.0,5620.266542957805,879264.0
5,20_14_6_4_3_2,632811.9019444445,161152.04357926067,46492303.0,3026.4486551078153,1135685.0
6,1_14_6_3_3_2,360858.9061111111,172300.97143070397,44796278.0,2859.2680436410883,817730.0
7,19_14_7_3_3_2,615272.0133333334,169754.64763604323,46145401.0,2827.4869357749703,965657.0
8,19_14_6_3_3_2,605300.0750000001,171262.16615797393,46363410.0,2762.533663392387,978259.0
9,20_14_7_3_3_2,613981.8280555556,169070.45158200312,45108869.0,3247.4557969231682,655069.0
10,1_14_5_4_3_2,377366.3908333333,173207.06227706783,46845483.0,4278.009223758534,551415.0
11,1_14_5_3_1_2,330487.1194444445,185375.56636364746,45759755.0,2935.949427018175,594723.0
12,1_13_5_3_3_2,333595.6425,184557.91220470128,44479419.0,7931.669142535859,1074061.0
13,20_14_7_4_3_2,604053.9583333334,157027.31274115594,43491885.0,1900.7940191574162,597957.0
14,1_14_6_4_3_2,365129.15,160211.6110836072,43815498.0,2371.163567804324,468434.0
15,19_14_7_4_3_2,620864.0277777779,156999.8369651863,45614500.0,1669.0544232393731,393959.0
16,19_14_6_4_3_2,624326.8133333334,158213.99688127104,46824511.0,4097.464712985355,1463969.0
17,20_14_6_5_3_2,630860.5694444445,158192.39902064466,45421961.0,2471.9639631721075,444388.0
18,1_14_7_3_3_2,396223.85833333334,167123.12667546875,47546863.0,2807.1758591823454,846552.0
19,1_14_8_3_3_2,393117.2861111111,165414.59800019217,45652330.0,2639.256017575244,943420.0
20,1_14_6_3_1_2,352500.8325,172515.7700378987,47000111.0,3324.642963694263,637272.0
21,1_14_7_3_2_2,370087.68083333335,167986.19873874728,45941919.0,2475.8577579038974,458410.0
22,1_13_7_3_3_2,384244.9088888889,165628.18942474126,47699368.0,3349.6731513506675,822933.0
23,1_14_7_3_3_1,372136.9738888889,168318.43701943223,46196314.0,2149.6335648911772,884249.0
24,1_13_6_3_3_2,359483.3122222223,170625.54599170256,46219283.0,3602.044469236367,786494.0
25,1_14_5_4_1_2,359356.98750000005,172675.59715579732,47914265.0,3890.9889258756593,499324.0
26,1_14_5_3_1_1,313078.875,181152.07551627493,45083358.0,7337.474148283014,589944.0
27,1_13_5_3_1_2,325861.0625,180147.7396692562,46923993.0,5783.505227762682,557482.0
28,20_14_9_4_3_2,636995.6666666667,156041.44800968058,44099700.0,1472.228133177763,710456.0
29,1_14_7_4_3_2,393779.53222222225,157851.92485232226,45729236.0,1555.9116468221182,612444.0
30,18_14_9_4_3_2,645233.1111111111,154434.18471393108,46456784.0,1983.051718833769,543058.0
